,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,ааба,a a b a,/b/,2,4,1.0
1,ааганы,a a ɡ a n ə,/ɡ/n/,3,6,1.0
2,аадырҳәыр,a a d ə r ħʷ ə r,/d/rħʷ/r,3,9,1.6666666666666667
3,аазгаша,a a z ɡ a ʃ a,/zɡ/ʃ/,3,7,1.5
4,аазхәаз,a a z χʷ a z,/zχʷ/z,2,7,2.0
5,аазырԥшуа,a a z ə r p ʃ w a,/z/rpʃw/,3,9,2.5
6,ааи,a a j,/j,1,3,1.0
7,ааиаанӡа,a a j a a n dz a,/j/ndz/,3,9,2.0
8,ааиаанӡагьы,a a j a a n dz a ɡʲ ə,/j/ndz/ɡʲ/,4,12,2.0
9,ааигәа,a a j ɡʷ a,/jɡʷ/,2,6,3.0
10,ааигәара,a a j ɡʷ a r a,/jɡʷ/r/,3,8,2.0
11,ааигәоуп,a a j ɡʷ a w pʼ,/jɡʷ/wpʼ,2,9,3.0
12,ааины,a a j n ə,/jn/,2,5,2.0
13,ааираны,a a j r a n ə,/jr/n/,3,7,1.5
14,ааирԥшуеит,a a j r p ʃ w a j tʼ,/jrpʃw/jtʼ,2,11,4.0
15,ааихихит,a a j χ j χ j tʼ,/jχjχjtʼ,1,9,7.0
16,ааихьеит,a a j χʲ a j tʼ,/jχʲ/jtʼ,2,9,3.0
17,аамҭа,a a m t a,/mt/,2,5,2.0
18,аамҭазы,a a m t a z ə,/mt/z/,3,7,1.5
19,аамҭак,a a m t a kʼ,/mt/kʼ,2,7,2.0
20,аамҭала,a a m t a l a,/mt/l/,3,7,1.5
21,аамҭалатәи,a a m t a l a tʷʼ j,/mt/l/tʷʼj,3,11,2.3333333333333335
22,аанзыжьқәаз,a a n z ə ʒʲ kʷ a z,/nz/ʒʲkʷ/z,3,11,2.3333333333333335
23,ааныжьны,a a n ə ʒʲ n ə,/n/ʒʲn/,3,8,2.0
24,аанырмыжькәа,a a n ə r m ə ʒʲ kʷʼ a,/n/rm/ʒʲkʷʼ/,4,13,2.6666666666666665
25,ааргааит,a a r ɡ a a j tʼ,/rɡ/jtʼ,2,9,2.5
26,аарыгхеит,a a r ə ɡ χ a j tʼ,/r/ɡχ/jtʼ,3,10,2.0
27,аарԥшра,a a r p ʃ r a,/rpʃr/,2,7,4.0
28,аарԥшы,a a r p ʃ ə,/rpʃ/,2,6,3.0
29,аасҭа,a a s t a,/st/,2,5,2.0
30,аатны,a a tʼ n ə,/tʼn/,2,6,3.0
31,аашьҭыхны,a a ʃʲ t ə χ n ə,/ʃʲt/χn/,3,9,2.5
32,аашәмырԥшын,a a ʃʷ m ə r p ʃ ə n,/ʃʷm/rpʃ/n,3,11,2.3333333333333335
33,аашәырԥшыр,a a ʃʷ ə r p ʃ ə r,/ʃʷ/rpʃ/r,3,10,2.0
