,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,ء,ʔ,ʔ,0,1,1.0
1,آ,ʔ aː,ʔ/ː,1,3,1.0
2,آبد,ʔ aː b ɪ d,ʔ/ːb/d,2,6,1.3333333333333333
3,آبدّ,ʔ aː b ɪ d,ʔ/ːb/d,2,6,1.3333333333333333
4,آتشيوت,ʔ aː tʃ ɪ j oː t,ʔ/ːtʃ/j/ːt,3,10,1.75
5,آتُشُيُوتُ,ʔ aː tʃ ɪ j oː t,ʔ/ːtʃ/j/ːt,3,10,1.75
6,آخر,ʔ aː χ ɑ r,ʔ/ːχ/r,2,6,1.3333333333333333
7,آخر,ʔ aː χ ɪ r,ʔ/ːχ/r,2,6,1.3333333333333333
8,آخرة,ʔ aː χ r e,ʔ/ːχr/,2,6,2.0
9,آخرة,ʔ aː χ r ɑ,ʔ/ːχr/,2,6,2.0
10,آخرة,ʔ aː χ ɪ r ɑ,ʔ/ːχ/r/,3,7,1.3333333333333333
11,آخن,ʔ aː χ æ n,ʔ/ːχ/n,2,6,1.3333333333333333
12,آخَرْ,ʔ aː χ ɑ r,ʔ/ːχ/r,2,6,1.3333333333333333
13,آخَرْ,ʔ aː χ ɪ r,ʔ/ːχ/r,2,6,1.3333333333333333
14,آخُن,ʔ aː χ æ n,ʔ/ːχ/n,2,6,1.3333333333333333
15,آخِرَةٌ,ʔ aː χ r e,ʔ/ːχr/,2,6,2.0
16,آخِرَةٌ,ʔ aː χ r ɑ,ʔ/ːχr/,2,6,2.0
17,آخِرَةٌ,ʔ aː χ ɪ r ɑ,ʔ/ːχ/r/,3,7,1.3333333333333333
18,آدب,ʔ aː d ɪ b,ʔ/ːd/b,2,6,1.3333333333333333
19,آدبُ,ʔ aː d ɪ b,ʔ/ːd/b,2,6,1.3333333333333333
20,آدم,ʔ aː d æ m,ʔ/ːd/m,2,6,1.3333333333333333
21,آدمي,ʔ aː d æ m ɪ jː,ʔ/ːd/m/jː,3,9,1.5
22,آدمُ,ʔ aː d æ m,ʔ/ːd/m,2,6,1.3333333333333333
23,آذريون,ʔ aː ð ɑ r j uː n,ʔ/ːð/rj/ːn,3,10,1.75
24,آذى,ʔ aː ð aː,ʔ/ːð/ː,2,6,1.3333333333333333
25,آذىُ,ʔ aː ð aː,ʔ/ːð/ː,2,6,1.3333333333333333
26,آذَرُيونْ,ʔ aː ð ɑ r j uː n,ʔ/ːð/rj/ːn,3,10,1.75
27,آس,ʔ aː s,ʔ/ːs,1,4,1.5
28,آسفي,ʔ aː s æ f iː,ʔ/ːs/f/ː,3,8,1.25
