,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,՝դրանք,d ɾ ɑ n kʰ,dɾ/nkʰ,1,6,2.5
1,ագահությունը,ɑ ɡ ɑ h u tʰ j u n ə,/ɡ/h/tʰj/n/,5,11,1.5
2,ագինինը,ɑ ɡ i n i n ə,/ɡ/n/n/,4,7,1
3,ագիով,ɑ ɡ i ɔ v,/ɡ/v,2,5,1
4,ագրարային,ɑ ɡ ɾ ɑ ɾ ɑ j i n,/ɡɾ/ɾ/j/n,4,9,1.25
5,ադմինիստրատոր,ɑ d m i n i s t ɾ ɑ t ɔ ɾ,/dm/n/stɾ/t/ɾ,5,13,1.6
6,ադրբեջանի,ɑ d ɾ b ɛ d ʒ ɑ n i,/dɾb/dʒ/n/,4,10,2
7,ազատ,ɑ z ɑ t,/z/t,2,4,1
8,ազատության,ɑ z ɑ t u tʰ j ɑ n,/z/t/tʰj/n,4,10,1.5
9,ազատություն,ɑ z ɑ t u tʰ j u n,/z/t/tʰj/n,4,10,1.5
10,ազատությունը,ɑ z ɑ t u tʰ j u n ə,/z/t/tʰj/n/,5,11,1.5
11,ազգային,ɑ z ɡ ɑ j i n,/zɡ/j/n,3,7,1.3333333333333333
12,ազդանշանների,ɑ z d ɑ n ʃ ɑ n n ɛ ɾ i,/zd/nʃ/nn/ɾ/,5,12,1.75
13,ազդեցիկ,ɑ z d ɛ t sʰ i k,/zd/tsʰ/k,3,9,2
14,ազդեցություններից,ɑ z d ɛ t sʰ u tʰ j u n n ɛ ɾ i t sʰ,/zd/tsʰ/tʰj/nn/ɾ/tsʰ,6,20,2.3333333333333335
15,ազդում,ɑ z d u m,/zd/m,2,5,1.5
16,ազնավուրը,ɑ z n ɑ v u ɾ ə,/zn/v/ɾ/,4,8,1.3333333333333333
17,ազովի,ɑ z ɔ v i,/z/v/,3,5,1
18,ազոտի,ɑ z ɔ t i,/z/t/,3,5,1
19,ալ,ɑ l,/l,1,2,1
20,ալբոմը,ɑ l b ɔ m ə,/lb/m/,3,6,1.5
21,ալբոմի,ɑ l b ɔ m i,/lb/m/,3,6,1.5
22,ալբոմն,ɑ l b ɔ m n,/lb/mn,2,6,2
23,ալբոմները,ɑ l b ɔ m n ɛ ɾ ə,/lb/mn/ɾ/,4,9,1.6666666666666667
24,ալեքսանդրապոլի,ɑ l ɛ kʰ s ɑ n d ɾ ɑ p ɔ l i,/l/kʰs/ndɾ/p/l/,6,15,1.8
25,ալեքսիթիմիան,ɑ l ɛ kʰ s i tʰ i m i ɑ n,/l/kʰs/tʰ/m/n,5,14,1.6
26,ալիապատ,ɑ l i ɑ p ɑ t,/l/p/t,3,7,1
27,ալիքներ,ɑ l i kʰ n ɛ ɾ,/l/kʰn/ɾ,3,8,1.6666666666666667
28,ալմոադեցիները,ɑ l m ɔ ɑ d ɛ t sʰ i n ɛ ɾ ə,/lm/d/tsʰ/n/ɾ/,6,15,1.6
29,ալքիմիայով,ɑ l kʰ i m i ɑ j ɔ v,/lkʰ/m/j/v,4,11,1.5
30,ախտահանման,ɑ χ t ɑ h ɑ n m ɑ n,/χt/h/nm/n,4,10,1.5
31,ախտանշանների,ɑ χ t ɑ n ʃ ɑ n n ɛ ɾ i,/χt/nʃ/nn/ɾ/,5,12,1.75
32,ախտորոշումը,ɑ χ t ɔ ɾ ɔ ʃ u m ə,/χt/ɾ/ʃ/m/,5,10,1.25
33,ածխածնի,ɑ t s χ ɑ t s n i,/tsχ/tsn/,3,9,3
34,ակադեմիայի,ɑ k ɑ d ɛ m i ɑ j i,/k/d/m/j/,5,10,1
35,ակադեմիայում,ɑ k ɑ d ɛ m i ɑ j u m,/k/d/m/j/m,5,11,1
36,ականջաբորբը,ɑ k ɑ n d ʒ ɑ b ɔ ɾ b ə,/k/ndʒ/b/ɾb/,5,12,1.75
37,ականջի,ɑ k ɑ n d ʒ i,/k/ndʒ/,3,7,2
38,ականջները,ɑ k ɑ n d ʒ n ɛ ɾ ə,/k/ndʒn/ɾ/,4,10,2
39,ակնագնդի,ɑ k n ɑ ɡ n d i,/kn/ɡnd/,3,8,2.5
40,ակնահերպեսով,ɑ k n ɑ h ɛ ɾ p ɛ s ɔ v,/kn/h/ɾp/s/v,5,12,1.4
41,ակնհայտորեն,ɑ k n h ɑ j t ɔ ɾ ɛ n,/knh/jt/ɾ/n,4,11,1.75
42,ակոսների,ɑ k ɔ s n ɛ ɾ i,/k/sn/ɾ/,4,8,1.3333333333333333
43,ակումբի,ɑ k u m b i,/k/mb/,3,6,1.5
44,ակումբին,ɑ k u m b i n,/k/mb/n,3,7,1.3333333333333333
