,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,a,a,/,1,1,N/A
1,abad,a b a d̪,/b/d̪,2,5,1.5
2,abade,a b a d̪ e,/b/d̪/,3,6,1.5
3,abade-etxean,a b a d̪ e e t̪ ʃ e a n,/b/d̪/t̪ʃ/n,4,13,1.75
4,abadeek,a b a d̪ e e k,/b/d̪/k,3,8,1.3333333333333333
5,abadeen,a b a d̪ e e n,/b/d̪/n,3,8,1.3333333333333333
6,abadian,a b a d̪ i a n,/b/d̪/n,3,8,1.3333333333333333
7,abagune,a b a ɡ u n e,/b/ɡ/n/,4,7,1
8,abaltzisketako,a b a l t̪ s̻ i s̺ k e t̪ a k o,/b/lt̪s̻/s̺k/t̪/k/,6,18,2.4
9,abando,a b a n d̪ o,/b/nd̪/,3,7,2
10,abandonatu,a b a n d̪ o n a t̪ u,/b/nd̪/n/t̪/,5,12,1.75
11,abandonatua,a b a n d̪ o n a t̪ u a,/b/nd̪/n/t̪/,5,13,1.75
12,abandonaturik,a b a n d̪ o n a t̪ u ɾ i k,/b/nd̪/n/t̪/ɾ/k,6,15,1.5
13,abandonatuta,a b a n d̪ o n a t̪ u t̪ a,/b/nd̪/n/t̪/t̪/,6,15,1.8
14,abandonatzeko,a b a n d̪ o n a t̪ s̻ e k o,/b/nd̪/n/t̪s̻/k/,6,16,2
15,abangoardia,a b a n ɡ o a r d̪ i a,/b/nɡ/rd̪/,4,12,2
16,abangoardiak,a b a n ɡ o a r d̪ i a k,/b/nɡ/rd̪/k,4,13,1.75
17,abangoardian,a b a n ɡ o a r d̪ i a n,/b/nɡ/rd̪/n,4,13,1.75
18,abangoardismoa,a b a n ɡ o a r d̪ i s̺ m o a,/b/nɡ/rd̪/s̺m/,5,16,2.25
19,abangoardistak,a b a n ɡ o a r d̪ i s̺ t̪ a k,/b/nɡ/rd̪/s̺t̪/k,5,17,2.2
20,abantaila,a b a n t̪ a i l a,/b/nt̪/l/,4,10,1.6666666666666667
21,abantailak,a b a n t̪ a i l a k,/b/nt̪/l/k,4,11,1.5
