,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,а,a,/,1,1,N/A
4,а,ɤ,/,1,1,N/A
5,абаджиев,a b ɤ dʒ i ɛ f,/b/dʒ/f,3,8,1.3333333333333333
6,абдул,a b d̪ u ɫ,/bd̪/ɫ,2,6,2
7,абрамович,a b r ɤ m o vʲ i tʃ,/br/m/vʲ/tʃ,4,11,1.75
8,абсолютно,a p s̪ o ʎ u t̪ n̪ o,/ps̪/ʎ/t̪n̪/,4,12,2.6666666666666665
9,абсолютно,a p s̪ ɔ ʎ u t̪ n̪ ɔ,/ps̪/ʎ/t̪n̪/,4,12,2.6666666666666665
10,абстрактно,a p s̪ t̪ r a k t̪ n̪ o,/ps̪t̪r/kt̪n̪/,3,14,5.5
11,абсурд,a p s̪ u r t̪,/ps̪/rt̪,2,8,3
12,абсурдните,a p s̪ u r d̪ n̪ i t̪ ɛ,/ps̪/rd̪n̪/t̪/,4,14,3.3333333333333335
13,абсурдно,a p s̪ u r d̪ n̪ o,/ps̪/rd̪n̪/,3,11,4
14,абсурдът,a p s̪ u r d̪ ɤ t̪,/ps̪/rd̪/t̪,3,11,2.6666666666666665
15,авако,ɤ v a k o,/v/k/,3,5,1
16,аванс,ɤ v a n̪ s̪,/v/n̪s̪,2,7,2.5
17,аварии,ɤ v a rʲ i i,/v/rʲ/,3,7,1.5
18,авариите,ɤ v a rʲ i i t̪ ɛ,/v/rʲ/t̪/,4,10,1.6666666666666667
19,аварията,ɤ v a rʲ i j ɤ t̪ ɤ,/v/rʲ/j/t̪/,5,11,1.5
20,август,a v ɡ u s̪ t̪,/vɡ/s̪t̪,2,8,3
21,авел,a v ɛ ɫ,/v/ɫ,2,4,1
22,авив,a vʲ i f,/vʲ/f,2,5,1.5
23,авиокомпании,a vʲ i o k o m p a n̪ i i,/vʲ/k/mp/n̪/,5,14,1.75
24,авиокомпания,a vʲ i o k o m p a n̪ i j ɤ,/vʲ/k/mp/n̪/j/,6,15,1.6
25,аврамов,a v r a m o f,/vr/m/f,3,7,1.3333333333333333
26,австрийската,a f s̪ t̪ rʲ i j s̪ k ɤ t̪ ɤ,/fs̪t̪rʲ/js̪k/t̪/,4,17,4.333333333333333
27,австрийски,a f s̪ t̪ rʲ i j s̪ c i,/fs̪t̪rʲ/js̪c/,3,14,5.5
28,австрия,a f s̪ t̪ rʲ i j ɤ,/fs̪t̪rʲ/j/,3,11,4
29,автобуси,ɤ f t̪ o b u s̪ i,/ft̪/b/s̪/,4,10,2
30,автобусни,ɤ f t̪ o b u s̪ n̪ i,/ft̪/b/s̪n̪/,4,12,2.6666666666666665
31,автобусните,ɤ f t̪ o b u s̪ n̪ i t̪ ɛ,/ft̪/b/s̪n̪/t̪/,5,15,2.5
32,автомагистрала,a f t̪ o m ɤ ɟ i s̪ t̪ r a ɫ ɤ,/ft̪/m/ɟ/s̪t̪r/ɫ/,6,17,2.2
33,автомат,ɤ f t̪ o m a t̪,/ft̪/m/t̪,3,9,2
34,автоматизирана,a f t̪ o m ɤ t̪ i z̪ i r ɤ n̪ ɤ,/ft̪/m/t̪/z̪/r/n̪/,7,18,1.8333333333333333
35,автомобил,ɤ f t̪ o m o b i ɫ,/ft̪/m/b/ɫ,4,10,1.5
36,автомобила,ɤ f t̪ o m o b i ɫ ɤ,/ft̪/m/b/ɫ/,5,11,1.5
37,автомобили,ɤ f t̪ o m o b i ɫ i,/ft̪/m/b/ɫ/,5,11,1.5
38,автомобилите,ɤ f t̪ o m o b i ɫ i t̪ ɛ,/ft̪/m/b/ɫ/t̪/,6,14,1.6
39,автомобилна,ɤ f t̪ o m o b i ɫ n̪ ɤ,/ft̪/m/b/ɫn̪/,5,13,2
40,автомобилните,ɤ f t̪ o m o b i ɫ n̪ i t̪ ɛ,/ft̪/m/b/ɫn̪/t̪/,6,16,2
41,автомобилът,ɤ f t̪ o m o b i ɫ ɤ t̪,/ft̪/m/b/ɫ/t̪,5,13,1.6
42,автор,a f t̪ o r,/ft̪/r,2,6,2
43,автори,a f t̪ o rʲ i,/ft̪/rʲ/,3,8,2.5
44,авторите,a f t̪ o rʲ i t̪ ɛ,/ft̪/rʲ/t̪/,4,11,2.3333333333333335
