,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,a,/,1,1,N/A
4,a,ɛ j,/j,1,2,1
5,abatyše,a b a t ɪ ʃ ɛ,/b/t/ʃ/,4,7,1
6,abatyšský,a b a t ɪ ʃ s k iː,/b/t/ʃsk/ː,4,10,1.5
7,abbého,a p b ɛː ɦ o,/pb/ːɦ/,3,7,2
8,abchazská,a p x a s k aː,/px/sk/ː,3,8,1.6666666666666667
9,abcházie,a p x aː z ɪ j ɛ,/px/ːz/j/,4,9,1.6666666666666667
10,abdikace,a b d ɪ k a ts ɛ,/bd/k/ts/,4,9,1.6666666666666667
11,abdikaci,a b d ɪ k a ts ɪ,/bd/k/ts/,4,9,1.6666666666666667
12,abdikoval,a b d ɪ k o v a l,/bd/k/v/l,4,9,1.25
13,abdominálními,a b d o m ɪ n aː l ɲ iː m ɪ,/bd/m/n/ːlɲ/ːm/,6,15,1.8
14,abeceda,a b ɛ ts ɛ d a,/b/ts/d/,4,8,1.3333333333333333
15,abecední,a b ɛ ts ɛ d ɲ iː,/b/ts/dɲ/ː,4,10,1.5
16,abecedním,a b ɛ ts ɛ d ɲ iː m,/b/ts/dɲ/ːm,4,11,1.75
17,abecedy,a b ɛ ts ɛ d ɪ,/b/ts/d/,4,8,1.3333333333333333
18,abecedě,a b ɛ ts ɛ ɟ ɛ,/b/ts/ɟ/,4,8,1.3333333333333333
19,aberace,a b ɛ r a ts ɛ,/b/r/ts/,4,8,1.3333333333333333
20,abiturientů,a b ɪ t u r ɪ j ɛ n t uː,/b/t/r/j/nt/ː,6,13,1.1666666666666667
21,abnormality,a b n o r m a l ɪ t ɪ,/bn/rm/l/t/,5,11,1.5
22,abnormální,a b n o r m aː l ɲ iː,/bn/rm/ːlɲ/ː,4,12,2
23,abolice,a b o l ɪ ts ɛ,/b/l/ts/,4,8,1.3333333333333333
24,aboliční,a b o l ɪ tʃ ɲ iː,/b/l/tʃɲ/ː,4,10,1.5
25,abonoval,a b o n o v a l,/b/n/v/l,4,8,1
26,abraham,a b r a ɦ a m,/br/ɦ/m,3,7,1.3333333333333333
27,abrahámův,a b r a ɦ aː m uː f,/br/ɦ/ːm/ːf,4,11,1.75
28,abrazivní,a b r a z ɪ v ɲ iː,/br/z/vɲ/ː,4,10,1.5
29,abreviace,a b r ɛ v ɪ j a ts ɛ,/br/v/j/ts/,5,11,1.5
30,abruptně,a b r u p t ɲ ɛ,/br/ptɲ/,3,8,2.5
31,absces,a p s ts ɛ s,/psts/s,2,7,2.5
32,absence,a p s ɛ n ts ɛ,/ps/nts/,3,8,2.5
33,absenci,a p s ɛ n ts ɪ,/ps/nts/,3,8,2.5
34,absencí,a p s ɛ n ts iː,/ps/nts/ː,3,9,2
35,absentuje,a p s ɛ n t u j ɛ,/ps/nt/j/,4,9,1.6666666666666667
36,absentéry,a p s ɛ n t ɛː r ɪ,/ps/nt/ːr/,4,10,2
37,absint,a p s ɪ n t,/ps/nt,2,6,2
38,absoluci,a p s o l u ts ɪ,/ps/l/ts/,4,9,1.6666666666666667
39,absolutismu,a p s o l u t ɪ s m u,/ps/l/t/sm/,5,11,1.5
40,absolutistické,a p s o l u t ɪ s t ɪ ts k ɛː,/ps/l/t/st/tsk/ː,6,16,1.6666666666666667
41,absolutizace,a p s o l u t ɪ z a ts ɛ,/ps/l/t/z/ts/,6,13,1.4
42,absolutní,a p s o l u t ɲ iː,/ps/l/tɲ/ː,4,10,1.5
43,absolutních,a p s o l u t ɲ iː x,/ps/l/tɲ/ːx,4,11,1.75
44,absolutního,a p s o l u t ɲ iː ɦ o,/ps/l/tɲ/ːɦ/,5,12,1.75
45,absolutním,a p s o l u t ɲ iː m,/ps/l/tɲ/ːm,4,11,1.75
46,absolutně,a p s o l u t ɲ ɛ,/ps/l/tɲ/,4,9,1.6666666666666667
47,absolutoria,a p s o l u t o r ɪ j a,/ps/l/t/r/j/,6,12,1.2
48,absolutoriem,a p s o l u t o r ɪ j ɛ m,/ps/l/t/r/j/m,6,13,1.1666666666666667
49,absolutoriu,a p s o l u t o r ɪ j u,/ps/l/t/r/j/,6,12,1.2
50,absolvent,a p s o l v ɛ n t,/ps/lv/nt,3,9,2
