,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""alleen",ɑ j eː n,/j/ːn,2,5,1.5
1,"""at"".",ɑ t,/t,1,2,1
2,"""bagagedrager""",b aː ɣ ɑ ɣ ɛ t r aː ɣ ɛ r,b/ːɣ/ɣ/tr/ːɣ/r,5,14,1.5
3,"""bananenoorlog""",b aː n ɑ n eː n oː r l ɔ ɣ,b/ːn/n/ːn/ːrl/ɣ,5,15,1.6666666666666667
4,"""british",p r iː t ɪ ʃ,pr/ːt/ʃ,2,7,1.6666666666666667
5,"""de",d eː,d/ː,1,3,1
6,"""global",x l oː b ɑ l,xl/ːb/l,2,7,1.6666666666666667
7,"""humanitaire",h yː m aː n iː t ɑ j ɪ r eː,h/ːm/ːn/ːt/j/r/ː,6,16,1.4285714285714286
8,"""ik",ɪ k,/k,1,2,1
9,"""invoering",ɪ n v uː ɛ r ɪ n x,/nv/ː/r/nx,4,10,1.5
10,"""juridisch",j yː r iː d ɪ s,j/ːr/ːd/s,3,9,1.5
11,"""maak",m aː k,m/ːk,1,4,1.5
12,"""maximale""",m ɑ k s iː m aː l ɛ,m/ks/ːm/ːl/,4,11,1.75
13,"""nee"".",n eː,n/ː,1,3,1
14,"""neen"".",n eː n,n/ːn,1,4,1.5
15,"""nee”",n eː,n/ː,1,3,1
16,"""op",ɔ p,/p,1,2,1
17,"""rood""",r oː d,r/ːd,1,4,1.5
18,"""sterrenstof""",s t ɛ r r ɛ n s t ɔ f,st/rr/nst/f,3,11,2
19,"""tussen",t ʏ s s ɛ n,t/ss/n,2,6,1.3333333333333333
20,"""tweestappenoplossing”.",t ʋ eː s t ɑ p p eː n ɔ p l ɔ s s ɪ ŋ,tʋ/ːst/pp/ːn/pl/ss/ŋ,6,20,2
21,"""verworpen”",v ɛ r ʋ ɔ r p ɛ n,v/rʋ/rp/n,3,9,1.5
22,"""welterusten""",ʋ ɛ l t eː r ʏ s t ɛ n,ʋ/lt/ːr/st/n,4,12,1.6
23,'ja'.,j ɑ,j/,1,2,1
24,'mondiale,m ɔ n d ɪ aː l eː,m/nd/ːl/ː,3,10,1.5
25,'nee',n eː,n/ː,1,3,1
26,'neen'.,n eː n,n/ːn,1,4,1.5
27,'parish,p aː r ɪ ʃ,p/ːr/ʃ,2,6,1.3333333333333333
28,'politiek,p oː l iː t iː k,p/ːl/ːt/ːk,3,10,1.75
29,'s,s,s,0,1,1
30,"'s-hertogenbosch,",s h ɛ r t oː ɣ ɛ n b ɔ s x,sh/rt/ːɣ/nb/sx,4,14,2
31,(turbulentie).,t ʏ r b yː l ɛ n t iː,t/rb/ːl/nt/ː,4,12,1.6
32,(uranium).,yː r aː n ɪ ʏ m,/ːr/ːn/m,3,9,1.6666666666666667
33,(zie,z iː eː,z/ː/ː,2,5,1
34,<unk>,spn,N/A,N/A,N/A,N/A
35,a,aː,/ː,1,2,1
36,aalmoes.,aː l m uː s,/ːlm/ːs,2,7,2.5
37,aalst,aː l s t,/ːlst,1,5,4
38,aan,aː n,/ːn,1,3,2
39,aan!,aː n,/ːn,1,3,2
40,"aan,",aː n,/ːn,1,3,2
41,aan-,aː n,/ːn,1,3,2
42,aan.,aː n,/ːn,1,3,2
43,aan:,aː n,/ːn,1,3,2
44,aan?,aː n,/ːn,1,3,2
45,aanbeland,aː n b eː l ɑ n t,/ːnb/ːl/nt,3,10,2.3333333333333335
46,aanbeland.,aː n b eː l ɑ n d,/ːnb/ːl/nd,3,10,2.3333333333333335
47,aanbestedende,aː n b ɛ s t eː d ɛ n d eː,/ːnb/st/ːd/nd/ː,5,15,2
48,aanbesteding,aː n b ɛ s t eː d ɪ n x,/ːnb/st/ːd/nx,4,13,2.25
49,aanbestedingen,aː n b ɛ s t eː d ɪ ŋ ɛ n,/ːnb/st/ːd/ŋ/n,5,14,1.8
50,aanbestedingsprocedures,aː n b ɛ s t eː d ɪ n x s p r oː s eː d yː r ɛ s,/ːnb/st/ːd/nxspr/ːs/ːd/ːr/s,8,27,2.375
51,aanbevelen,aː n b eː v ɛ l ɛ n,/ːnb/ːv/l/n,4,11,1.75
52,aanbevelen.,aː n b eː v ɛ l ɛ n,/ːnb/ːv/l/n,4,11,1.75
53,aanbevelen?,aː n b eː v ɛ l ɛ n,/ːnb/ːv/l/n,4,11,1.75
54,aanbeveling,aː n b eː v ɛ l ɪ n x,/ːnb/ːv/l/nx,4,12,2
