,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'d,ə ɖ,/ɖ,1,2,1
1,'d,ʈ,ʈ,0,1,1
2,'em,ə m,/m,1,2,1
3,'em,ɛ m,/m,1,2,1
4,'em,ɪ m,/m,1,2,1
5,'ll,l,l,0,1,1
6,'ll,ə l,/l,1,2,1
7,'m,m,m,0,1,1
8,'m,ə m,/m,1,2,1
9,'re,ə,/,1,1,N/A
10,'re,ɪ ə,/,1,2,N/A
11,'s,dʒ,dʒ,0,2,2
12,'s,s,s,0,1,1
13,'s,z,z,0,1,1
14,'s,ɪ dʒ,/dʒ,1,3,2
15,'s,ɪ z,/z,1,2,1
16,'un,ə n,/n,1,2,1
17,'ve,ə,/,1,1,N/A
18,'ve,ə ʋ,/ʋ,1,2,1
19,'ve,ʋ,ʋ,0,1,1
20,<cutoff>,spn,N/A,N/A,N/A,N/A
21,<unk>,spn,N/A,N/A,N/A,N/A
22,[bracketed],spn,N/A,N/A,N/A,N/A
23,[laughter],spn,N/A,N/A,N/A,N/A
24,a,a,/,1,1,N/A
25,a,ɑ,/,1,1,N/A
26,a,ɑː,/ː,1,2,1
27,a,ɒ,/,1,1,N/A
28,a,ə,/,1,1,N/A
29,aachen,ɑː k ə n,/ːk/n,2,5,1.5
30,aaron,a ə n,/n,1,3,1
31,aaron,ɛː ə n,/ː/n,2,4,1
32,aaronic,a ɹ ɒ ɲ ɪ k,/ɹ/ɲ/k,3,6,1
33,aaronic,ɛː ɹ ɒ ɲ ɪ k,/ːɹ/ɲ/k,3,7,1.3333333333333333
34,aba,ə b aː,/b/ː,2,4,1
35,aba,ə b ɑː,/b/ː,2,4,1
36,ababa,b aː b ə,b/ːb/,2,5,1.5
37,ababa,ə b ɑː b ə,/b/ːb/,3,6,1.5
38,abandon,ə b a n ɖ ə n,/b/nɖ/n,3,7,1.3333333333333333
39,abandoned,ə b a n ɖ ə n,/b/nɖ/n,3,7,1.3333333333333333
40,abandoned,ə b a n ɖ ə n ɖ,/b/nɖ/nɖ,3,8,1.6666666666666667
41,abandoning,ə b a n ɖ ə ɲ ɪ ŋ,/b/nɖ/ɲ/ŋ,4,9,1.25
42,abandons,ə b a n ɖ ə n z,/b/nɖ/nz,3,8,1.6666666666666667
43,abated,ə b eː ʈʲ ɪ ɖ,/b/ːʈʲ/ɖ,3,8,1.6666666666666667
44,abbas,ə b aː s,/b/ːs,2,5,1.5
45,abbas,ə b ɑː s,/b/ːs,2,5,1.5
46,abbey,a bʲ i,/bʲ/,2,4,2
47,abbot,a b ə ʈ,/b/ʈ,2,4,1
48,abbotsford,a b ə tʃ f ə ɖ,/b/tʃf/ɖ,3,8,1.6666666666666667
49,abbott,a b oː ʈ,/b/ːʈ,2,5,1.5
50,abbreviated,ə b ɹ iː ʋ i eː ʈʲ ɪ ɖ,/bɹ/ːʋ/ːʈʲ/ɖ,4,13,2
51,abbreviation,ə b ɹ iː ʋ i eː ʃ ə n,/bɹ/ːʋ/ːʃ/n,4,12,1.75
52,abbreviations,ə b ɹ iː ʋ i eː ʃ ə n z,/bɹ/ːʋ/ːʃ/nz,4,13,2
53,abby,a bʲ i,/bʲ/,2,4,2
54,abdel,a b ɖ ə l,/bɖ/l,2,5,1.5
55,abdomen,a b ɖ oː m ə n,/bɖ/ːm/n,3,8,1.6666666666666667
56,abdomen,a b ɖ ə m ə n,/bɖ/m/n,3,7,1.3333333333333333
57,abdominal,a b ɖ ɒ m ə n ə l,/bɖ/m/n/l,4,9,1.25
58,abdominal,ə b ɖ ɒ m ə n ə l,/bɖ/m/n/l,4,9,1.25
59,abducted,a b ɖ ə k ʈʲ ɪ ɖ,/bɖ/kʈʲ/ɖ,3,9,2
60,abduction,a b ɖ ə c ʃ ə n,/bɖ/cʃ/n,3,8,1.6666666666666667
61,abdul,a b ɖ ə l,/bɖ/l,2,5,1.5
62,abdulaziz,ə b dʒ ʊ l eː z ɪ z,/bdʒ/l/ːz/z,4,11,1.75
63,abdullah,a b ɖ ə l ə,/bɖ/l/,3,6,1.5
64,abel,eː b ə l,/ːb/l,2,5,1.5
65,abelian,ə bʲ iː ʎ ɪ ə n,/bʲ/ːʎ/n,3,9,1.6666666666666667
66,abellio,ə b ɛ ʎ oː,/b/ʎ/ː,3,6,1
67,abenaki,a b ə n ɑː c i,/b/n/ːc/,4,8,1.3333333333333333
68,abercrombie,a b ə k ɹ ɒ m bʲ i,/b/kɹ/mbʲ/,4,10,2
69,aberdeen,a b ə ɖ iː n,/b/ɖ/ːn,3,7,1.3333333333333333
70,aberdeenshire,a b ə ɖ iː n ʃ ə,/b/ɖ/ːnʃ/,4,9,1.6666666666666667
71,abeyance,ə b eː ə n s,/b/ː/ns,3,7,1.3333333333333333
72,abigail,a bʲ ɪ ɡ eː l,/bʲ/ɡ/ːl,3,8,1.6666666666666667
73,abilities,a bʲ ɪ ʎ ɪ ʈʲ i dʒ,/bʲ/ʎ/ʈʲ/dʒ,4,11,1.75
74,abilities,a bʲ ɪ ʎ ɪ ʈʲ i z,/bʲ/ʎ/ʈʲ/z,4,10,1.5
75,ability,bʲ ɪ ʎ ɪ ʈʲ i,bʲ/ʎ/ʈʲ/,3,8,1.6666666666666667
76,ability,ə bʲ ɪ ʎ ɪ ʈʲ i,/bʲ/ʎ/ʈʲ/,4,9,1.6666666666666667
77,abington,a bʲ ɪ ŋ ʈ ə n,/bʲ/ŋʈ/n,3,8,1.6666666666666667
78,abjuration,ə b dʒ ʊ ɹ eː ʃ ə n,/bdʒ/ɹ/ːʃ/n,4,11,1.75
79,ablative,ə b l eː ʈʲ ɪ ʋ,/bl/ːʈʲ/ʋ,3,9,2
80,ablaze,a b l eː z,/bl/ːz,2,6,2
81,able,eː b ə l,/ːb/l,2,5,1.5
82,abner,a b n ə,/bn/,2,4,2
83,abner,a b n ə ɾ,/bn/ɾ,2,5,1.5
84,abney,a b ɲ i,/bɲ/,2,4,2
85,abnormal,a b n ɒː m ə l,/bn/ːm/l,3,8,1.6666666666666667
86,abnormalities,a b n ɒː m a ʎ ɪ ʈʲ i z,/bn/ːm/ʎ/ʈʲ/z,5,13,1.6
87,aboard,ə b ɒː ɖ,/b/ːɖ,2,5,1.5
88,abode,ə b oː ɖ,/b/ːɖ,2,5,1.5
89,abolish,ə b ɒ ʎ ɪ ʃ,/b/ʎ/ʃ,3,6,1
90,abolished,ə b ɒ ʎ ɪ ʃ ʈ,/b/ʎ/ʃʈ,3,7,1.3333333333333333
91,abolition,a b ə ʎ ɪ ʃ ə n,/b/ʎ/ʃ/n,4,8,1
92,abolitionist,a b ə ʎ ɪ ʃ ə n ɪ s ʈ,/b/ʎ/ʃ/n/sʈ,5,11,1.2
93,aboriginal,a b ə ɹ ɪ dʒ ɪ n ə l,/b/ɹ/dʒ/n/l,5,11,1.2
94,aboriginal,a b ə ɾ ɪ dʒ ɪ n ə l,/b/ɾ/dʒ/n/l,5,11,1.2
95,aboriginals,a b ə ɹ ɪ dʒ n ə l z,/b/ɹ/dʒn/lz,4,11,1.75
96,aborigines,a b ə ɹ ɪ dʒ ɪ ɲ iː dʒ,/b/ɹ/dʒ/ɲ/ːdʒ,5,13,1.6
