,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'d,t,t,0,1,1
1,'d,ɛ d,/d,1,2,1
2,'em,ɛ m,/m,1,2,1
3,'ll,i ɫ,/ɫ,1,2,1
4,'ll,ɫ,ɫ,0,1,1
5,'m,a m,/m,1,2,1
6,'m,m,m,0,1,1
7,'re,a,/,1,1,N/A
8,'re,i a,/,1,2,N/A
9,'s,i s,/s,1,2,1
10,'s,i z,/z,1,2,1
11,'s,s,s,0,1,1
12,'s,z,z,0,1,1
13,'un,ɔ n,/n,1,2,1
14,'ve,a,/,1,1,N/A
15,'ve,a v,/v,1,2,1
16,'ve,v,v,0,1,1
17,-d,spn,N/A,N/A,N/A,N/A
18,<cutoff>,spn,N/A,N/A,N/A,N/A
19,<unk>,spn,N/A,N/A,N/A,N/A
20,[bracketed],spn,N/A,N/A,N/A,N/A
21,[laughter],spn,N/A,N/A,N/A,N/A
22,a,a,/,1,1,N/A
23,a,e,/,1,1,N/A
24,aardvark,a d v a k,/dv/k,2,5,1.5
25,aaron,a u n,/n,1,3,1
26,aaron,ɛː u n,/ː/n,2,4,1
27,aba,a b a,/b/,2,3,1
28,abacha,a b a tʃ a,/b/tʃ/,3,6,1.5
29,aback,a b a k,/b/k,2,4,1
30,abandon,a b a n d ɔ n,/b/nd/n,3,7,1.3333333333333333
31,abandoned,a b a n d ɔ n d,/b/nd/nd,3,8,1.6666666666666667
32,abandonment,a b a n d ɔ n m ɛ n t,/b/nd/nm/nt,4,11,1.75
33,abass,a b a s,/b/s,2,4,1
34,abattoir,a b a tʷ a,/b/tʷ/,3,6,1.5
35,abbey,a bʲ i,/bʲ/,2,4,2
36,abbot,a b ɔ t,/b/t,2,4,1
37,abbreviated,a b ɹ iː vʲ i e t ɛ d,/bɹ/ːvʲ/t/d,4,12,1.75
38,abbreviations,a b ɹ iː vʲ i e ʃ ɔ n z,/bɹ/ːvʲ/ʃ/nz,4,13,2
39,abby,a bʲ i,/bʲ/,2,4,2
40,abc,e bʲ iː s iː,/bʲ/ːs/ː,3,8,1.6666666666666667
41,abdomen,a b d o m ɛ n,/bd/m/n,3,7,1.3333333333333333
42,abdomen,a b d ɔ m ɛ n,/bd/m/n,3,7,1.3333333333333333
43,abdominal,a b d ɔ mʲ i n a ɫ,/bd/mʲ/n/ɫ,4,10,1.5
44,abducted,a b d ɔ k t ɛ d,/bd/kt/d,3,8,1.6666666666666667
45,abdul,a b dʲ uː ɫ,/bdʲ/ːɫ,2,7,2.5
46,abdulahi,a b dʲ uː l a ç i,/bdʲ/ːl/ç/,4,10,2
47,abdullahi,a b d ʊ l a ç i,/bd/l/ç/,4,8,1.3333333333333333
48,abdullahi,a b d ʊ l aj,/bd/l/j,3,7,1.3333333333333333
