,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'d,d,d,0,1,1
1,'em,ə m,/m,1,2,1
2,'in,ɪ n,/n,1,2,1
3,'ll,ə l,/l,1,2,1
4,'ll,ə ɹ,/ɹ,1,2,1
5,'m,a m,/m,1,2,1
6,'n,ə n,/n,1,2,1
7,'re,a,/,1,1,N/A
8,'s,i s,/s,1,2,1
9,'s,i z,/z,1,2,1
10,'un,ɐ n,/n,1,2,1
11,'ve,a,/,1,1,N/A
12,<cutoff>,spn,N/A,N/A,N/A,N/A
13,<unk>,spn,N/A,N/A,N/A,N/A
14,[bracketed],spn,N/A,N/A,N/A,N/A
15,[laughter],spn,N/A,N/A,N/A,N/A
16,a,a,/,1,1,N/A
17,a',ə,/,1,1,N/A
18,aachen,ɑ k ə n,/k/n,2,4,1
19,aare,a ɹ a,/ɹ/,2,3,1
20,aarhus,ɒ ɹ h ʉ s,/ɹh/s,2,5,1.5
21,aaron,a ə n,/n,1,3,1
22,aba,a b a,/b/,2,3,1
23,ababa,ə b ɑː b ə,/b/ːb/,3,6,1.5
24,abacus,a b a k u s,/b/k/s,3,6,1
25,abandon,a b a n d ɔ n,/b/nd/n,3,7,1.3333333333333333
26,abandoned,a b a n d ɔ n,/b/nd/n,3,7,1.3333333333333333
27,abandoned,a b a n d ɔ n d,/b/nd/nd,3,8,1.6666666666666667
28,abandoning,a b a n d ɔ n i ŋ ɡ,/b/nd/n/ŋɡ,4,10,1.5
29,abandonment,a b a n d ɔ n m ɛ n t,/b/nd/nm/nt,4,11,1.75
30,abate,a b e t,/b/t,2,4,1
31,abbas,a b a s,/b/s,2,4,1
32,abbeville,a b ə v ɪ ɫ,/b/v/ɫ,3,6,1
33,abbey,a bʲ i,/bʲ/,2,4,2
34,abbeys,a bʲ i z,/bʲ/z,2,5,1.5
35,abbie,a bʲ i,/bʲ/,2,4,2
36,abbot,a b ɔ t,/b/t,2,4,1
37,abbotsford,a b ə tʃ f ə d,/b/tʃf/d,3,8,1.6666666666666667
38,abbott,a b əw t,/b/wt,2,5,1.5
39,abbreviated,a b ɹ iː vʲ i e t ɛ d,/bɹ/ːvʲ/t/d,4,12,1.75
40,abbreviation,a b ɹ iː vʲ i e ʃ ɔ n,/bɹ/ːvʲ/ʃ/n,4,12,1.75
41,abbreviations,a b ɹ iː vʲ i e ʃ ɔ n z,/bɹ/ːvʲ/ʃ/nz,4,13,2
42,abby,a bʲ i,/bʲ/,2,4,2
43,abdicated,a b dʲ i cʰ e t ɛ d,/bdʲ/cʰ/t/d,4,11,1.75
44,abdication,a b d ə cʰ ej ʃ ə n,/bd/cʰ/jʃ/n,4,11,1.75
45,abdomen,a b d ɔ m ɛ n,/bd/m/n,3,7,1.3333333333333333
46,abdominal,a b d ɒ m n ə ɫ,/bd/mn/ɫ,3,8,1.6666666666666667
47,abdominal,a b d ɒ m ə n ə ɫ,/bd/m/n/ɫ,4,9,1.25
48,abduction,a b d ɔ c ʃ ɔ n,/bd/cʃ/n,3,8,1.6666666666666667
49,abdul,a b d ɐ ɫ,/bd/ɫ,2,5,1.5
50,abdullah,a b d ɐ l ə,/bd/l/,3,6,1.5
51,abe,a bʲ i,/bʲ/,2,4,2
52,abel,e b ɛ ɫ,/b/ɫ,2,4,1
53,abelian,ə bʲ i ʎ ə n,/bʲ/ʎ/n,3,7,1.3333333333333333
54,abellio,ə b ɛ ʎ əw,/b/ʎ/w,3,6,1
55,abercrombie,a b ə k ɹ ɒ m bʲ i,/b/kɹ/mbʲ/,4,10,2
56,aberdare,a b ə d ɛː,/b/d/ː,3,6,1
57,aberdeen,a b ə dʲ iː n,/b/dʲ/ːn,3,8,1.6666666666666667
58,aberdeenshire,a b ə dʲ iː n ʃ ə,/b/dʲ/ːnʃ/,4,10,2
59,abergavenny,æ b ɚ ɡ æ v ɛ ɲ i,/bɚɡ/v/ɲ/,4,9,1.6666666666666667
60,aberration,a b ə ɹ eː ʃ ə n,/b/ɹ/ːʃ/n,4,9,1.25
61,aberrations,a b ɛ ɹ e ʃ ɔ n z,/b/ɹ/ʃ/nz,4,9,1.25
62,abhishek,ɐ bʲ ɪ ʃ ej k,/bʲ/ʃ/jk,3,8,1.6666666666666667
63,abide,a b aj d,/b/jd,2,5,1.5
64,abigail,a bʲ i ɡ e ɫ,/bʲ/ɡ/ɫ,3,7,1.3333333333333333
65,abilene,a bʲ i ʎ iː n,/bʲ/ʎ/ːn,3,8,1.6666666666666667
66,abilities,a bʲ i ʎ i tʲ i z,/bʲ/ʎ/tʲ/z,4,10,1.5
67,ability,a bʲ i ʎ i tʲ i,/bʲ/ʎ/tʲ/,4,9,1.6666666666666667
68,abinadi,a bʲ ɪ n ɑː dʲ i,/bʲ/n/ːdʲ/,4,10,2
69,abingdon,a bʲ ɪ ŋ d ə n,/bʲ/ŋd/n,3,8,1.6666666666666667
70,abington,a bʲ ɪ ŋ t ə n,/bʲ/ŋt/n,3,8,1.6666666666666667
71,able,b ə ɫ,b/ɫ,1,3,1
72,able,ə b ə ɫ,/b/ɫ,2,4,1
73,able,ə b ə ɹ,/b/ɹ,2,4,1
74,abner,a b n ə,/bn/,2,4,2
75,abnett,a b n ɛ t,/bn/t,2,5,1.5
76,abnormal,a b n ɒː m ə l,/bn/ːm/l,3,8,1.6666666666666667
77,abnormalities,a b n ɒː m a ʎ ɪ tʲ i z,/bn/ːm/ʎ/tʲ/z,5,13,1.6
78,aboard,a b ɔ d,/b/d,2,4,1
79,abolished,a b ɔ ʎ i ʃ t,/b/ʎ/ʃt,3,7,1.3333333333333333
