,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'d,t,t,0,1,1
1,'d,ə d,/d,1,2,1
2,'em,ə m,/m,1,2,1
3,'em,ɛ m,/m,1,2,1
4,'em,ɪ m,/m,1,2,1
5,'ll,ə ɫ,/ɫ,1,2,1
6,'ll,ɫ,ɫ,0,1,1
7,'m,m,m,0,1,1
8,'m,ə m,/m,1,2,1
9,'re,ə,/,1,1,N/A
10,'re,ɪ ə,/,1,2,N/A
11,'s,s,s,0,1,1
12,'s,z,z,0,1,1
13,'s,ɪ z,/z,1,2,1
14,'un,ɐ n,/n,1,2,1
15,'ve,v,v,0,1,1
16,'ve,ə,/,1,1,N/A
17,'ve,ə v,/v,1,2,1
18,<cutoff>,spn,N/A,N/A,N/A,N/A
19,<unk>,spn,N/A,N/A,N/A,N/A
20,[bracketed],spn,N/A,N/A,N/A,N/A
21,[laughter],spn,N/A,N/A,N/A,N/A
22,a,a,/,1,1,N/A
23,a,ɑ,/,1,1,N/A
24,a,ɑː,/ː,1,2,1
25,a,ɒ,/,1,1,N/A
26,a,ə,/,1,1,N/A
27,aachen,ɑː k ə n,/ːk/n,2,5,1.5
28,aalborg,ɒː ɫ b ɒː,/ːɫb/ː,2,6,2
29,aalborg,ɒː ɫ b ɒː ɡ,/ːɫb/ːɡ,2,7,2.5
30,aardvark,ɑː d v ɑː k,/ːdv/ːk,2,7,2.5
31,aarhus,ɒː h ʉː s,/ːh/ːs,2,6,2
32,aaron,a ə n,/n,1,3,1
33,aaron,ɛː ə n,/ː/n,2,4,1
34,ab,a b,/b,1,2,1
35,ababa,ə b ɑː b ə,/b/ːb/,3,6,1.5
36,aback,ə b a k,/b/k,2,4,1
37,abaco,a b a kʰ əw,/b/kʰ/w,3,7,1.3333333333333333
38,abaco,a b ə kʰ əw,/b/kʰ/w,3,7,1.3333333333333333
39,abacus,a b ə k ə s,/b/k/s,3,6,1
40,abajo,a b aj əw,/b/j/w,3,6,1
