,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'d,d,d,0,1,1
1,'d,t,t,0,1,1
2,'d,ɪ d,/d,1,2,1
3,'d,ɪ ɾ,/ɾ,1,2,1
4,'em,m̩,m̩,0,2,2
5,'em,ə m,/m,1,2,1
6,'em,ɛ m,/m,1,2,1
7,'em,ɪ m,/m,1,2,1
8,'in,ɪ n,/n,1,2,1
9,'ll,ə ɫ,/ɫ,1,2,1
10,'ll,ɫ,ɫ,0,1,1
11,'ll,ɫ̩,ɫ̩,0,2,2
12,'m,m,m,0,1,1
13,'m,ə m,/m,1,2,1
14,'n,n,n,0,1,1
15,'n,ə n,/n,1,2,1
16,'n,ɪ n,/n,1,2,1
17,'re,ɚ,ɚ,0,1,1
18,'re,ɹ,ɹ,0,1,1
19,'re,ʔ ɚ,ʔɚ,0,2,2
20,'s,s,s,0,1,1
21,'s,z,z,0,1,1
22,'s,ɪ z,/z,1,2,1
23,'un,ɐ n,/n,1,2,1
24,'ve,v,v,0,1,1
25,'ve,ə,/,1,1,N/A
26,'ve,ə v,/v,1,2,1
27,<cutoff>,spn,N/A,N/A,N/A,N/A
28,<unk>,spn,N/A,N/A,N/A,N/A
29,[bracketed],spn,N/A,N/A,N/A,N/A
30,[laughter],spn,N/A,N/A,N/A,N/A
31,a,ej,/j,1,2,1
32,a,ə,/,1,1,N/A
33,a',ə,/,1,1,N/A
34,aachen,ɑ k ə n,/k/n,2,4,1
35,aae,ej ej iː,/j/j/ː,3,6,1
36,aalborg,ɒ ɫ b ɒ ɹ ɡ,/ɫb/ɹɡ,2,6,2
37,aar,ɑ ɹ,/ɹ,1,2,1
38,aardvark,ɑ ɹ d v ɑ ɹ k,/ɹdv/ɹk,2,7,2.5
39,aare,ɑ ɹ ə,/ɹ/,2,3,1
40,aarhus,ɒ ɹ h ʉ s,/ɹh/s,2,5,1.5
41,aaron,ɛ ɹ ə n,/ɹ/n,2,4,1
42,ab,ej bʲ iː,/jbʲ/ː,2,6,2
43,ab,æ b,/b,1,2,1
44,ab,ɑ b,/b,1,2,1
45,ababa,ə b ɑː b ə,/b/ːb/,3,6,1.5
46,aback,ə b æ k,/b/k,2,4,1
47,abaft,ə b æ f t,/b/ft,2,5,1.5
