,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,ააგეს,ɑ ɑ ɡ ɛ s,/ɡ/s,2,5,1
1,აამოძრავა,ɑ ɑ m ɔ dz ɾ ɑ v ɑ,/m/dzɾ/v/,4,10,1.6666666666666667
2,აამხედრა,ɑ ɑ m x ɛ d ɾ ɑ,/mx/dɾ/,3,8,2
3,ააღორძინეს,ɑ ɑ ɣ ɔ ɾ dz i n ɛ s,/ɣ/ɾdz/n/s,4,11,1.5
4,ააშენა,ɑ ɑ ʃ ɛ n ɑ,/ʃ/n/,3,6,1
5,ააშენეს,ɑ ɑ ʃ ɛ n ɛ s,/ʃ/n/s,3,7,1
6,ააცი,ɑ ɑ ts i,/ts/,2,5,2
7,აბანოში,ɑ b ɑ n ɔ ʃ i,/b/n/ʃ/,4,7,1
8,აბაშიძე,ɑ b ɑ ʃ i dz ɛ,/b/ʃ/dz/,4,8,1.3333333333333333
9,აბაშიძემ,ɑ b ɑ ʃ i dz ɛ m,/b/ʃ/dz/m,4,9,1.25
10,აბდულაჰი,ɑ b d u l ɑ h i,/bd/l/h/,4,8,1.3333333333333333
11,აბი,ɑ b i,/b/,2,3,1
12,აბიბოს,ɑ b i b ɔ s,/b/b/s,3,6,1
13,აბრამსი,ɑ b ɾ ɑ m s i,/bɾ/ms/,3,7,2
14,აბრეშუმით,ɑ b ɾ ɛ ʃ u m i tʰ,/bɾ/ʃ/m/tʰ,4,10,1.5
15,აბრეშუმის,ɑ b ɾ ɛ ʃ u m i s,/bɾ/ʃ/m/s,4,9,1.25
16,აბრეშუმისებრი,ɑ b ɾ ɛ ʃ u m i s ɛ b ɾ i,/bɾ/ʃ/m/s/bɾ/,6,13,1.4
17,აბსიდით,ɑ b s i d i tʰ,/bs/d/tʰ,3,8,1.6666666666666667
18,აბსიდის,ɑ b s i d i s,/bs/d/s,3,7,1.3333333333333333
19,აბსიდში,ɑ b s i d ʃ i,/bs/dʃ/,3,7,2
20,აბსოლუტურად,ɑ b s ɔ l u tʼ u ɾ ɑ d,/bs/l/tʼ/ɾ/d,5,12,1.4
21,აბსოლუტური,ɑ b s ɔ l u tʼ u ɾ i,/bs/l/tʼ/ɾ/,5,11,1.5
22,აბუ-დაბის,ɑ b u d ɑ b i s,/b/d/b/s,4,8,1
23,აბუჯაში,ɑ b u dʒ ɑ ʃ i,/b/dʒ/ʃ/,4,8,1.3333333333333333
24,აგებას,ɑ ɡ ɛ b ɑ s,/ɡ/b/s,3,6,1
25,აგებდნენ,ɑ ɡ ɛ b d n ɛ n,/ɡ/bdn/n,3,8,1.6666666666666667
26,აგებს,ɑ ɡ ɛ b s,/ɡ/bs,2,5,1.5
27,აგებულებას,ɑ ɡ ɛ b u l ɛ b ɑ s,/ɡ/b/l/b/s,5,10,1
28,აგებულებით,ɑ ɡ ɛ b u l ɛ b i tʰ,/ɡ/b/l/b/tʰ,5,11,1.2
29,აგებულების,ɑ ɡ ɛ b u l ɛ b i s,/ɡ/b/l/b/s,5,10,1
30,აგებული,ɑ ɡ ɛ b u l i,/ɡ/b/l/,4,7,1
31,აგებულია,ɑ ɡ ɛ b u l i ɑ,/ɡ/b/l/,4,8,1
32,აგენტია,ɑ ɡ ɛ n tʼ i ɑ,/ɡ/ntʼ/,3,8,2
33,აგვისტო,ɑ ɡ v i s tʼ ɔ,/ɡv/stʼ/,3,8,2.5
34,აგვისტომდე,ɑ ɡ v i s tʼ ɔ m d ɛ,/ɡv/stʼ/md/,4,11,2.3333333333333335
35,აგრარული,ɑ ɡ ɾ ɑ ɾ u l i,/ɡɾ/ɾ/l/,4,8,1.3333333333333333
36,აგრეგატულ,ɑ ɡ ɾ ɛ ɡ ɑ tʼ u l,/ɡɾ/ɡ/tʼ/l,4,10,1.5
37,აგრეთვე,ɑ ɡ ɾ ɛ tʰ v ɛ,/ɡɾ/tʰv/,3,8,2.5
38,აგრესიულ,ɑ ɡ ɾ ɛ s i u l,/ɡɾ/s/l,3,8,1.3333333333333333
39,აგროვებდა,ɑ ɡ ɾ ɔ v ɛ b d ɑ,/ɡɾ/v/bd/,4,9,1.6666666666666667
40,აგროვებს,ɑ ɡ ɾ ɔ v ɛ b s,/ɡɾ/v/bs,3,8,1.6666666666666667
41,აგრომეტეოროლოგიური,ɑ ɡ ɾ ɔ m ɛ tʼ ɛ ɔ ɾ ɔ l ɔ ɡ i u ɾ i,/ɡɾ/m/tʼ/ɾ/l/ɡ/ɾ/,8,19,1.2857142857142858
42,აგრონომიული,ɑ ɡ ɾ ɔ n ɔ m i u l i,/ɡɾ/n/m/l/,5,11,1.25
43,აგროტექნიკა,ɑ ɡ ɾ ɔ tʼ ɛ kʰ n i kʼ ɑ,/ɡɾ/tʼ/kʰn/kʼ/,5,14,2.25
44,აგრძელებს,ɑ ɡ ɾ dz ɛ l ɛ b s,/ɡɾdz/l/bs,3,10,2.3333333333333335
45,აგუასკალიენტესის,ɑ ɡ u ɑ s kʼ ɑ l i ɛ n tʼ ɛ s i s,/ɡ/skʼ/l/ntʼ/s/s,6,18,1.6666666666666667
46,აგურები,ɑ ɡ u ɾ ɛ b i,/ɡ/ɾ/b/,4,7,1
47,აგური,ɑ ɡ u ɾ i,/ɡ/ɾ/,3,5,1
48,აგურია,ɑ ɡ u ɾ i ɑ,/ɡ/ɾ/,3,6,1
49,აგურით,ɑ ɡ u ɾ i tʰ,/ɡ/ɾ/tʰ,3,7,1.3333333333333333
50,აგურის,ɑ ɡ u ɾ i s,/ɡ/ɾ/s,3,6,1
51,აგურისაა,ɑ ɡ u ɾ i s ɑ ɑ,/ɡ/ɾ/s/,4,8,1
52,ადამიანად,ɑ d ɑ m i ɑ n ɑ d,/d/m/n/d,4,9,1
53,ადამიანებთან,ɑ d ɑ m i ɑ n ɛ b tʰ ɑ n,/d/m/n/btʰ/n,5,13,1.4
54,ადამიანები,ɑ d ɑ m i ɑ n ɛ b i,/d/m/n/b/,5,10,1
55,ადამიანების,ɑ d ɑ m i ɑ n ɛ b i s,/d/m/n/b/s,5,11,1
56,ადამიანებიც,ɑ d ɑ m i ɑ n ɛ b i ts,/d/m/n/b/ts,5,12,1.2
