,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'γω,ɣ o,ɣ/,1,2,1
1,'θελε,θ ɛ l ɛ,θ/l/,2,4,1
2,'λεγες,l ɛ ɣ ɛ s,l/ɣ/s,2,5,1
3,'μεις,m i s,m/s,1,3,1
4,'ξερες,k s ɛ ɾ ɛ s,ks/ɾ/s,2,6,1.3333333333333333
5,'πεφτε,p ɛ f t̪ ɛ,p/ft̪/,2,6,2
6,'ρχόσουν,ɾ x o s u n̪,ɾx/s/n̪,2,7,1.6666666666666667
7,'σαι,s ɛ,s/,1,2,1
8,'σπαζαν,s p ɐ z ɐ n̪,sp/z/n̪,2,7,1.6666666666666667
9,'στριψε,s t̪ ɾ i p s ɛ,st̪ɾ/ps/,2,8,3
10,'ταν,t̪ ɐ n̪,t̪/n̪,1,5,2
11,'χάσε,x ɐ s ɛ,x/s/,2,4,1
12,'χε,x ɛ,x/,1,2,1
13,'χει,x i,x/,1,2,1
14,'χουν,x u n̪,x/n̪,1,4,1.5
15,'χω,x o,x/,1,2,1
16,<unk>,spn,N/A,N/A,N/A,N/A
17,aπό,ɐ p o,/p/,2,3,1
18,hangover,ɐ n̪ ɡ o v ɾ,/n̪ɡ/vɾ,2,7,2.5
19,mπορούν,m p o ɾ u n̪,mp/ɾ/n̪,2,7,1.6666666666666667
20,oι,o i,/,1,2,N/A
21,tι,t̪ i,t̪/,1,3,2
22,tρεχάτος,t̪ ɾ ɛ x ɐ t̪ o s,t̪ɾ/x/t̪/s,3,10,1.75
23,´ναι,n̪ ɛ,n̪/,1,3,2
24,´παιρνε,p ɛ ɾ n̪ ɛ,p/ɾn̪/,2,6,2
25,́αυτό,ɐ f t̪ o,/ft̪/,2,5,3
26,άγιο,ɐ ɣ i o,/ɣ/,2,4,1
27,άγιος,ɐ ɣ i o s,/ɣ/s,2,5,1
28,άγρια,ɐ ɣ ɾ i ɐ,/ɣɾ/,2,5,2
29,άγριες,ɐ ɣ ɾ i ɛ s,/ɣɾ/s,2,6,1.5
30,άγριο,ɐ ɣ ɾ i o,/ɣɾ/,2,5,2
31,άδεια,ɐ ð i ɐ,/ð/,2,4,1
32,άδειασε,ɐ ð i ɐ s ɛ,/ð/s/,3,6,1
33,άδειο,ɐ ð i o,/ð/,2,4,1
34,άδικα,ɐ ð i k ɐ,/ð/k/,3,5,1
35,άδικη,ɐ ð i k i,/ð/k/,3,5,1
36,άδικος,ɐ ð i k o s,/ð/k/s,3,6,1
37,άεργες,ɐ ɛ ɾ ɣ ɛ s,/ɾɣ/s,2,6,1.5
38,άκου,ɐ k u,/k/,2,3,1
39,άκουε,ɐ k u ɛ,/k/,2,4,1
40,άκουσα,ɐ k u s ɐ,/k/s/,3,5,1
41,άκουσαν,ɐ k u s ɐ n̪,/k/s/n̪,3,7,1.3333333333333333
42,άκουσε,ɐ k u s ɛ,/k/s/,3,5,1
43,άκουσες,ɐ k u s ɛ s,/k/s/s,3,6,1
44,άκουσεςείπε,ɐ k u s ɛ s i p ɛ,/k/s/s/p/,5,9,1
45,άκρες,ɐ k ɾ ɛ s,/kɾ/s,2,5,1.5
