,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,academia,a k a ⁿd e ᵐb i a,/k/ⁿd/ᵐb/,4,10,1.6666666666666667
1,ae,a e,/,1,2,N/A
2,aguyje,a ɰ u ɯ dʒ e,/ɰ/dʒ/,3,7,1.5
3,ag̃ave,a ɰ a ʋ e,/ɰ/ʋ/,3,5,1
4,ag̃uahẽva'ekue,a ɰ u a x ẽ ʋ a ʔ e k u e,/ɰ/xẽʋ/ʔ/k/,5,13,1.5
5,ag̃uahẽvo,a ɰ u a x ẽ ʋ o,/ɰ/xẽʋ/,3,8,2
6,aha,a x a,/x/,2,3,1
7,aha'ãrõ,a x a ʔ ã ɾ õ,/x/ʔãɾõ,2,7,2.5
8,ahasami,a x a s a ᵐb i,/x/s/ᵐb/,4,8,1.3333333333333333
9,ahava'erã,a x a ʋ a ʔ e ɾ ã,/x/ʋ/ʔ/ɾã,4,9,1.25
10,ahechahague,a x e ʃ a x a ɰ u e,/x/ʃ/x/ɰ/,5,10,1
11,ahechava'erã,a x e ʃ a ʋ a ʔ e ɾ ã,/x/ʃ/ʋ/ʔ/ɾã,5,11,1.2
12,ahejánte,a x e dʒ a ⁿd t e,/x/dʒ/ⁿdt/,4,10,2
13,ahekahína,a x e k a x i ⁿd a,/x/k/x/ⁿd/,5,10,1.25
14,ahupytypotáma,a x u p ɯ t ɯ p o t a ᵐb a,/x/p/t/p/t/ᵐb/,7,14,1.1666666666666667
15,aháta,a x a t a,/x/t/,3,5,1
16,aiko,a i k o,/k/,2,4,1
17,aikuaa,a i k u a a,/k/,2,6,1
18,aikéma,a i k e ᵐb a,/k/ᵐb/,3,7,1.5
19,aime,a i ᵐb e,/ᵐb/,2,5,2
20,aipo,a i p o,/p/,2,4,1
21,ajaka,a dʒ a k a,/dʒ/k/,3,6,1.5
22,ajapokuaa,a dʒ a p o k u a a,/dʒ/p/k/,4,10,1.3333333333333333
23,ajava'erã,a dʒ a ʋ a ʔ e ɾ ã,/dʒ/ʋ/ʔ/ɾã,4,10,1.5
24,ajetepyso,a dʒ e t e p ɯ s o,/dʒ/t/p/s/,5,10,1.25
25,ajovasa,a dʒ o ʋ a s a,/dʒ/ʋ/s/,4,8,1.3333333333333333
26,ajuhu,a dʒ u x u,/dʒ/x/,3,6,1.5
27,ajépango,a dʒ e p a ᵑɡ o,/dʒ/p/ᵑɡ/,4,9,1.6666666666666667
28,ajúngo,a dʒ u ᵑɡ o,/dʒ/ᵑɡ/,3,7,2
29,akatúa,a k a t u a,/k/t/,3,6,1
30,akeséma,a k e s e ᵐb a,/k/s/ᵐb/,4,8,1.3333333333333333
31,akói,a k o i,/k/,2,4,1
32,akóinte,a k o i ⁿd t e,/k/ⁿdt/,3,8,2
33,alfonso,a l a ʋ o ⁿd s o,/l/ʋ/ⁿds/,4,9,1.6666666666666667
34,ama,a ᵐb a,/ᵐb/,2,4,2
35,amandajépe,a ᵐb a ⁿd a dʒ e p e,/ᵐb/ⁿd/dʒ/p/,5,12,1.75
36,amanotaha,a ᵐb a ⁿd o t a x a,/ᵐb/ⁿd/t/x/,5,11,1.5
37,amañajey,a ᵐb a dʒ a dʒ e ɯ,/ᵐb/dʒ/dʒ/,4,11,2
38,amba'apo,a ᵐb a ʔ a p o,/ᵐb/ʔ/p/,4,8,1.3333333333333333
39,ambue,a ᵐb u e,/ᵐb/,2,5,2
40,ambuépe,a ᵐb u e p e,/ᵐb/p/,3,7,1.5
41,ambuéva,a ᵐb u e ʋ a,/ᵐb/ʋ/,3,7,1.5
42,amo,a ᵐb o,/ᵐb/,2,4,2
43,amombe'uporãta,a ᵐb o ᵐb e ʔ u p o ɾ ã t a,/ᵐb/ᵐb/ʔ/p/ɾãt/,6,15,1.8
