,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'ya'ya,j̰ aː˥ j̰ aː˥,j̰/ː˥j̰/ː˥,2,10,2.6666666666666665
1,'ya'yan,j̰ aː˥ j̰ a˥˦ ŋ,j̰/ː˥j̰/˥˦ŋ,2,11,3
2,'ya'yansu,j̰ aː˥ j̰ a˥˦ n s ɪ˩,j̰/ː˥j̰/˥˦ns/˩,3,14,2.75
3,'yan,j̰ a˥˦ ŋ,j̰/˥˦ŋ,1,6,2.5
4,'yan'uwa,j̰ a˥˦ ŋ ʔ ʊ˩ w aː˥,j̰/˥˦ŋʔ/˩w/ː˥,3,13,2.5
5,'yan'uwan,j̰ a˥˦ ŋ ʔ ʊ˩ w aː˥ ŋ,j̰/˥˦ŋʔ/˩w/ː˥ŋ,3,14,2.75
6,'yanci,j̰ a˥ n tʃ iː˩,j̰/˥ntʃ/ː˩,2,10,2.6666666666666665
7,'yancin,j̰ a˥ n tʃ iː˩ ŋ,j̰/˥ntʃ/ː˩ŋ,2,11,3
8,'yancinsu,j̰ a˥ n tʃ iː˩ n s ɪ˩,j̰/˥ntʃ/ː˩ns/˩,3,14,2.75
9,'yanjaridu,j̰ a˥˦ n dʒ ə˩ r iː˥ d ɪ˩,j̰/˥˦ndʒ/˩r/ː˥d/˩,4,17,2.6
10,'yanmata,j̰ ɛ˥ ŋ m aː˥ t aː˩,j̰/˥ŋm/ː˥t/ː˩,3,13,2.5
11,'yansandan,j̰ a˥˦ n s a˥ n d a˩ ŋ,j̰/˥˦ns/˥nd/˩ŋ,3,14,2.75
12,'yar,j̰ ɛ˥ r,j̰/˥r,1,5,2
13,'yarlukutar,j̰ aː˥ ɽ l ɪ˥ kʷ uː˥ t a˩ r,j̰/ː˥ɽl/˥kʷ/ː˥t/˩r,4,18,2.8
14,'yarsa,j̰ aː˥ ɽ s aː˥,j̰/ː˥ɽs/ː˥,2,10,2.6666666666666665
15,'yarsu,j̰ aː˥ ɽ s ɪ˩,j̰/ː˥ɽs/˩,2,9,2.3333333333333335
16,'yartsana,j̰ aː˥ ɽ sʼ ə˥ n ə˥,j̰/ː˥ɽsʼ/˥n/˥,3,13,2.5
17,<cutoff>,spn,N/A,N/A,N/A,N/A
18,<unk>,spn,N/A,N/A,N/A,N/A
19,[bracketed],spn,N/A,N/A,N/A,N/A
20,[laughter],spn,N/A,N/A,N/A,N/A
21,a,ʔ a˩,ʔ/˩,1,3,1
22,a'a,ʔ aː˥ ʔ aː˩,ʔ/ː˥ʔ/ː˩,2,8,2
23,a'ishatu,ʔ aː˥ ʔ ɪ˩ ʃ ə˥ t ɪ˩,ʔ/ː˥ʔ/˩ʃ/˥t/˩,4,13,1.8
24,ababe,ʔ a˩ b ə˩ b e˩,ʔ/˩b/˩b/˩,3,9,1.5
25,ababen,ʔ a˩ b ə˩ b eː˥ ŋ,ʔ/˩b/˩b/ː˥ŋ,3,11,2
26,ababnen,ʔ a˩ b ə˩ b n eː˥ ŋ,ʔ/˩b/˩bn/ː˥ŋ,3,12,2.25
