,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""अभी",a b̤ iː,/b̤/ː,2,5,1.5
1,"""अल-मामलकह",a l m aː m l ə k ə ɦ,/lm/ːml/k/ɦ,4,11,1.75
2,"""आज",aː d͡ʒ,/ːd͡ʒ,1,5,4
3,"""आप",aː p,/ːp,1,3,2
4,"""इज़वेस्तीया""।",i z v e s t iː j aː,/zv/st/ːj/ː,4,11,1.75
5,"""कब",k ə b,k/b,1,3,1
6,"""कुकी""",k u k iː,k/k/ː,2,5,1
7,"""कुछ",k u t͡ʃʰ,k/t͡ʃʰ,1,6,2.5
8,"""कैसे""",k æː s e,k/ːs/,2,5,1.5
9,"""कौन",k ɔː n,k/ːn,1,4,1.5
10,"""क्या",k j aː,kj/ː,1,4,1.5
11,"""क्यों""",k j o n,kj/n,1,4,1.5
12,"""चलो",t͡ʃ ə l o,t͡ʃ/l/,2,6,2
13,"""तीन",t iː n,t/ːn,1,4,1.5
14,"""नहीं,",n ə ɦ iː n,n/ɦ/ːn,2,6,1.3333333333333333
15,"""निगर""",n i ɡ ə r,n/ɡ/r,2,5,1
16,"""पिचर""",p i t͡ʃ ə r,p/t͡ʃ/r,2,7,1.6666666666666667
17,"""पुराना",p u r aː n aː,p/r/ːn/ː,3,8,1.25
18,"""प्रावदा""",p r aː v d aː,pr/ːvd/ː,2,8,2
19,"""बस",b ə s,b/s,1,3,1
20,"""ब्रासिल""",b r aː s i l,br/ːs/l,2,7,1.6666666666666667
21,"""मिस्र""",m i s r ə,m/sr/,2,5,1.5
22,"""मैं",m æː n,m/ːn,1,4,1.5
23,"""यह",j ə ɦ,j/ɦ,1,3,1
24,"""ये",j e,j/,1,2,1
25,"""रेक्स""",r e k s ə,r/ks/,2,5,1.5
26,"""रेपुबलिका",r e p u b l i k aː,r/p/bl/k/ː,4,10,1.2
27,"""लगता",l ə ɡ t aː,l/ɡt/ː,2,6,1.3333333333333333
28,"""लिंडा",l i n ɖ aː,l/nɖ/ː,2,6,1.3333333333333333
29,"""वे",v e,v/,1,2,1
30,"""सड़क",s ə ɽ ə k,s/ɽ/k,2,5,1
31,"""सिंगापुरा""",s i ŋ ɡ aː p u r aː,s/ŋɡ/ːp/r/ː,4,11,1.4
32,"""सुरियाह""",s u r i j aː ɦ,s/r/j/ːɦ,3,8,1.25
33,"""सेक्स",s e k s ə,s/ks/,2,5,1.5
34,"""स्लोवेन्स्को""",s l o v e n s k o,sl/v/nsk/,3,9,2
35,"""हम",ɦ ə m,ɦ/m,1,3,1
36,"""हाँ""",ɦ ãː,ɦãː,0,3,3
37,"""हाँ,",ɦ ãː,ɦãː,0,3,3
38,''राष्ट्रीय,r aː ʂ ʈ r iː j,r/ːʂʈr/ːj,2,9,2.3333333333333335
39,'...अल्पसंख्यकों,a l p ə s ə ŋ kʰ j ə k o n,/lp/s/ŋkʰj/k/n,5,14,1.8
40,'अक्षरधाम',a k ʂ ə r d̤ aː m,/kʂ/rd̤/ːm,3,10,2.3333333333333335
41,'अगले,a ɡ l e,/ɡl/,2,4,2
42,'अग्नि-परीक्षा',a ɡ n i p ə r iː k ʂ aː,/ɡn/p/r/ːkʂ/ː,5,13,1.6
43,'अपना,a p n aː,/pn/ː,2,5,1.5
44,'अपनों',a p n o n,/pn/n,2,5,1.5
45,'अलविदा',a l v i d aː,/lv/d/ː,3,7,1.3333333333333333
46,'अलाउद्दीन',a l aː u d d iː n,/l/ː/dd/ːn,4,10,1.5
