,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,a,ɑ,/,1,1,N/A
1,aach,ɑ ɑ ts h,/tsh,1,5,3
2,aaliyah,ɑ ɑ l i i ɑ h,/l/h,2,7,1
3,aba,ɑ b ɑ,/b/,2,3,1
4,abaúj-torna,ɑ b ɑ uː j t o r n ɑ,/b/ːjt/rn/,4,11,2
5,abba,ɑ bː ɑ,/bː/,2,4,2
6,abbahagytam,ɑ bː ɑ h ɑ ɟ t ɑ m,/bː/h/ɟt/m,4,10,1.5
7,abban,ɑ bː ɑ n,/bː/n,2,5,1.5
8,abból,ɑ bː oː l,/bː/ːl,2,6,2
9,abe,ɑ b ɛ,/b/,2,3,1
10,aberrációját,ɑ b ɛ rː aː ts i oː j aː t,/b/rː/ːts/ːj/ːt,5,16,2
11,abházia,ɑ b h aː z i ɑ,/bh/ːz/,3,8,2
12,ablak,ɑ b l ɑ k,/bl/k,2,5,1.5
13,ablaka,ɑ b l ɑ k ɑ,/bl/k/,3,6,1.5
14,ablakai,ɑ b l ɑ k ɑ i,/bl/k/,3,7,1.5
15,ablakain,ɑ b l ɑ k ɑ i n,/bl/k/n,3,8,1.3333333333333333
16,ablakba,ɑ b l ɑ k b ɑ,/bl/kb/,3,7,2
17,ablakban,ɑ b l ɑ k b ɑ n,/bl/kb/n,3,8,1.6666666666666667
18,ablakhoz,ɑ b l ɑ k h o z,/bl/kh/z,3,8,1.6666666666666667
19,ablakmélyedésben,ɑ b l ɑ k m eː j ɛ d eː ʃ b ɛ n,/bl/km/ːj/d/ːʃb/n,6,17,1.8333333333333333
20,ablakodhoz,ɑ b l ɑ k o d h o z,/bl/k/dh/z,4,10,1.5
21,ablakok,ɑ b l ɑ k o k,/bl/k/k,3,7,1.3333333333333333
22,ablakon,ɑ b l ɑ k o n,/bl/k/n,3,7,1.3333333333333333
23,ablakot,ɑ b l ɑ k o t,/bl/k/t,3,7,1.3333333333333333
24,ablakpárkányon,ɑ b l ɑ k p aː r k aː ɲ o n,/bl/kp/ːrk/ːɲ/n,5,15,2
25,ablaktábla,ɑ b l ɑ k t aː b l ɑ,/bl/kt/ːbl/,4,11,2.3333333333333335
26,ablakából,ɑ b l ɑ k aː b oː l,/bl/k/ːb/ːl,4,11,1.75
27,ablakán,ɑ b l ɑ k aː n,/bl/k/ːn,3,8,1.6666666666666667
28,abnormális,ɑ b n o r m aː l i ʃ,/bn/rm/ːl/ʃ,4,11,1.75
29,abonyi,ɑ b o ɲ i,/b/ɲ/,3,5,1
30,abrakolják,ɑ b r ɑ k o l j aː k,/br/k/lj/ːk,4,11,1.75
31,abroncs,ɑ b r o n tʃ,/br/ntʃ,2,7,2.5
32,abszolutizmus,ɑ b s o l u t i z m u ʃ,/bs/l/t/zm/ʃ,5,12,1.4
33,abszolutizmust,ɑ b s o l u t i z m u ʃ t,/bs/l/t/zm/ʃt,5,13,1.6
34,abszolutizmustól,ɑ b s o l u t i z m u ʃ t oː l,/bs/l/t/zm/ʃt/ːl,6,16,1.6666666666666667
35,abszolutóriumot,ɑ b s o l u t oː r i u m o t,/bs/l/t/ːr/m/t,6,15,1.3333333333333333
36,abszorpció,ɑ b s o r p ts i oː,/bs/rpts/ː,3,11,2.3333333333333335
37,absztrakt,ɑ b s t r ɑ k t,/bstr/kt,2,8,3
38,abu-szíri,ɑ b u s iː r i,/b/s/ːr/,4,8,1.3333333333333333
39,acará-folyómedencében,ɑ ts ɑ r aː f o j oː m ɛ d ɛ n ts eː b ɛ n,/ts/r/ːf/j/ːm/d/nts/ːb/n,9,24,1.6666666666666667
40,access,ɑ k s ɛ ʃː,/ks/ʃː,2,6,2
41,acetil-klorid,ɑ ts ɛ t i l k l o r i d,/ts/t/lkl/r/d,5,13,1.6
42,acetil-kolin,ɑ ts ɛ t i l k o l i n,/ts/t/lk/l/n,5,12,1.4
43,acetát,ɑ ts ɛ t aː t,/ts/t/ːt,3,8,1.6666666666666667
