,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""above",a b o f ə,/b/f/,3,5,1
1,"""acanthosaura""",a t͡ɕ a n t h o s a u r a,/t͡ɕ/nth/s/r/,5,14,2
2,"""acidocroton""",a t͡ɕ i d o t͡ɕ r o t o n,/t͡ɕ/d/t͡ɕr/t/n,5,15,2
3,"""ada",a d a,/d/,2,3,1
4,"""adalah,",a d a l a h,/d/l/h,3,6,1
5,"""air""",a i r,/r,1,3,1
6,"""aku",a k u,/k/,2,3,1
7,"""amberg",a m b ə r ɡ,/mb/rɡ,2,6,2
8,"""anselm""s",a n s ə l m s,/ns/lms,2,7,2.5
9,"""apa",a p a,/p/,2,3,1
10,"""apakah",a p a k a h,/p/k/h,3,6,1
11,"""askeladden""",a s k ə l a d d ə n,/sk/l/dd/n,4,10,1.5
12,"""aspen",a s p ə n,/sp/n,2,5,1.5
13,"""autoblinda",a u t o b l i n d a,/t/bl/nd/,4,10,1.6666666666666667
14,"""awan",a w a n,/w/n,2,4,1
15,"""ayo,""",a j o,/j/,2,3,1
16,"""babyface""",b a b j f a t͡ɕ ə,b/bjf/t͡ɕ/,3,10,2.3333333333333335
17,"""bagadige""",b a ɡ a d i ɡ ə,b/ɡ/d/ɡ/,4,8,1
18,"""bagus"",",b a ɡ u s,b/ɡ/s,2,5,1
19,"""bagus,""",b a ɡ u s,b/ɡ/s,2,5,1
20,"""banyak"".",b a ɲ a k,b/ɲ/k,2,5,1
21,"""bapak",b a p a k,b/p/k,2,5,1
22,"""basic",b a s i t͡ɕ,b/s/t͡ɕ,2,7,1.6666666666666667
23,"""beautiful",b ə a u t i f u l,b/t/f/l,3,9,1
24,"""bebeknya",b ə b ə k ɲ a,b/b/kɲ/,3,7,1.3333333333333333
25,"""benar,",b ə n a r,b/n/r,2,5,1
26,"""berapa",b ə r a p a,b/r/p/,3,6,1
27,"""berat""",b ə r a t,b/r/t,2,5,1
28,"""berhenti!""",b ə r h ə n t i,b/rh/nt/,3,8,1.6666666666666667
29,"""berjalan",b ə r d͡ʑ a l a n,b/rd͡ʑ/l/n,3,10,1.75
30,"""biarkan",b i a r k a n,b/rk/n,2,7,1.3333333333333333
