,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""иә"",",i j æ,/j/,2,3,1
1,<unk>,spn,N/A,N/A,N/A,N/A
2,ac,a c,/c,1,2,1
3,iздеген,i z d j e ɡ j e n,/zdj/ɡj/n,3,9,2
4,«атасына,ɑ t ɑ s ə n ɑ,/t/s/n/,4,7,1
5,«мә»,m æ,m/,1,2,1
6,«сендікпін»,s j e n d ɪ k p ɪ n,sj/nd/kp/n,3,10,1.75
7,«қыз»,q ə z,q/z,1,3,1
8,«ә»,æ,/,1,1,N/A
9,"«әй,",æ j,/j,1,2,1
10,абырой,ɑ b ə r o j,/b/r/j,3,6,1
11,абыройды,ɑ b ə r o j d ə,/b/r/jd/,4,8,1.3333333333333333
12,абыройлы,ɑ b ə r o j l ə,/b/r/jl/,4,8,1.3333333333333333
13,адал,ɑ d ɑ l,/d/l,2,4,1
14,адам,ɑ d ɑ m,/d/m,2,4,1
15,адамды,ɑ d ɑ m d ə,/d/md/,3,6,1.5
16,адаммен.,ɑ d ɑ m m j e n,/d/mmj/n,3,8,1.6666666666666667
17,адамның,ɑ d ɑ m n ə ŋ,/d/mn/ŋ,3,7,1.3333333333333333
18,адасқан,ɑ d ɑ s q ɑ n,/d/sq/n,3,7,1.3333333333333333
19,адырайған,ɑ d ə r ɑ j ʁ ɑ n,/d/r/jʁ/n,4,9,1.25
20,ажалға,ɑ ʒ ɑ l ʁ ɑ,/ʒ/lʁ/,3,6,1.5
21,ажарлы,ɑ ʒ ɑ r l ə,/ʒ/rl/,3,6,1.5
22,аз,ɑ z,/z,1,2,1
23,"азады,",ɑ z ɑ d ə,/z/d/,3,5,1
24,азады.,ɑ z ɑ d ə,/z/d/,3,5,1
25,"азап,",ɑ z ɑ p,/z/p,2,4,1
26,азаптағаның,ɑ z ɑ p t ɑ ʁ ɑ n ə ŋ,/z/pt/ʁ/n/ŋ,5,11,1.2
27,азар.,ɑ z ɑ r,/z/r,2,4,1
28,азарсың.,ɑ z ɑ r s ə ŋ,/z/rs/ŋ,3,7,1.3333333333333333
29,"азбайды,",ɑ z b ɑ j d ə,/zb/jd/,3,7,2
30,азбайды.,ɑ z b ɑ j d ə,/zb/jd/,3,7,2
31,"азбассың,",ɑ z b ɑ s s ə ŋ,/zb/ss/ŋ,3,8,1.6666666666666667
32,аздың,ɑ z d ə ŋ,/zd/ŋ,2,5,1.5
