,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,ɛː i,/ː/,2,3,1
4,b,bʲ i,bʲ/,1,3,2
5,c,ɕʰ i,ɕʰ/,1,3,2
6,d,dʑ i,dʑ/,1,3,2
7,d,dʲ i,dʲ/,1,3,2
8,e,i,/,1,1,N/A
9,f,e pʰ ɨ,/pʰ/,2,4,2
10,g,dʑ i,dʑ/,1,3,2
11,i,ɐ i,/,1,2,N/A
12,k,kʰ e i,kʰ/,1,4,2
13,m,e m,/m,1,2,1
14,n,e n,/n,1,2,1
15,o,o,/,1,1,N/A
16,p,pʲ i,pʲ/,1,3,2
17,r,ɐ ɾ ɨ,/ɾ/,2,3,1
18,s,e sʰ ɨ,/sʰ/,2,4,2
19,t,tɕʰ i,tɕʰ/,1,4,3
20,t,tʲ i,tʲ/,1,3,2
21,u,j u,j/,1,2,1
22,v,p ɨ i,p/,1,3,1
23,ㅋ,kʰ ɨ,kʰ/,1,3,2
24,ㅋㅋ,kʰ ɨ kʰ ɨ,kʰ/kʰ/,2,6,2
25,ㅡㅡ해튼,ɨ ɨ ɦ ɛː tʰ ɨ n,/ɦ/ːtʰ/n,3,9,1.6666666666666667
26,가,k ɐ,k/,1,2,1
27,가게,k ɐ ɡ e,k/ɡ/,2,4,1
28,가격,k ɐ ɟ ʌ,k/ɟ/,2,4,1
29,가격,k ɐ ɟ ʌ k̚,k/ɟ/k̚,2,6,1.3333333333333333
30,가계,k ɐ ɟ e,k/ɟ/,2,4,1
31,가공,k ɐ ɡ o ŋ,k/ɡ/ŋ,2,5,1
32,가공품,k ɐ ɡ o m pʰ u m,k/ɡ/mpʰ/m,3,9,1.5
33,가구,k ɐ ɡ u,k/ɡ/,2,4,1
34,가구주,k ɐ ɡ u dʑ u,k/ɡ/dʑ/,3,7,1.3333333333333333
35,가급적,k ɐ ɡ ɨ p̚ tɕʰ ʌ,k/ɡ/p̚tɕʰ/,3,10,2.3333333333333335
36,가급적,k ɐ ɡ ɨ p̚ tɕʰ ʌ k̚,k/ɡ/p̚tɕʰ/k̚,3,12,2.25
37,가까스로,k ɐ k͈ ɐ sʰ ɨ ɾ o,k/k͈/sʰ/ɾ/,4,10,1.5
38,가까운,k ɐ k͈ ɐ u n,k/k͈/n,2,7,1.3333333333333333
39,가까워,k ɐ k͈ ɐ w ʌ,k/k͈/w/,3,7,1.3333333333333333
40,가까워요,k ɐ k͈ ɐ w ʌ j o,k/k͈/w/j/,4,9,1.25
41,가까웠,k ɐ k͈ ɐ w ʌ t̚,k/k͈/w/t̚,3,9,1.5
42,가까이,k ɐ k͈ ɐ i,k/k͈/,2,6,1.5
43,가깝,k ɐ k͈ ɐ,k/k͈/,2,5,1.5
44,가깝,k ɐ k͈ ɐ p̚,k/k͈/p̚,2,7,1.6666666666666667
45,가꾸,k ɐ k͈ u,k/k͈/,2,5,1.5
46,가끔,k ɐ k͈ ɨ m,k/k͈/m,2,6,1.3333333333333333
47,가나,k ɐ n ɐ,k/n/,2,4,1
48,가나가와현,k ɐ n ɐ ɡ ɐ w ɐ ʝ ʌ n,k/n/ɡ/w/ʝ/n,5,11,1
49,가난,k ɐ n ɐ n,k/n/n,2,5,1
50,가늠,k ɐ n ɨ m,k/n/m,2,5,1
51,가능,k ɐ n ɨ ŋ,k/n/ŋ,2,5,1
52,가다듬,k ɐ d ɐ d ɨ m,k/d/d/m,3,7,1
53,가닥,k ɐ d ɐ,k/d/,2,4,1
54,가닥,k ɐ d ɐ k̚,k/d/k̚,2,6,1.3333333333333333
55,가담,k ɐ d ɐ m,k/d/m,2,5,1
56,가도,k ɐ d o,k/d/,2,4,1
57,가독성,k ɐ d o k s ʌ ŋ,k/d/ks/ŋ,3,8,1.25
58,가동,k ɐ d o ŋ,k/d/ŋ,2,5,1
59,가두,k ɐ d u,k/d/,2,4,1
60,가득,k ɐ d ɨ,k/d/,2,4,1
61,가득,k ɐ d ɨ k̚,k/d/k̚,2,6,1.3333333333333333
62,가득찬,k ɐ d ɨ k̚ tɕʰ ɐ n,k/d/k̚tɕʰ/n,3,11,2
63,가디언,k ɐ dʑ i ʌ n,k/dʑ/n,2,7,1.3333333333333333
