,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""govend""",ɡ o v ɛ n d,ɡ/v/nd,2,6,1.3333333333333333
1,"""herêma",h ɛ ɾ eː m aː,h/ɾ/ːm/ː,3,8,1.25
2,"""merhaba""",m ɛ ɾ h aː b aː,m/ɾh/ːb/ː,3,9,1.5
3,"""rojnivîska",ɾ o ʒ n ɪ v iː s k aː,ɾ/ʒn/v/ːsk/ː,4,12,1.6
4,"""xewna",x ɛ w n aː,x/wn/ː,2,6,1.3333333333333333
5,"""xwezî",x w ɛ z iː,xw/z/ː,2,6,1.3333333333333333
6,"""zimanê",z ɪ m aː n eː,z/m/ːn/ː,3,8,1.25
7,"""şabaş""ê",ʃ aː b aː ʃ eː,ʃ/ːb/ːʃ/ː,3,9,1.5
8,''di,d ɪ,d/,1,2,1
9,''ne,n ɛ,n/,1,2,1
10,'bavo',b aː v o,b/ːv/,2,5,1.5
11,'ez,ɛ z,/z,1,2,1
12,'ji,ʒ ɪ,ʒ/,1,2,1
13,'mehmed,m ɛ h m ɛ d,m/hm/d,2,6,1.3333333333333333
14,'urîna,u ɾ iː n aː,/ɾ/ːn/ː,3,7,1.3333333333333333
15,"'w',",w,w,0,1,1
16,....bi,b ɪ,b/,1,2,1
17,....kaşkaşok,k aː ʃ k aː ʃ o k,k/ːʃk/ːʃ/k,3,10,1.75
18,....piştî,p ɪ ʃ t iː,p/ʃt/ː,2,6,1.3333333333333333
19,....serê,s ɛ ɾ eː,s/ɾ/ː,2,5,1
20,....sîmon,s iː m o n,s/ːm/n,2,6,1.3333333333333333
21,....zilamê,z ɪ l aː m eː,z/l/ːm/ː,3,8,1.25
22,<unk>,spn,N/A,N/A,N/A,N/A
23,a,aː,/ː,1,2,1
24,a.,aː,/ː,1,2,1
25,"abdulhekîm,",aː b d u l h ɛ k iː m,/ːbd/lh/k/ːm,4,12,2
26,abdusamet,aː b d u s aː m ɛ t,/ːbd/s/ːm/t,4,11,1.75
27,aboriya,aː b o ɾ ɪ j aː,/ːb/ɾ/j/ː,4,9,1.25
28,aboriyê,aː b o ɾ ɪ j eː,/ːb/ɾ/j/ː,4,9,1.25
29,aborî,aː b o ɾ iː,/ːb/ɾ/ː,3,7,1.3333333333333333
30,"aborî,",aː b o ɾ iː,/ːb/ɾ/ː,3,7,1.3333333333333333
31,aborîya,aː b o ɾ iː j aː,/ːb/ɾ/ːj/ː,4,10,1.5
32,aciz,aː d͡ʒ ɪ z,/ːd͡ʒ/z,2,7,2.5
33,"acîlê,",aː d͡ʒ iː l eː,/ːd͡ʒ/ːl/ː,3,10,2.3333333333333335
34,adanê,aː d aː n eː,/ːd/ːn/ː,3,8,1.6666666666666667
35,adarê,aː d aː ɾ eː,/ːd/ːɾ/ː,3,8,1.6666666666666667
36,afanasyevîç,aː f aː n aː s j ɛ v iː t͡ʃ,/ːf/ːn/ːsj/v/ːt͡ʃ,5,17,2.4
37,afir,aː f ɪ ɾ,/ːf/ɾ,2,5,1.5
38,afira,aː f ɪ ɾ aː,/ːf/ɾ/ː,3,7,1.3333333333333333
39,afirand,aː f ɪ ɾ aː n d,/ːf/ɾ/ːnd,3,9,2
40,afirandiye.,aː f ɪ ɾ aː n d ɪ j ɛ,/ːf/ɾ/ːnd/j/,5,12,1.75
41,afîşa,aː f iː ʃ aː,/ːf/ːʃ/ː,3,8,1.6666666666666667
42,agahdar,aː ɡ aː h d aː ɾ,/ːɡ/ːhd/ːɾ,3,10,2.3333333333333335
43,agahdariyê,aː ɡ aː h d aː ɾ ɪ j eː,/ːɡ/ːhd/ːɾ/j/ː,5,14,1.8
44,agahdariyên,aː ɡ aː h d aː ɾ ɪ j eː n,/ːɡ/ːhd/ːɾ/j/ːn,5,15,2
45,agahdarî!,aː ɡ aː h d aː ɾ iː,/ːɡ/ːhd/ːɾ/ː,4,12,2
46,agahiyan,aː ɡ aː h ɪ j aː n,/ːɡ/ːh/j/ːn,4,11,1.75
47,agahiyeke,aː ɡ aː h ɪ j ɛ k ɛ,/ːɡ/ːh/j/k/,5,11,1.5
