,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,а,ɑ,/,1,1,N/A
1,а.,ɑ,/,1,1,N/A
2,аа,ɑ ɑ,/,1,2,N/A
3,ааксынын,ɑ ɑ k s ɯ n ɯ n,/ks/n/n,3,8,1.3333333333333333
4,аба,ɑ b ɑ,/b/,2,3,1
5,абагына,ɑ b ɑ ɡ ɯ n ɑ,/b/ɡ/n/,4,7,1
6,абагында,ɑ b ɑ ɡ ɯ n d ɑ,/b/ɡ/nd/,4,8,1.3333333333333333
7,абагында.,ɑ b ɑ ɡ ɯ n d ɑ,/b/ɡ/nd/,4,8,1.3333333333333333
8,абадан,ɑ b ɑ d ɑ n,/b/d/n,3,6,1
9,абайлоого,ɑ b ɑ j l o o ɡ o,/b/jl/ɡ/,4,9,1.3333333333333333
10,абак,ɑ b ɑ k,/b/k,2,4,1
11,абакка,ɑ b ɑ k k ɑ,/b/kk/,3,6,1.5
12,абакта,ɑ b ɑ k t ɑ,/b/kt/,3,6,1.5
13,абактын,ɑ b ɑ k t ɯ n,/b/kt/n,3,7,1.3333333333333333
14,абал,ɑ b ɑ l,/b/l,2,4,1
15,абалга,ɑ b ɑ l ɡ ɑ,/b/lɡ/,3,6,1.5
16,абалда,ɑ b ɑ l d ɑ,/b/ld/,3,6,1.5
17,абалда.,ɑ b ɑ l d ɑ,/b/ld/,3,6,1.5
18,абалда?,ɑ b ɑ l d ɑ,/b/ld/,3,6,1.5
19,абалдан,ɑ b ɑ l d ɑ n,/b/ld/n,3,7,1.3333333333333333
20,абалдары,ɑ b ɑ l d ɑ r ɯ,/b/ld/r/,4,8,1.3333333333333333
21,абалдарын,ɑ b ɑ l d ɑ r ɯ n,/b/ld/r/n,4,9,1.25
22,абалды,ɑ b ɑ l d ɯ,/b/ld/,3,6,1.5
23,абалдын,ɑ b ɑ l d ɯ n,/b/ld/n,3,7,1.3333333333333333
24,абалы,ɑ b ɑ l ɯ,/b/l/,3,5,1
25,абалыбыз,ɑ b ɑ l ɯ b ɯ z,/b/l/b/z,4,8,1
26,абалын,ɑ b ɑ l ɯ n,/b/l/n,3,6,1
27,абалынан,ɑ b ɑ l ɯ n ɑ n,/b/l/n/n,4,8,1
28,абалында,ɑ b ɑ l ɯ n d ɑ,/b/l/nd/,4,8,1.3333333333333333
29,абанын,ɑ b ɑ n ɯ n,/b/n/n,3,6,1
30,абдан,ɑ b d ɑ n,/bd/n,2,5,1.5
31,абдил,ɑ b d i l,/bd/l,2,5,1.5
32,абдрахман,ɑ b d r ɑ k m ɑ n,/bdr/km/n,3,9,2
33,абдрахматова,ɑ b d r ɑ k m ɑ t o v ɑ,/bdr/km/t/v/,5,12,1.75
34,абдукаримов,ɑ b d u k ɑ r i m o v,/bd/k/r/m/v,5,11,1.2
35,абдукаримов.,ɑ b d u k ɑ r i m o v,/bd/k/r/m/v,5,11,1.2
36,абдылдаев,ɑ b d ɯ l d ɑ j e v,/bd/ld/j/v,4,10,1.5
37,абзацты,ɑ b z ɑ t͡s t ɯ,/bz/t͡st/,3,9,3
38,абийирим,ɑ b i j i r i m,/b/j/r/m,4,8,1
39,абоненттерди,ɑ b o n j e n t t j e r d i,/b/nj/nttj/rd/,5,14,2.25
40,абоненттик,ɑ b o n j e n t t i k,/b/nj/ntt/k,4,11,1.75
41,аборт,ɑ b o r t,/b/rt,2,5,1.5
42,абройлуу,ɑ b r o j l u u,/br/jl/,3,8,2
43,аброю,ɑ b r o j u,/br/j/,3,6,1.5
44,абулгазиев,ɑ b u l ɡ ɑ z i j e v,/b/lɡ/z/j/v,5,11,1.2
45,абылгазиев.,ɑ b ɯ l ɡ ɑ z i j e v,/b/lɡ/z/j/v,5,11,1.2
