,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'l,l,l,0,1,1
1,<unk>,spn,N/A,N/A,N/A,N/A
2,abbandunat,ɐ b b ɐ n d ʊ n ɐ t,/bb/nd/n/t,4,10,1.5
3,abbandunaw,ɐ b b ɐ n d ʊ n ɐ w,/bb/nd/n/w,4,10,1.5
4,abbandunawha,ɐ b b ɐ n d ʊ n ɐ w ɐ,/bb/nd/n/w/,5,11,1.5
5,abbord,ɐ b b ɔ r d,/bb/rd,2,6,2
6,abbozz,ɐ b b ɔ t͡s t͡s,/bb/t͡st͡s,2,10,4
7,abbuż,ɐ b b ʊ z,/bb/z,2,5,1.5
8,abbuż.,ɐ b b ʊ z,/bb/z,2,5,1.5
9,abbużata,ɐ b b ʊ z ɐ t ɐ,/bb/z/t/,4,8,1.3333333333333333
10,abbużi,ɐ b b ʊ z ɪ,/bb/z/,3,6,1.5
11,abbużiv?,ɐ b b ʊ z ɪ v,/bb/z/v,3,7,1.3333333333333333
12,abdul,ɐ b d ʊ l,/bd/l,2,5,1.5
13,abela,ɐ b ɛ l ɐ,/b/l/,3,5,1
14,abela.,ɐ b ɛ l ɐ,/b/l/,3,5,1
15,abort.,ɐ b ɔ r t,/b/rt,2,5,1.5
16,about,ɐ b ɔ ʊ t,/b/t,2,5,1
17,above,ɐ b ɔ v ɛ,/b/v/,3,5,1
18,accelerator,ɐ c c ɛ l ɛ r ɐ t ɔ r,/cc/l/r/t/r,5,11,1.2
19,accountable,ɐ c c ɔ ʊ n t ɐ b l ɛ,/cc/nt/bl/,4,11,2
20,adami.,ɐ d ɐ m ɪ,/d/m/,3,5,1
21,adamoli,ɐ d ɐ m ɔ l ɪ,/d/m/l/,4,7,1
22,adattati,ɐ d ɐ t t ɐ t ɪ,/d/tt/t/,4,8,1.3333333333333333
23,addattajna,ɐ d d ɐ t t ɐ j n ɐ,/dd/tt/jn/,4,10,2
24,addizzjonali,ɐ d d ɪ t͡s t͡s j ɔ n ɐ l ɪ,/dd/t͡st͡sj/n/l/,5,16,2.75
25,adegwat,ɐ d ɛ ɡ w ɐ t,/d/ɡw/t,3,7,1.3333333333333333
26,adegwat?,ɐ d ɛ ɡ w ɐ t,/d/ɡw/t,3,7,1.3333333333333333
27,adottata,ɐ d ɔ t t ɐ t ɐ,/d/tt/t/,4,8,1.3333333333333333
28,adrian,ɐ d r ɪ ɐ n,/dr/n,2,6,1.5
29,adulta.,ɐ d ʊ l t ɐ,/d/lt/,3,6,1.5
30,adulterju,ɐ d ʊ l t ɛ r j ʊ,/d/lt/rj/,4,9,1.6666666666666667
31,adulti,ɐ d ʊ l t ɪ,/d/lt/,3,6,1.5
32,advertisement,ɐ d v ɛ r t ɪ s ɛ m ɛ n t,/dv/rt/s/m/nt,5,13,1.6
33,aerial,ɐ ɛ r ɪ ɐ l,/r/l,2,6,1
34,affarijiet,ɐ f f ɐ r ɪ j i ɛ t,/ff/r/j/t,4,10,1.25
35,affarijiet.,ɐ f f ɐ r ɪ j i ɛ t,/ff/r/j/t,4,10,1.25
36,affaxxinajt,ɐ f f ɐ ʃː ɪ n ɐ j t,/ff/ʃː/n/jt,4,11,1.75
37,affettwat,ɐ f f ɛ t t w ɐ t,/ff/ttw/t,3,9,2
38,affettwati,ɐ f f ɛ t t w ɐ t ɪ,/ff/ttw/t/,4,10,2
39,africa?,ɐ f r ɪ c ɐ,/fr/c/,3,6,1.5
40,aggredit.,ɐ ɡ ɡ r ɛ d ɪ t,/ɡɡr/d/t,3,8,1.6666666666666667
41,agius,ɐ ɡ ɪ ʊ s,/ɡ/s,2,5,1
42,agius.,ɐ ɡ ɪ ʊ s,/ɡ/s,2,5,1
43,agreement,ɐ ɡ r ɛ ɛ m ɛ n t,/ɡr/m/nt,3,9,1.6666666666666667
44,agrikolu?,ɐ ɡ r ɪ k ɔ l ʊ,/ɡr/k/l/,4,8,1.3333333333333333
45,agħar.,ɐ ˤː ɐ r,/ˤː/r,2,5,1.5
46,agħfas,ɐ ˤː f ɐ s,/ˤːf/s,2,6,2
47,agħmel,ɐ ˤː m ɛ l,/ˤːm/l,2,6,2
48,agħmilhieli,ɐ ˤː m ɪ l i ɛ l ɪ,/ˤːm/l/l/,4,10,1.6666666666666667
49,agħtuni,ɐ ˤː t ʊ n ɪ,/ˤːt/n/,3,7,2
50,aid,ɐ ɪ d,/d,1,3,1
51,"air,",ɐ ɪ r,/r,1,3,1
52,airlines,ɐ ɪ r l ɪ n ɛ s,/rl/n/s,3,8,1.3333333333333333
53,ajax,ɐ j ɐ ʃ,/j/ʃ,2,4,1
54,ajruporti,ɐ j r ʊ p ɔ r t ɪ,/jr/p/rt/,4,9,1.6666666666666667
55,akbar,ɐ k b ɐ r,/kb/r,2,5,1.5
56,akkademja,ɐ k k ɐ d ɛ m j ɐ,/kk/d/mj/,4,9,1.6666666666666667
57,akkanit,ɐ k k ɐ n ɪ t,/kk/n/t,3,7,1.3333333333333333
58,akkoljenti.,ɐ k k ɔ l j ɛ n t ɪ,/kk/lj/nt/,4,10,2
59,akkumpanjat,ɐ k k ʊ m p ɐ n j ɐ t,/kk/mp/nj/t,4,11,1.75
60,akkumpanjati,ɐ k k ʊ m p ɐ n j ɐ t ɪ,/kk/mp/nj/t/,5,12,1.75
61,akkuża,ɐ k k ʊ z ɐ,/kk/z/,3,6,1.5
62,akkużat,ɐ k k ʊ z ɐ t,/kk/z/t,3,7,1.3333333333333333
63,akkwistati?,ɐ k k w ɪ s t ɐ t ɪ,/kkw/st/t/,4,10,2
64,akkwistaw,ɐ k k w ɪ s t ɐ w,/kkw/st/w,3,9,2
65,aktar,ɐ k t ɐ r,/kt/r,2,5,1.5
66,aktar!,ɐ k t ɐ r,/kt/r,2,5,1.5
67,"aktar,",ɐ k t ɐ r,/kt/r,2,5,1.5
68,aktar.,ɐ k t ɐ r,/kt/r,2,5,1.5
69,aktar?,ɐ k t ɐ r,/kt/r,2,5,1.5
70,aktarx,ɐ k t ɐ r ʃ,/kt/rʃ,2,6,2
71,"aktarx,",ɐ k t ɐ r ʃ,/kt/rʃ,2,6,2
72,akuta,ɐ k ʊ t ɐ,/k/t/,3,5,1
