,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,a1,a1,/,1,1,N/A
1,a2,a2,/,1,1,N/A
2,a3,a3,/,1,1,N/A
3,a4,a4,/,1,1,N/A
4,a5,a5,/,1,1,N/A
5,ai1,ai1,/,1,2,N/A
6,ai2,ai2,/,1,2,N/A
7,ai3,ai3,/,1,2,N/A
8,ai4,ai4,/,1,2,N/A
9,ai5,ai5,/,1,2,N/A
10,an1,a1 n,/n,1,2,1
11,an2,a2 n,/n,1,2,1
12,an3,a3 n,/n,1,2,1
13,an4,a4 n,/n,1,2,1
14,an5,a5 n,/n,1,2,1
15,ang1,a1 ng,/ng,1,3,2
16,ang2,a2 ng,/ng,1,3,2
17,ang3,a3 ng,/ng,1,3,2
18,ang4,a4 ng,/ng,1,3,2
19,ang5,a5 ng,/ng,1,3,2
20,ao1,ao1,/,1,2,N/A
21,ao2,ao2,/,1,2,N/A
22,ao3,ao3,/,1,2,N/A
23,ao4,ao4,/,1,2,N/A
24,ao5,ao5,/,1,2,N/A
25,ba1,b a1,b/,1,2,1
26,ba2,b a2,b/,1,2,1
27,ba3,b a3,b/,1,2,1
28,ba4,b a4,b/,1,2,1
29,ba5,b a5,b/,1,2,1
30,bai1,b ai1,b/,1,3,1
31,bai2,b ai2,b/,1,3,1
32,bai3,b ai3,b/,1,3,1
33,bai4,b ai4,b/,1,3,1
34,bai5,b ai5,b/,1,3,1
35,ban1,b a1 n,b/n,1,3,1
36,ban2,b a2 n,b/n,1,3,1
37,ban3,b a3 n,b/n,1,3,1
38,ban4,b a4 n,b/n,1,3,1
39,ban5,b a5 n,b/n,1,3,1
40,bang1,b a1 ng,b/ng,1,4,1.5
41,bang2,b a2 ng,b/ng,1,4,1.5
42,bang3,b a3 ng,b/ng,1,4,1.5
43,bang4,b a4 ng,b/ng,1,4,1.5
44,bang5,b a5 ng,b/ng,1,4,1.5
45,bao1,b ao1,b/,1,3,1
46,bao2,b ao2,b/,1,3,1
47,bao3,b ao3,b/,1,3,1
48,bao4,b ao4,b/,1,3,1
49,bao5,b ao5,b/,1,3,1
50,bei1,b ei1,b/,1,3,1
51,bei2,b ei2,b/,1,3,1
52,bei3,b ei3,b/,1,3,1
53,bei4,b ei4,b/,1,3,1
54,ben1,b e1 n,b/n,1,3,1
55,ben2,b e2 n,b/n,1,3,1
56,ben3,b e3 n,b/n,1,3,1
57,ben4,b e4 n,b/n,1,3,1
58,ben5,b e5 n,b/n,1,3,1
59,beng1,b e1 ng,b/ng,1,4,1.5
60,beng2,b e2 ng,b/ng,1,4,1.5
61,beng3,b e3 ng,b/ng,1,4,1.5
62,beng4,b e4 ng,b/ng,1,4,1.5
63,beng5,b e5 ng,b/ng,1,4,1.5
64,bi1,b i1,b/,1,2,1
65,bi2,b i2,b/,1,2,1
66,bi3,b i3,b/,1,2,1
67,bi4,b i4,b/,1,2,1
68,bi5,b i5,b/,1,2,1
69,bian1,b ia1 n,b/n,1,4,1
70,bian2,b ia2 n,b/n,1,4,1
71,bian3,b ia3 n,b/n,1,4,1
72,bian4,b ia4 n,b/n,1,4,1
73,bian5,b ia5 n,b/n,1,4,1
74,biao1,b iao1,b/,1,4,1
75,biao2,b iao2,b/,1,4,1
76,biao3,b iao3,b/,1,4,1
77,biao4,b iao4,b/,1,4,1
78,bie1,b ie1,b/,1,3,1
79,bie2,b ie2,b/,1,3,1
80,bie3,b ie3,b/,1,3,1
81,bie4,b ie4,b/,1,3,1
82,bie5,b ie5,b/,1,3,1
83,bin1,b i1 n,b/n,1,3,1
84,bin2,b i2 n,b/n,1,3,1
85,bin3,b i3 n,b/n,1,3,1
86,bin4,b i4 n,b/n,1,3,1
87,bin5,b i5 n,b/n,1,3,1
88,bing1,b i1 ng,b/ng,1,4,1.5
89,bing2,b i2 ng,b/ng,1,4,1.5
90,bing3,b i3 ng,b/ng,1,4,1.5
91,bing4,b i4 ng,b/ng,1,4,1.5
92,bing5,b i5 ng,b/ng,1,4,1.5
93,bo1,b o1,b/,1,2,1
94,bo2,b o2,b/,1,2,1
95,bo3,b o3,b/,1,2,1
96,bo4,b o4,b/,1,2,1
97,bo5,b o5,b/,1,2,1
98,bu1,b u1,b/,1,2,1
99,bu2,b u2,b/,1,2,1
100,bu3,b u3,b/,1,2,1
101,bu4,b u4,b/,1,2,1
102,bu5,b u5,b/,1,2,1
103,ca1,c a1,c/,1,2,1
104,ca2,c a2,c/,1,2,1
105,ca3,c a3,c/,1,2,1
106,ca4,c a4,c/,1,2,1
107,ca5,c a5,c/,1,2,1
108,cai1,c ai1,c/,1,3,1
109,cai2,c ai2,c/,1,3,1
110,cai3,c ai3,c/,1,3,1
111,cai4,c ai4,c/,1,3,1
112,cai5,c ai5,c/,1,3,1
113,can1,c a1 n,c/n,1,3,1
114,can2,c a2 n,c/n,1,3,1
115,can3,c a3 n,c/n,1,3,1
116,can4,c a4 n,c/n,1,3,1
