,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a區,ʔ ej˥ tɕʰ y˥,ʔ/j˥tɕʰ/˥,2,9,2.3333333333333335
4,google,kʷ u˥˩ w o˧ k l ə˩,kʷ/˥˩w/˧kl/˩,3,12,2.25
5,q,kʰ j ow˥,kʰj/w˥,1,6,2.5
6,q,kʰ j ow˥˩,kʰj/w˥˩,1,7,3
7,q,tɕʰ i˥,tɕʰ/˥,1,5,2
8,q,tɕʰ ow˥,tɕʰ/w˥,1,6,2.5
9,q,tɕʷ e˥ n,tɕʷ/˥n,1,6,2.5
10,ㄟ,ej˥,/j˥,1,3,2
11,ㄟ,ʔ ej˥,ʔ/j˥,1,4,1.5
12,一,i˥,/˥,1,2,1
13,一一,i˥ i˥,/˥/˥,2,4,1
14,一七七四年,i˥ tɕʰ i˥ tɕʰ i˥ s z̩˥˩ n j e˧˥ n,/˥tɕʰ/˥tɕʰ/˥sz̩˥˩nj/˧˥n,4,23,4.75
15,一下,i˥ ɕ a˥˩,/˥ɕ/˥˩,2,6,2
16,一下,i˧˥ ɕ a˥˩,/˧˥ɕ/˥˩,2,7,2.5
17,一下子,i˥ ɕ a˥˩ ts z̩˩,/˥ɕ/˥˩tsz̩˩,2,11,4.5
18,一下子,i˧˥ ɕ a˥˩ ts z̩˩,/˧˥ɕ/˥˩tsz̩˩,2,12,5
19,一世,i˥ ʂ ʐ̩˥˩,/˥ʂʐ̩˥˩,1,7,6
20,一世,i˧˥ ʂ ʐ̩˥˩,/˧˥ʂʐ̩˥˩,1,8,7
21,一中,i˥ ʈʂ u˥ ŋ,/˥ʈʂ/˥ŋ,2,7,2.5
22,一九三一年,i˥ tɕ ow˨˩˦ s a˥ ɲ i˥ n j e˧˥ n,/˥tɕ/w˨˩˦s/˥ɲ/˥nj/˧˥n,5,21,3.2
23,一九三零年,i˥ tɕ ow˨˩˦ s a˥ n ʎ i˧˥ ŋ n j e˧˥ n,/˥tɕ/w˨˩˦s/˥nʎ/˧˥ŋnj/˧˥n,5,24,3.8
24,一九九三年,i˥ tɕ ow˨˩˦ tɕ ow˨˩˦ s a˥ n n j e˧˥ n,/˥tɕ/w˨˩˦tɕ/w˨˩˦s/˥nnj/˧˥n,5,26,4.2
25,一九九二年,i˥ tɕ ow˨˩˦ tɕ ow˨˩˦ ʔ o˥˩ ɻ n j e˧˥ n,/˥tɕ/w˨˩˦tɕ/w˨˩˦ʔ/˥˩ɻnj/˧˥n,5,27,4.4
26,一九九八年,i˥ tɕ ow˨˩˦ tɕ ow˨˩˦ p a˥ n j e˧˥ n,/˥tɕ/w˨˩˦tɕ/w˨˩˦p/˥nj/˧˥n,5,25,4
27,一九九六年,i˥ tɕ ow˨˩˦ tɕ ow˨˩˦ l j ow˥˩ n j e˧˥ n,/˥tɕ/w˨˩˦tɕ/w˨˩˦lj/w˥˩nj/˧˥n,5,28,4.6
28,一九八七年,i˥ tɕ ow˨˩˦ p a˥ tɕʰ i˥ n j e˧˥ n,/˥tɕ/w˨˩˦p/˥tɕʰ/˥nj/˧˥n,5,23,3.6
29,一九四零年代,i˥ tɕ ow˨˩˦ s z̩˥˩ ʎ i˧˥ ŋ n j e˧˥ n t aj˥˩,/˥tɕ/w˨˩˦sz̩˥˩ʎ/˧˥ŋnj/˧˥nt/j˥˩,5,30,5
30,一九零三年,i˥ tɕ ow˨˩˦ ʎ i˧˥ ŋ s a˥ n n j e˧˥ n,/˥tɕ/w˨˩˦ʎ/˧˥ŋs/˥nnj/˧˥n,5,24,3.8
31,一九零二年,i˥ tɕ ow˨˩˦ ʎ i˧˥ ŋ ʔ o˥˩ ɻ n j e˧˥ n,/˥tɕ/w˨˩˦ʎ/˧˥ŋʔ/˥˩ɻnj/˧˥n,5,25,4
32,一九零八年,i˥ tɕ ow˨˩˦ ʎ i˧˥ ŋ p a˥ n j e˧˥ n,/˥tɕ/w˨˩˦ʎ/˧˥ŋp/˥nj/˧˥n,5,23,3.6
33,一代,i˥ t aj˥˩,/˥t/j˥˩,2,7,2.5
34,一代,i˧˥ t aj˥˩,/˧˥t/j˥˩,2,8,3
