,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,a,/,1,1,N/A
4,aantes,ɐ̃ tʃ i s,/̃tʃ/s,2,6,2
5,aaron,a a ɾ õ,/ɾ/̃,2,5,1
6,aarão,a a ɾ ɐ̃ w̃,/ɾ/̃w̃,2,7,2
7,aarão,a ɾ ɐ̃ w̃,/ɾ/̃w̃,2,6,2
8,aba,a b a,/b/,2,3,1
9,abacate,a b a k a t e,/b/k/t/,4,7,1
10,abacate,a b a k a t i,/b/k/t/,4,7,1
11,abacate,a b a k a tʃ i,/b/k/tʃ/,4,8,1.3333333333333333
12,abacateiro,a b a k a t e j ɾ o,/b/k/t/jɾ/,5,10,1.25
13,abacateiro,a b a k a t e j ɾ u,/b/k/t/jɾ/,5,10,1.25
14,abacaxi,a b a k a ʃ i,/b/k/ʃ/,4,7,1
15,abacaxi,ɐ b a k ɐ ʃ i,/b/k/ʃ/,4,7,1
16,abacaxizeiro,a b a k a ʃ i z e j ɾ o,/b/k/ʃ/z/jɾ/,6,12,1.2
17,abacaxizeiro,a b a k a ʃ i z e j ɾ u,/b/k/ʃ/z/jɾ/,6,12,1.2
18,abacharelado,ɐ b ɐ ʃ a ɾ e l a d u,/b/ʃ/ɾ/l/d/,6,11,1
19,abacista,a b a s i s t a,/b/s/st/,4,8,1.3333333333333333
20,abacista,a b a s i s t ɐ,/b/s/st/,4,8,1.3333333333333333
21,abacista,a b a s i ʃ t ɐ,/b/s/ʃt/,4,8,1.3333333333333333
22,abadan,a b a d ɐ̃,/b/d/̃,3,6,1
23,abade,a b a dʒ i,/b/dʒ/,3,6,1.5
24,abadesa,a b a d e z a,/b/d/z/,4,7,1
25,abadessa,a b a d e s a,/b/d/s/,4,7,1
26,abadessa,a b a d e s ɐ,/b/d/s/,4,7,1
27,abadia,a b a dʒ i a,/b/dʒ/,3,7,1.5
28,abadia,a b a dʒ i ɐ,/b/dʒ/,3,7,1.5
29,abadiânia,a b a dʒ i ɐ ɲ ɐ,/b/dʒ/ɲ/,4,9,1.3333333333333333
30,abaetetuba,a b a e t e t u b ɐ,/b/t/t/b/,5,10,1
31,abaeté,a b a e t ɛ,/b/t/,3,6,1
32,abafada,a b a f a d a,/b/f/d/,4,7,1
33,abafadamente,a b a f a d a m ẽ t e,/b/f/d/m/̃t/,6,12,1.2
34,abafadamente,a b a f a d a m ẽ tʃ i,/b/f/d/m/̃tʃ/,6,13,1.4
35,abafado,a b a f a d o,/b/f/d/,4,7,1
36,abafado,a b a f a d u,/b/f/d/,4,7,1
37,abafador,a b a f a d o x,/b/f/d/x,4,8,1
38,abafaria,a b a f a ɾ i ɐ,/b/f/ɾ/,4,8,1
39,abafação,a b a f a s ɐ̃ w̃,/b/f/s/̃w̃,4,10,1.5
40,abaiara,a b a j a ɾ ɐ,/b/j/ɾ/,4,7,1
41,abaixa,a b a j ʃ ɐ,/b/jʃ/,3,6,1.5
42,abaixado,a b a j ʃ a d u,/b/jʃ/d/,4,8,1.3333333333333333
43,abaixe,a b a j ʃ i,/b/jʃ/,3,6,1.5
44,abaixei,a b a j ʃ e j,/b/jʃ/j,3,7,1.3333333333333333
45,abaixo,a b a j ʃ o,/b/jʃ/,3,6,1.5
46,abaixo,a b a j ʃ u,/b/jʃ/,3,6,1.5
47,abalada,a b a l a d ɐ,/b/l/d/,4,7,1
48,abalado,a b a l a d u,/b/l/d/,4,7,1
49,abalar,a b a l a x,/b/l/x,3,6,1
50,abalaram,a b a l a ɾ ɐ̃ w̃,/b/l/ɾ/̃w̃,4,10,1.5
51,abale,a b a ʎ i,/b/ʎ/,3,5,1
52,abalizado,a b a ʎ i z a d u,/b/ʎ/z/d/,5,9,1
53,abalou,a b a l o w,/b/l/w,3,6,1
54,abalá,a b a l a,/b/l/,3,5,1
55,abanam,a b ɐ n ɐ̃,/b/n/̃,3,6,1
56,abanando,a b ɐ n ɐ̃ d u,/b/n/̃d/,4,8,1.3333333333333333
57,abandona,a b ɐ̃ d o n a,/b/̃d/n/,4,8,1.3333333333333333
58,abandonada,a b ɐ̃ d o n a d ɐ,/b/̃d/n/d/,5,10,1.25
