,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,ਅਕਤੂਬਰ,ə k t̪ u b ə ɾ,/kt̪/b/ɾ,3,8,1.6666666666666667
1,ਅਕਾਲ,ə k ɑ l,/k/l,2,4,1
2,ਅਕਾਲੀ,ə k ɑ l i,/k/l/,3,5,1
3,ਅਕਾਲੀਆਂ,ə k ɑ l i ɑ̃,/k/l/̃,3,7,1
4,ਅਖਵਾਈਦਾ,ə kʰ ʋ ɑ i d̪ ɑ,/kʰʋ/d̪/,3,9,2.5
5,ਅਖਾੜਿਆਂ,ə kʰ ɑ ɽ ɪ ɑ̃,/kʰ/ɽ/̃,3,8,1.3333333333333333
6,ਅਖਿਆ,ə kʰ ɪ ɑ,/kʰ/,2,5,2
7,ਅਗਰ,ə ɡ ə ɾ,/ɡ/ɾ,2,4,1
8,ਅਗਲੀ,ə ɡ l i,/ɡl/,2,4,2
9,ਅਗਲੇ,ə ɡ l e,/ɡl/,2,4,2
10,ਅਗਾਂਹ,ə ɡ ɑ̃ ɦ,/ɡ/̃ɦ,2,5,1.5
11,ਅਗੇ,ə ɡ e,/ɡ/,2,3,1
12,ਅਜ,ə d͡ʒ,/d͡ʒ,1,4,3
13,ਅਜਿਹਾ,ə d͡ʒ ɪ ɦ ɑ,/d͡ʒ/ɦ/,3,7,2
14,ਅਜਿਹੀ,ə d͡ʒ ɪ ɦ i,/d͡ʒ/ɦ/,3,7,2
15,ਅਜੀਬ,ə d͡ʒ i b,/d͡ʒ/b,2,6,2
16,ਅਜੇ,ə d͡ʒ e,/d͡ʒ/,2,5,3
17,ਅਜੋਕਾ,ə d͡ʒ o k ɑ,/d͡ʒ/k/,3,7,2
18,ਅਠਾਰਾਂ,ə ʈʰ ɑ ɾ ɑ̃,/ʈʰ/ɾ/̃,3,7,1.3333333333333333
19,ਅਣਖਿੜਿਆ,ə ɳ kʰ ɪ ɽ ɪ ɑ,/ɳkʰ/ɽ/,3,8,2
20,ਅਣਮਹਿਕਿਆ,ə ɳ m ə ɦ ɪ k ɪ ɑ,/ɳm/ɦ/k/,4,9,1.3333333333333333
21,ਅਤਿ,ə t̪ ɪ,/t̪/,2,4,2
22,ਅਤੇ,ə t̪ e,/t̪/,2,4,2
23,ਅਥਾਹ,ə t̪ʰ ɑ ɦ,/t̪ʰ/ɦ,2,6,2
24,ਅਦਾਕਾਰਾ,ə d̪ ɑ k ɑ ɾ ɑ,/d̪/k/ɾ/,4,8,1.3333333333333333
25,ਅਦਾਲਤ,ə d̪ ɑ l ə t̪,/d̪/l/t̪,3,8,1.6666666666666667
26,ਅਧਰਮੀ,ə t̪ ɾ ə m i,/t̪ɾ/m/,3,7,2
27,ਅਧਾਰਤ,ə t̪ ɑ ɾ ə t̪,/t̪/ɾ/t̪,3,8,1.6666666666666667
28,ਅਧਿਕਾਰ,ə t̪ ɪ k ɑ ɾ,/t̪/k/ɾ,3,7,1.3333333333333333
29,ਅਧੀਨ,ə t̪ i n,/t̪/n,2,5,1.5
30,ਅਨਡੋਲਾ,ə n ɖ o l ɑ,/nɖ/l/,3,6,1.5
31,ਅਨਮੋਲ,ə n m o l,/nm/l,2,5,1.5
32,ਅਨਿਲ,ə n ɪ l,/n/l,2,4,1
33,ਅਨੁਕਰਣ,ə n ʊ k ɾ ə ɳ,/n/kɾ/ɳ,3,7,1.3333333333333333
34,ਅਨੁਸਾਰ,ə n ʊ s ɑ ɾ,/n/s/ɾ,3,6,1
35,ਅਨੇਕ,ə n e k,/n/k,2,4,1
36,ਅਨੰਦ,ə n ə̃ d̪,/n/̃d̪,2,6,2
37,ਅਪਰੇਸ਼ਨ,ə p ɾ e ʃ ə n,/pɾ/ʃ/n,3,7,1.3333333333333333
38,ਅਪਰੈਲ,ə p ɾ ɛ l,/pɾ/l,2,5,1.5
39,ਅਪਾਇੰਟਮੈਂਟ,ə p ɑ ɪ̃ ʈ ə m ɛ̃ ʈ,/p/̃ʈ/m/̃ʈ,4,11,1.5
40,ਅਫਗਾਨਿਸਤਾਨ,ə pʰ ɡ ɑ n ɪ s t̪ ɑ n,/pʰɡ/n/st̪/n,4,12,2
41,ਅਫਸੋਸ,ə pʰ s o s,/pʰs/s,2,6,2
42,ਅਫ਼ਗਾਨਿਸਤਾਨ,ə f ɡ ɑ n ɪ s t̪ ɑ n,/fɡ/n/st̪/n,4,11,1.75
43,ਅਫ਼ਸੋਸ,ə f s o s,/fs/s,2,5,1.5
44,ਅਭਿਆਸ,ə p ɪ ɑ s,/p/s,2,5,1
45,ਅਭਿਨਵ,ə p ɪ n ə ʋ,/p/n/ʋ,3,6,1
46,ਅਭਿਨੇਤਰੀ,ə p ɪ n e t̪ ɾ i,/p/n/t̪ɾ/,4,9,1.6666666666666667
47,ਅਭੁੱਲ,ə p ʊ lː,/p/lː,2,5,1.5
48,ਅਮਨ,ə m ə n,/m/n,2,4,1
49,ਅਮਰਜੀਤ,ə m ɾ ə d͡ʒ i t̪,/mɾ/d͡ʒ/t̪,3,10,2.3333333333333335
50,ਅਮਰਿੰਦਰ,ə m ɾ ɪ̃ d̪ ə ɾ,/mɾ/̃d̪/ɾ,3,9,2
51,ਅਮਰੀਕਨ,ə m ɾ i k ə n,/mɾ/k/n,3,7,1.3333333333333333
52,ਅਮਰੀਕਾ,ə m ɾ i k ɑ,/mɾ/k/,3,6,1.5
53,ਅਮਲ,ə m ə l,/m/l,2,4,1
54,ਅਮੀਰ,ə m i ɾ,/m/ɾ,2,4,1
55,ਅਮੀਰੀ,ə m i ɾ i,/m/ɾ/,3,5,1
56,ਅਰਜਨਟੀਨਾ,ə ɾ d͡ʒ ə n ə ʈ i n ɑ,/ɾd͡ʒ/n/ʈ/n/,5,12,1.75
57,ਅਰਜੀਆਂ,ə ɾ d͡ʒ i ɑ̃,/ɾd͡ʒ/̃,2,8,2.5
58,ਅਰਥ,ə ɾ ə t̪ʰ,/ɾ/t̪ʰ,2,6,2
