,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,a,a,/,1,1,N/A
1,a-i,a i,/,1,2,N/A
2,a-l,a l̪,/l̪,1,3,2
3,a-mi,a m i,/m/,2,3,1
4,a-ți,a t̪s i,/t̪s/,2,5,3
5,abandona,a b a n̪ d̪ o n̪ a,/b/n̪d̪/n̪/,4,11,2.3333333333333335
6,abandonate,a b a n̪ d̪ o n̪ a t̪ e,/b/n̪d̪/n̪/t̪/,5,14,2.25
7,abandonată,a b a n̪ d̪ o n̪ a t̪ ɜ,/b/n̪d̪/n̪/t̪/,5,14,2.25
8,abandonez,a b a n̪ d̪ o n̪ e z̪,/b/n̪d̪/n̪/z̪,4,13,2.25
9,abdicare,a b d̪ i k a r̪ e,/bd̪/k/r̪/,4,10,2
10,abia,a b i a,/b/,2,4,1
11,abilitatea,a b i l̪ i t̪ a t̪ e a,/b/l̪/t̪/t̪/,5,13,1.75
12,abis,a b i s̪,/b/s̪,2,5,1.5
13,abolirea,a b o l̪ i r̪ e a,/b/l̪/r̪/,4,10,1.6666666666666667
14,abonamentele,a b o n̪ a m e n̪ t̪ e l̪ e,/b/n̪/m/n̪t̪/l̪/,6,16,2
15,aborda,a b o r̪ d̪ a,/b/r̪d̪/,3,8,2.5
16,abordare,a b o r̪ d̪ a r̪ e,/b/r̪d̪/r̪/,4,11,2.3333333333333335
17,abordarea,a b o r̪ d̪ a r̪ e a,/b/r̪d̪/r̪/,4,12,2.3333333333333335
18,abordat,a b o r̪ d̪ a t̪,/b/r̪d̪/t̪,3,10,2.3333333333333335
19,abordate,a b o r̪ d̪ a t̪ e,/b/r̪d̪/t̪/,4,11,2.3333333333333335
20,abordată,a b o r̪ d̪ a t̪ ɜ,/b/r̪d̪/t̪/,4,11,2.3333333333333335
21,abordați,a b o r̪ d̪ a t̪s i,/b/r̪d̪/t̪s/,4,12,2.6666666666666665
22,abordează,a b o r̪ d̪ e a z̪ ɜ,/b/r̪d̪/z̪/,4,12,2.3333333333333335
23,abordez,a b o r̪ d̪ e z̪,/b/r̪d̪/z̪,3,10,2.3333333333333335
24,abordeze,a b o r̪ d̪ e z̪ e,/b/r̪d̪/z̪/,4,11,2.3333333333333335
25,abordăm,a b o r̪ d̪ ɜ m,/b/r̪d̪/m,3,9,2
26,abordări,a b o r̪ d̪ ɜ r̪ i,/b/r̪d̪/r̪/,4,11,2.3333333333333335
27,abordării,a b o r̪ d̪ ɜ r̪ i i,/b/r̪d̪/r̪/,4,12,2.3333333333333335
28,abrogat,a b r̪ o ɡ a t̪,/br̪/ɡ/t̪,3,9,2
29,absenţa,a b s̪ e n̪ t̪ s a,/bs̪/n̪t̪s/,3,11,4
30,absenţă,a b s̪ e n̪ t̪ s ɜ,/bs̪/n̪t̪s/,3,11,4
31,absența,a b s̪ e n̪ t̪s a,/bs̪/n̪t̪s/,3,11,4
32,absență,a b s̪ e n̪ t̪s ɜ,/bs̪/n̪t̪s/,3,11,4
33,absolut,a b s̪ o l̪ u t̪,/bs̪/l̪/t̪,3,10,2.3333333333333335
34,absolută,a b s̪ o l̪ u t̪ ɜ,/bs̪/l̪/t̪/,4,11,2.3333333333333335
35,absolvenți,a b s̪ o l̪ v e n̪ t̪s i,/bs̪/l̪v/n̪t̪s/,4,15,3.6666666666666665
36,absolvă,a b s̪ o l̪ v ɜ,/bs̪/l̪v/,3,9,3
37,absorb,a b s̪ o r̪ b,/bs̪/r̪b,2,8,3
38,absorbția,a b s̪ o r̪ b t̪s i a,/bs̪/r̪bt̪s/,3,13,4.5
39,abstractă,a b s̪ t̪ r̪ a k t̪ ɜ,/bs̪t̪r̪/kt̪/,3,13,5
40,absurd,a b s̪ u r̪ d̪,/bs̪/r̪d̪,2,9,3.5
41,absurditate,a b s̪ u r̪ d̪ i t̪ a t̪ e,/bs̪/r̪d̪/t̪/t̪/,5,16,2.75
42,absurdă,a b s̪ u r̪ d̪ ɜ,/bs̪/r̪d̪/,3,10,3.5
43,abundența,a b u n̪ d̪ e n̪ t̪s a,/b/n̪d̪/n̪t̪s/,4,14,3.3333333333333335
44,abuz,a b u z̪,/b/z̪,2,5,1.5
45,abuzează,a b u z̪ e a z̪ ɜ,/b/z̪/z̪/,4,10,1.6666666666666667
46,abuziv,a b u z̪ i v,/b/z̪/v,3,7,1.3333333333333333
47,abuzuri,a b u z̪ u r̪ i,/b/z̪/r̪/,4,9,1.6666666666666667
48,abuzurile,a b u z̪ u r̪ i l̪ e,/b/z̪/r̪/l̪/,5,12,1.75
49,abuzurilor,a b u z̪ u r̪ i l̪ o r̪,/b/z̪/r̪/l̪/r̪,5,14,1.8
50,abătut,a b ɜ t̪ u t̪,/b/t̪/t̪,3,8,1.6666666666666667
51,abţin,a b t̪ s i n̪,/bt̪s/n̪,2,8,3
52,abţine,a b t̪ s i n̪ e,/bt̪s/n̪/,3,9,3
53,abţinem,a b t̪ s i n̪ e m,/bt̪s/n̪/m,3,10,2.3333333333333335
54,abţineri,a b t̪ s i n̪ e r̪ i,/bt̪s/n̪/r̪/,4,12,2.6666666666666665
55,abţinut,a b t̪ s i n̪ u t̪,/bt̪s/n̪/t̪,3,11,2.6666666666666665
56,abțin,a b t̪s i n̪,/bt̪s/n̪,2,8,3
57,abține,a b t̪s i n̪ e,/bt̪s/n̪/,3,9,3
58,abținem,a b t̪s i n̪ e m,/bt̪s/n̪/m,3,10,2.3333333333333335
59,abținerea,a b t̪s i n̪ e r̪ e a,/bt̪s/n̪/r̪/,4,13,2.6666666666666665
60,abțineri,a b t̪s i n̪ e r̪ i,/bt̪s/n̪/r̪/,4,12,2.6666666666666665
61,abținut,a b t̪s i n̪ u t̪,/bt̪s/n̪/t̪,3,11,2.6666666666666665
62,academic,a k a d̪ e m i k,/k/d̪/m/k,4,9,1.25
63,acasă,a k a s̪ ɜ,/k/s̪/,3,6,1.5
