,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,a,a,/,1,1,N/A
1,abo,a b o,/b/,2,3,1
2,abonement,a b o n e m e n t,/b/n/m/nt,4,9,1.25
3,abu,a b u,/b/,2,3,1
4,adresu,a d ʀ e s u,/dʀ/s/,3,6,1.5
5,afd,a f d,/fd,1,3,2
6,africe,a f ʀ i ts e,/fʀ/ts/,3,7,2
7,afrika,a f ʀ i k a,/fʀ/k/,3,6,1.5
8,afroameriskeje,a f ʀ o a m e ʀ i s k e j e,/fʀ/m/ʀ/sk/j/,6,14,1.4
9,agendy,a ɡ e n d ɨ,/ɡ/nd/,3,6,1.5
10,agrarnu,a ɡ ʀ a ʀ n u,/ɡʀ/ʀn/,3,7,2
11,akademije,a k a d e m i j e,/k/d/m/j/,5,9,1
12,akademikarjow-sorabistow,a k a d e m i k a ʀʲ o w s o ʀ a b i s t o w,/k/d/m/k/ʀʲ/ws/ʀ/b/st/w,10,23,1.3
13,akademiske,a k a d e m i s k e,/k/d/m/sk/,5,10,1.25
14,akceptancy,a k ts e p t a n ts ɨ,/kts/pt/nts/,4,12,2.6666666666666665
15,akceptować,a k ts e p t o w a tʃ,/kts/pt/w/tʃ,4,12,2
16,akcije,a k ts i j e,/kts/j/,3,7,2
17,akterami,a k t e ʀ a m i,/kt/ʀ/m/,4,8,1.3333333333333333
18,akterow,a k t e ʀ o w,/kt/ʀ/w,3,7,1.3333333333333333
19,aktiwisća,a k t i w i s tʃ a,/kt/w/stʃ/,4,10,2
20,aktiwitach,a k t i w i t a x,/kt/w/t/x,4,9,1.25
21,aktiwitami,a k t i w i t a m i,/kt/w/t/m/,5,10,1.25
22,aktiwitow,a k t i w i t o w,/kt/w/t/w,4,9,1.25
23,aktiwity,a k t i w i t ɨ,/kt/w/t/,4,8,1.3333333333333333
24,aktiwne,a k t i w n e,/kt/wn/,3,7,2
25,aktiwni,a k t i w n i,/kt/wn/,3,7,2
