,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'wimbo,ŋ w i m b ɔ,ŋw/mb/,2,6,2
1,<eps>,sil,N/A,N/A,N/A,N/A
2,<laughter>,spn,N/A,N/A,N/A,N/A
3,<unk>,spn,N/A,N/A,N/A,N/A
4,[bracketed],spn,N/A,N/A,N/A,N/A
5,[laughter],spn,N/A,N/A,N/A,N/A
6,a,ɑ,/,1,1,N/A
7,aaah,ɑː h,/ːh,1,3,2
8,aachane,ɑː tʃ ɑ n ɛ,/ːtʃ/n/,3,7,2
9,aachilie,ɑː tʃ i l i ɛ,/ːtʃ/l/,3,8,2
10,aah,ɑː h,/ːh,1,3,2
11,aahirishe,ɑː h i ɾ i ʃ ɛ,/ːh/ɾ/ʃ/,4,8,1.3333333333333333
12,aalihi,ɑː l i h i,/ːl/h/,3,6,1.5
13,aama,ɑː m ɑ,/ːm/,2,4,2
14,aamue,ɑː m u ɛ,/ːm/,2,5,2
15,aamuru,ɑː m u ɾ u,/ːm/ɾ/,3,6,1.5
16,aandike,ɑː n d i k ɛ,/ːnd/k/,3,7,2
17,aangalie,ɑː ŋ ɡ ɑ l i ɛ,/ːŋɡ/l/,3,8,2
18,aanze,ɑː n z ɛ,/ːnz/,2,5,3
19,aanzie,ɑː n z i ɛ,/ːnz/,2,6,3
20,aatte,ɑː t ɛ,/ːt/,2,4,2
21,ababa,ɑ ɓ ɑ ɓ ɑ,/ɓ/ɓ/,3,5,1
22,abadani,ɑ ɓ ɑ ɗ ɑ n i,/ɓ/ɗ/n/,4,7,1
23,abaha,ɑ ɓ ɑ h ɑ,/ɓ/h/,3,5,1
24,abaki,ɑ ɓ ɑ k i,/ɓ/k/,3,5,1
25,abakine,ɑ ɓ ɑ k i n ɛ,/ɓ/k/n/,4,7,1
26,abakira,ɑ ɓ ɑ k i ɾ ɑ,/ɓ/k/ɾ/,4,7,1
27,abakuria,ɑ ɓ ɑ k u ɾ i ɑ,/ɓ/k/ɾ/,4,8,1
28,abalenchoka,ɑ ɓ ɑ l ɛ n tʃ ɔ k ɑ,/ɓ/l/ntʃ/k/,5,11,1.5
29,abamera,ɑ ɓ ɑ m ɛ ɾ ɑ,/ɓ/m/ɾ/,4,7,1
30,abangoreme,ɑ ɓ ɑ ŋ ɡ ɔ ɾ ɛ m ɛ,/ɓ/ŋɡ/ɾ/m/,5,10,1.25
31,abanyamongo,ɑ ɓ ɑ ɲ ɑ m ɔ ŋ ɡ ɔ,/ɓ/ɲ/m/ŋɡ/,5,10,1.25
32,abanyancha,ɑ ɓ ɑ ɲ ɑː tʃ ɑ,/ɓ/ɲ/ːtʃ/,4,9,1.6666666666666667
33,abarieri,ɑ ɓ ɑ ɾ i ɛ ɾ i,/ɓ/ɾ/ɾ/,4,8,1
34,abati,ɑ ɓ ɑ t i,/ɓ/t/,3,5,1
35,abbas,ɑ ɓ ɑ s,/ɓ/s,2,4,1
36,abbottabad,ɑ ɓ ɔ t ɑ ɓ ɑ d,/ɓ/t/ɓ/d,4,8,1
37,abdala,ɑ ɓ ɗ ɑ l ɑ,/ɓɗ/l/,3,6,1.5
38,abdalah,ɑ ɓ ɗ ɑ l ɑ h,/ɓɗ/l/h,3,7,1.3333333333333333
39,abdalla,ɑ ɓ ɗ ɑ l ɑ,/ɓɗ/l/,3,6,1.5
40,abdallah,ɑ ɓ ɗ ɑ l ɑ h,/ɓɗ/l/h,3,7,1.3333333333333333
41,abdel,ɑ ɓ ɗ ɛ l,/ɓɗ/l,2,5,1.5
42,abdid,ɑ ɓ ɗ i d,/ɓɗ/d,2,5,1.5
43,abdil,ɑ ɓ ɗ i l,/ɓɗ/l,2,5,1.5
44,abdu,ɑ ɓ ɗ u,/ɓɗ/,2,4,2
45,abdul,ɑ ɓ ɗ u l,/ɓɗ/l,2,5,1.5
46,abdulahi,ɑ ɓ ɗ u l ɑ h i,/ɓɗ/l/h/,4,8,1.3333333333333333
47,abdulazizi,ɑ ɓ ɗ u l ɑ z i z i,/ɓɗ/l/z/z/,5,10,1.25
48,abdulla,ɑ ɓ ɗ u l ɑ,/ɓɗ/l/,3,6,1.5
49,abdullah,ɑ ɓ ɗ u l ɑ h,/ɓɗ/l/h,3,7,1.3333333333333333
50,abdulrahman,ɑ ɓ ɗ u l ɾ m ɑ n,/ɓɗ/lɾm/n,3,9,2
51,abeba,ɑ ɓ ɛ ɓ ɑ,/ɓ/ɓ/,3,5,1
52,abebe,ɑ ɓ ɛ ɓ ɛ,/ɓ/ɓ/,3,5,1
53,abebeshwe,ɑ ɓ ɛ ɓ ɛ ʃ w ɛ,/ɓ/ɓ/ʃw/,4,8,1.3333333333333333
54,abed,ɑ ɓ ɛ d,/ɓ/d,2,4,1
55,abedi,ɑ ɓ ɛ ɗ i,/ɓ/ɗ/,3,5,1
56,abeid,ɑ ɓ ɛ i d,/ɓ/d,2,5,1
57,abel,ɑ ɓ ɛ l,/ɓ/l,2,4,1
58,abhaghekoyo,ɑ ɓ h ɑ ɣ ɛ k ɔ j ɔ,/ɓh/ɣ/k/j/,5,10,1.25
59,abhaghusii,ɑ ɓ h ɑ ɣ u s iː,/ɓh/ɣ/s/ː,4,9,1.25
60,abhaha,ɑ ɓ h ɑ h ɑ,/ɓh/h/,3,6,1.5
61,abidjan,ɑ ɓ i ð ɑ n dʒ ɑ n,/ɓ/ð/ndʒ/n,4,10,1.5
62,abiria,ɑ ɓ i ɾ i ɑ,/ɓ/ɾ/,3,6,1
63,abiriga,ɑ ɓ i ɾ i ɠ ɑ,/ɓ/ɾ/ɠ/,4,7,1
64,abiriri,ɑ ɓ i ɾ i ɾ i,/ɓ/ɾ/ɾ/,4,7,1
65,abooud,ɑ ɓ ɔː u d,/ɓ/ː/d,3,6,1
66,aboud,ɑ ɓ ɔ u d,/ɓ/d,2,5,1
67,abraham,ɑ ɓ ɾ ɑ h ɑ m,/ɓɾ/h/m,3,7,1.3333333333333333
68,abrahamu,ɑ ɓ ɾ ɑ h ɑ m u,/ɓɾ/h/m/,4,8,1.3333333333333333
69,abramovic,ɑ ɓ ɾ ɑ m ɔ v i k,/ɓɾ/m/v/k,4,9,1.25
70,abu,ɑ ɓ u,/ɓ/,2,3,1
71,abubakar,ɑ ɓ u ɓ ɑ k ɑ ɾ,/ɓ/ɓ/k/ɾ,4,8,1
72,abuja,ɑ ɓ u dʒ ɑ,/ɓ/dʒ/,3,6,1.5
73,abuja,ɑ ɓ u ʄ ɑ,/ɓ/ʄ/,3,5,1
74,abulmawahib,ɑ ɓ u l m ɑ w ɑ h i b,/ɓ/lm/w/h/b,5,11,1.2
75,abunuasi,ɑ ɓ u n u ɑ s i,/ɓ/n/s/,4,8,1
76,abunuwasi,ɑ ɓ u n u w ɑ s i,/ɓ/n/w/s/,5,9,1
77,abushiri,ɑ ɓ u ʃ i ɾ i,/ɓ/ʃ/ɾ/,4,7,1
78,abushuri,ɑ ɓ u ʃ u ɾ i,/ɓ/ʃ/ɾ/,4,7,1
79,abuso,ɑ ɓ u s ɔ,/ɓ/s/,3,5,1
80,abysia,ɑ ɓ j s i ɑ,/ɓjs/,2,6,3
81,abysinia,ɑ ɓ j s i n i ɑ,/ɓjs/n/,3,8,2
82,academy,ɑ tʃ ɑ ɗ ɛ m i,/tʃ/ɗ/m/,4,8,1.3333333333333333
83,accra,ɑ k ɾ ɑ,/kɾ/,2,4,2
84,acha,ɑ tʃ ɑ,/tʃ/,2,4,2
85,achague,ɑ tʃ ɑ ɠ u ɛ,/tʃ/ɠ/,3,7,1.5
