,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,a,/,1,1,N/A
4,aamira,ɑː m ɪ r a,/ːm/r/,3,6,1.5
5,aanvals,ɑː n̪ ʋ a l̪ s̪,/ːn̪ʋ/l̪s̪,2,10,4
6,ab,a b,/b,1,2,1
7,abborrar,a b ɔ˧˩ r a r,/b/˧˩r/r,3,8,1.6666666666666667
8,abborrarna,a b ɔ r a ɳ a,/b/r/ɳ/,4,7,1
9,abborre,a b ɔ r ɛ˥˩,/b/r/˥˩,3,7,1.3333333333333333
10,abborrträsk,a b ɔ r t̪ r ɛː s̪ k,/b/rt̪r/ːs̪k,3,12,3
11,abbot,a b ɔ t̪,/b/t̪,2,5,1.5
12,abdala,a b d̪ ɑː l̪ a,/bd̪/ːl̪/,3,9,3
13,abdel,a b d̪ eː l̪,/bd̪/ːl̪,2,8,3
14,abdessiem,a b d̪ eː s̪ iː ɛ m,/bd̪/ːs̪/ː/m,4,12,2
15,abdikerade,a b d̪ iː k ɛ r ɑː d̪ ɛ,/bd̪/ːk/r/ːd̪/,5,14,2.25
16,abdikerar,a b d̪ iː k ɛ r a r,/bd̪/ːk/r/r,4,11,1.75
17,abdullah,a b d̪ ɵ l̪ a˥˩ h,/bd̪/l̪/˥˩h,3,11,2.6666666666666665
18,abeba,a b ɛ˥˩ b a,/b/˥˩b/,3,7,2
19,abonnemang,a b ʊ n̪ ɛ˥˩ m a ŋ,/b/n̪/˥˩m/ŋ,4,11,1.75
20,abonnemanget,a b ʊ n̪ ɛ˥˩ m a ŋ ɛ t̪,/b/n̪/˥˩m/ŋ/t̪,5,14,1.8
21,abonnenten,a b ʊ n̪ ɛ n̪ t̪ ɛ˩ n̪,/b/n̪/n̪t̪/˩n̪,4,14,2.5
22,abonnenter,a b ʊ n̪ ɛ n̪ t̪ ɛ r,/b/n̪/n̪t̪/r,4,12,2
23,abort,a b ʊ ʈ,/b/ʈ,2,4,1
24,aborter,a b ʊ ʈʰ eː r,/b/ʈʰ/ːr,3,8,1.6666666666666667
25,abraham,a b r ɑː a m,/br/ː/m,3,7,1.3333333333333333
26,abrahamsson,a b r ɑː a m s̪ ɔ n̪,/br/ː/ms̪/n̪,4,12,2
27,abrupt,a b r ʉː p t̪,/br/ːpt̪,2,8,3
28,absolut,a b s̪ ɔ l̪ ʉː t̪,/bs̪/l̪/ːt̪,3,11,2.6666666666666665
29,absoluta,a b s̪ ɔ l̪ ʉː˧˩ t̪ a˥˩,/bs̪/l̪/ː˧˩t̪/˥˩,4,16,3
30,absorberad,a b s̪ ɔ r b ɛ r a d̪,/bs̪/rb/r/d̪,4,12,2
31,absorberade,a b s̪ ɔ r b ɛ r ɑː d̪ ɛ,/bs̪/rb/r/ːd̪/,5,14,2.25
32,absorberar,a b s̪ ɔ r b ɛ r a r,/bs̪/rb/r/r,4,11,1.75
33,absorberas,a b s̪ ɔ r b ɛ r a˥˩ s̪,/bs̪/rb/r/˥˩s̪,4,14,2.5
34,absorptionsförmåga,a b s̪ ɔ r p t̪ ɧ ʊ n̪ s̪ f øː˥˩ r m oː ɡ a,/bs̪/rpt̪ɧ/n̪s̪f/ː˥˩rm/ːɡ/,6,26,4
35,abstinens,a b s̪ t̪ ɪ n̪ ɛ n̪ s̪,/bs̪t̪/n̪/n̪s̪,3,14,3.6666666666666665
36,abstinensbesvär,a b s̪ t̪ ɪ n̪ ɛ n̪ s̪ b eː s̪ ʋ ɛː r,/bs̪t̪/n̪/n̪s̪b/ːs̪ʋ/ːr,5,23,3.6
37,abstinensen,a b s̪ t̪ ɪ n̪ ɛ n̪ s̪ ɛ n̪,/bs̪t̪/n̪/n̪s̪/n̪,4,17,3.25
38,abstrahera,a b s̪ t̪ r ɑː eː r a,/bs̪t̪r/ː/ːr/,4,13,3
39,abstrakt,a b s̪ t̪ r a k t̪,/bs̪t̪r/kt̪,2,11,4.5
40,abstrakta,a b s̪ t̪ r a k t̪ a˥˩,/bs̪t̪r/kt̪/˥˩,3,14,3.6666666666666665
41,abstraktioner,a b s̪ t̪ r a k ɧ ʊ n̪ ɛ r,/bs̪t̪r/kɧ/n̪/r,4,15,2.75
