,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,அகங்காரம்,ʔ a ɡ a ŋ ɡ aː ɾ a m,ʔ/ɡ/ŋɡ/ːɾ/m,4,11,1.4
1,அகங்கை,ʔ a ɡ a ŋ ɡ aj,ʔ/ɡ/ŋɡ/j,3,8,1.25
2,அகதி,ʔ a ɡ a d̪ i,ʔ/ɡ/d̪/,3,7,1.3333333333333333
3,அகத்தாழம்,ʔ a ɡ a t̪ː aː ɻ a m,ʔ/ɡ/t̪ː/ːɻ/m,4,12,1.6
4,அகத்துக்காரர்,ʔ a ɡ a t̪ː u kː aː ɾ a ɾ,ʔ/ɡ/t̪ː/kː/ːɾ/ɾ,5,15,1.6666666666666667
5,அகத்துக்காரி,ʔ a ɡ a t̪ː u kː aː ɾ i,ʔ/ɡ/t̪ː/kː/ːɾ/,5,14,1.8
6,அகந்தை,ʔ a ɡ a n̪ d̪ aj,ʔ/ɡ/n̪d̪/j,3,10,1.75
7,அகப்பா,ʔ a ɡ a pː aː,ʔ/ɡ/pː/ː,3,8,1.25
8,அகப்பு,ʔ a ɡ a pː u,ʔ/ɡ/pː/,3,7,1.3333333333333333
9,அகப்பை,ʔ a ɡ a pː aj,ʔ/ɡ/pː/j,3,8,1.25
10,அகம்,ʔ a ɡ a m,ʔ/ɡ/m,2,5,1
11,அகரமுதலி,ʔ a ɡ a ɾ a m u d̪ a l i,ʔ/ɡ/ɾ/m/d̪/l/,6,13,1.1666666666666667
12,அகரம்,ʔ a ɡ a ɾ a m,ʔ/ɡ/ɾ/m,3,7,1
13,அகரவரிசை,ʔ a ɡ a ɾ a ʋ a ɾ i s aj,ʔ/ɡ/ɾ/ʋ/ɾ/s/j,6,13,1
14,அகராதி,ʔ a ɡ a ɾ aː d̪ i,ʔ/ɡ/ɾ/ːd̪/,4,10,1.5
15,அகற்சி,ʔ a ɡ a r tɕ i,ʔ/ɡ/rtɕ/,3,8,1.6666666666666667
