,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,firеfох,f ɑ j r f o k s,f/jrf/ks,2,8,2
2,it,ɑ j t i,/jt/,2,4,2
3,абага,ɑ b ɑ ɡ ɑ,/b/ɡ/,3,5,1
4,абагага,ɑ b ɑ ɡ ɑ ɡ ɑ,/b/ɡ/ɡ/,4,7,1
5,абажурлы,ɑ b ɑ ʒ u r l ɤ,/b/ʒ/rl/,4,8,1.3333333333333333
6,абау,ɑ b ɑ u,/b/,2,4,1
7,абдулла,ɑ b d u l l ɑ,/bd/ll/,3,7,2
8,абзалары,ɑ b z ɑ l ɑ r ɤ,/bz/l/r/,4,8,1.3333333333333333
9,абзаларына,ɑ b z ɑ l ɑ r ɤ n ɑ,/bz/l/r/n/,5,10,1.25
10,абзар,ɑ b z ɑ r,/bz/r,2,5,1.5
11,абзарга,ɑ b z ɑ r ɡ ɑ,/bz/rɡ/,3,7,2
12,абзарда,ɑ b z ɑ r d ɑ,/bz/rd/,3,7,2
13,абзардан,ɑ b z ɑ r d ɑ n,/bz/rd/n,3,8,1.6666666666666667
14,абзарлар,ɑ b z ɑ r l ɑ r,/bz/rl/r,3,8,1.6666666666666667
15,абзарларына,ɑ b z ɑ r l ɑ r ɤ n ɑ,/bz/rl/r/n/,5,11,1.5
16,абзары,ɑ b z ɑ r ɤ,/bz/r/,3,6,1.5
17,абзарың,ɑ b z ɑ r ɤ ŋ,/bz/r/ŋ,3,7,1.3333333333333333
18,абзасы,ɑ b z ɑ s ɤ,/bz/s/,3,6,1.5
19,абзыем,ɑ b z ɤ e m,/bz/m,2,6,1.5
20,абзыен,ɑ b z ɤ e n,/bz/n,2,6,1.5
21,абзый,ɑ b z ɤ j,/bz/j,2,5,1.5
22,абзыйга,ɑ b z ɤ j ɡ ɑ,/bz/jɡ/,3,7,2
23,абзыйдан,ɑ b z ɤ j d ɑ n,/bz/jd/n,3,8,1.6666666666666667
24,абзыйлар,ɑ b z ɤ j l ɑ r,/bz/jl/r,3,8,1.6666666666666667
25,абзыйлары,ɑ b z ɤ j l ɑ r ɤ,/bz/jl/r/,4,9,1.6666666666666667
26,абзыйның,ɑ b z ɤ j n ɤ ŋ,/bz/jn/ŋ,3,8,1.6666666666666667
27,абзыйсы,ɑ b z ɤ j s ɤ,/bz/js/,3,7,2
28,абзыкаем,ɑ b z ɤ k ɑ e m,/bz/k/m,3,8,1.3333333333333333
29,абитуриент,ɑ b i t u r i e n t,/b/t/r/nt,4,10,1.25
30,абитуриентлар,ɑ b i t u r i e n t l ɑ r,/b/t/r/ntl/r,5,13,1.4
31,абитуриентларга,ɑ b i t u r i e n t l ɑ r ɡ ɑ,/b/t/r/ntl/rɡ/,6,15,1.6
32,абруе,ɑ b r u e,/br/,2,5,2
33,абруен,ɑ b r u e n,/br/n,2,6,1.5
34,абруеның,ɑ b r u e n ɤ ŋ,/br/n/ŋ,3,8,1.3333333333333333
35,абруй,ɑ b r u j,/br/j,2,5,1.5
36,абруйлы,ɑ b r u j l ɤ,/br/jl/,3,7,2
37,абстракт,ɑ b s t r ɑ k t,/bstr/kt,2,8,3
38,абсурдтыр,ɑ b s u r d t ɤ r,/bs/rdt/r,3,9,2
39,абыебыз,ɑ b ɤ e b ɤ z,/b/b/z,3,7,1
40,абыем,ɑ b ɤ e m,/b/m,2,5,1
41,абыең,ɑ b ɤ e ŋ,/b/ŋ,2,5,1
42,абый,ɑ b ɤ j,/b/j,2,4,1
43,абыйга,ɑ b ɤ j ɡ ɑ,/b/jɡ/,3,6,1.5
44,абыйда,ɑ b ɤ j d ɑ,/b/jd/,3,6,1.5
45,абыйлар,ɑ b ɤ j l ɑ r,/b/jl/r,3,7,1.3333333333333333
46,абыйлары,ɑ b ɤ j l ɑ r ɤ,/b/jl/r/,4,8,1.3333333333333333
47,абыйларын,ɑ b ɤ j l ɑ r ɤ n,/b/jl/r/n,4,9,1.25
48,абыйларына,ɑ b ɤ j l ɑ r ɤ n ɑ,/b/jl/r/n/,5,10,1.25
49,абыйларының,ɑ b ɤ j l ɑ r ɤ n ɤ ŋ,/b/jl/r/n/ŋ,5,11,1.2
50,абыйларың,ɑ b ɤ j l ɑ r ɤ ŋ,/b/jl/r/ŋ,4,9,1.25
51,абыйның,ɑ b ɤ j n ɤ ŋ,/b/jn/ŋ,3,7,1.3333333333333333
52,абыйсы,ɑ b ɤ j s ɤ,/b/js/,3,6,1.5
53,абыйсының,ɑ b ɤ j s ɤ n ɤ ŋ,/b/js/n/ŋ,4,9,1.25
54,абына,ɑ b ɤ n ɑ,/b/n/,3,5,1
55,абына-сөртенә,ɑ b ɤ n ɑ s ø r t e n a,/b/n/s/rt/n/,6,12,1.2
56,абынган,ɑ b ɤ n ɡ ɑ n,/b/nɡ/n,3,7,1.3333333333333333
57,абынма,ɑ b ɤ n m ɑ,/b/nm/,3,6,1.5
58,абынмасын,ɑ b ɤ n m ɑ s ɤ n,/b/nm/s/n,4,9,1.25
59,абынмый,ɑ b ɤ n m ɤ j,/b/nm/j,3,7,1.3333333333333333
