,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<cutoff>,spn,N/A,N/A,N/A,N/A
1,<unk>,spn,N/A,N/A,N/A,N/A
2,[bracketed],spn,N/A,N/A,N/A,N/A
3,[laughter],spn,N/A,N/A,N/A,N/A
4,ก,k ɔː˧,k/ː˧,1,4,1.5
5,ก,k ɔː˧ k a˨˩ j,k/ː˧k/˨˩j,2,9,2.3333333333333335
6,ก.,k ɔː˧,k/ː˧,1,4,1.5
7,ก.ค.,k ɔː˧ kʰ ɔː˧,k/ː˧kʰ/ː˧,2,9,2.3333333333333335
8,ก.ท.ม.,k ɔː˧ tʰ ɔː˧ m ɔː˧,k/ː˧tʰ/ː˧m/ː˧,3,13,2.5
9,ก.พ.,k ɔː˧ pʰ ɔː˧,k/ː˧pʰ/ː˧,2,9,2.3333333333333335
10,ก.ย.,k ɔː˧ j ɔː˧,k/ː˧j/ː˧,2,8,2
11,ก.ล.ต.,k ɔː˧ l ɔː˧ t ɔː˧,k/ː˧l/ː˧t/ː˧,3,12,2.25
12,กก,k o˨˩,k/˨˩,1,4,1.5
13,กก,k o˨˩ k̚,k/˨˩k̚,1,6,2.5
14,กกกร,k ɔː˧ k ɔː˧ k ɔː˧ n,k/ː˧k/ː˧k/ː˧n,3,13,2.5
15,กกต.,k ɔː˧ k ɔː˧ t ɔː˧,k/ː˧k/ː˧t/ː˧,3,12,2.25
16,กกหู,k ɔː˧ k ɔː˧ h uː˩˩˦,k/ː˧k/ː˧h/ː˩˩˦,3,14,2.75
17,กกุท,k a˨˩ k u˨˩ t̚,k/˨˩k/˨˩t̚,2,10,2.6666666666666665
18,กกุธภัณฑ์,k a˨˩ k u˨˩ t̚ tʰ a˦˥ pʰ a˧ n,k/˨˩k/˨˩t̚tʰ/˦˥pʰ/˧n,4,20,3.2
19,กข,k ɔː˧ kʰ ɔː˩˩˦,k/ː˧kʰ/ː˩˩˦,2,11,3
20,กขค.,k ɔː˧ kʰ ɔː˩˩˦ kʰ ɔː˧,k/ː˧kʰ/ː˩˩˦kʰ/ː˧,3,16,3.25
21,กคช.,k a˨˩ kʰ ɔː˧ tɕʰ ɔː˧,k/˨˩kʰ/ː˧tɕʰ/ː˧,3,15,3
22,กง,k o˧ ŋ,k/˧ŋ,1,4,1.5
23,กงกรรม,k o˧ ŋ k a˧ m,k/˧ŋk/˧m,2,8,2
24,กงกัน,k o˧ ŋ k a˧ n,k/˧ŋk/˧n,2,8,2
25,กงกาง,k o˧ ŋ k aː˧ ŋ,k/˧ŋk/ː˧ŋ,2,9,2.3333333333333335
26,กงการ,k o˧ ŋ k aː˧ n,k/˧ŋk/ː˧n,2,9,2.3333333333333335
27,กงจักร,k o˧ ŋ tɕ a˨˩ k̚,k/˧ŋtɕ/˨˩k̚,2,11,3
