,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'aile'lerin,ʎ e ɾ i n̪,ʎ/ɾ/n̪,2,6,1.3333333333333333
1,'da,d̪ a,d̪/,1,3,2
2,'daki,d̪ a c i,d̪/c/,2,5,1.5
3,'daki,d̪ a c ɪ,d̪/c/,2,5,1.5
4,'dan,d̪ a n̪,d̪/n̪,1,5,2
5,'de,d̪ e,d̪/,1,3,2
6,'de,d̪ ɛ,d̪/,1,3,2
7,'deki,d̪ e c i,d̪/c/,2,5,1.5
8,'den,d̪ e n̪,d̪/n̪,1,5,2
9,'dir,d̪ i ɾ,d̪/ɾ,1,4,1.5
10,'dır,d̪ ɯ ɾ,d̪/ɾ,1,4,1.5
11,'e,e,/,1,1,N/A
12,'e,ɛ,/,1,1,N/A
13,'i,i,/,1,1,N/A
14,'i,ɪ,/,1,1,N/A
15,'in,i n̪,/n̪,1,3,2
16,'inin,i n̪ i n̪,/n̪/n̪,2,6,2
17,'la,ɫ a,ɫ/,1,2,1
18,'lerden,ʎ e ɾ d̪ e n̪,ʎ/ɾd̪/n̪,2,8,2
19,'li,ʎ i,ʎ/,1,2,1
20,'lik,ʎ i c,ʎ/c,1,3,1
21,'linin,ʎ i n̪ i n̪,ʎ/n̪/n̪,2,7,1.6666666666666667
22,'lu,ɫ u,ɫ/,1,2,1
23,'lı,ɫ ɯ,ɫ/,1,2,1
24,'lık,ɫ ɯ k,ɫ/k,1,3,1
25,'na,n̪ a,n̪/,1,3,2
26,'nca,dʒ a,dʒ/,1,3,2
27,'nce,dʒ e,dʒ/,1,3,2
28,'nce,dʒ ɛ,dʒ/,1,3,2
29,'nda,n̪ d̪ a,n̪d̪/,1,5,4
30,'ndaki,n̪ d̪ a c i,n̪d̪/c/,2,7,2.5
31,'ndan,n̪ d̪ a n̪,n̪d̪/n̪,1,7,3
32,'nde,n̪ d̪ e,n̪d̪/,1,5,4
33,'nde,n̪ d̪ ɛ,n̪d̪/,1,5,4
34,'ndeki,n̪ d̪ e c i,n̪d̪/c/,2,7,2.5
35,'nden,n̪ d̪ e n̪,n̪d̪/n̪,1,7,3
36,'ne,n̪ e,n̪/,1,3,2
37,'ne,n̪ ɛ,n̪/,1,3,2
38,'ni,n̪ i,n̪/,1,3,2
39,'nin,n̪ i n̪,n̪/n̪,1,5,2
40,'nun,n̪ u n̪,n̪/n̪,1,5,2
41,'nün,n̪ y n̪,n̪/n̪,1,5,2
42,'nı,n̪ ɨ,n̪/,1,3,2
43,'nı,n̪ ɯ,n̪/,1,3,2
44,'nın,n̪ ɯ n̪,n̪/n̪,1,5,2
45,'sinde,s̪ i n̪ d̪ e,s̪/n̪d̪/,2,8,3
46,'sinin,s̪ i n̪ i n̪,s̪/n̪/n̪,2,8,2
47,'sı,s̪ ɯ,s̪/,1,3,2
48,'sının,s̪ ɯ n̪ ɯ n̪,s̪/n̪/n̪,2,8,2
49,'ta,t̪ a,t̪/,1,3,2
50,'taki,t̪ a c i,t̪/c/,2,5,1.5
51,'te,t̪ e,t̪/,1,3,2
52,'te,t̪ ɛ,t̪/,1,3,2
53,'teki,t̪ e c i,t̪/c/,2,5,1.5
54,'ten,t̪ e n̪,t̪/n̪,1,5,2
55,'u,u,/,1,1,N/A
56,'u,ʊ,/,1,1,N/A
57,'un,u n̪,/n̪,1,3,2
58,'ya,j a,j/,1,2,1
59,'ye,j e,j/,1,2,1
