,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,'іде,j i d̪ ɛ,j/d̪/,2,5,1.5
1,<cutoff>,spn,N/A,N/A,N/A,N/A
2,<unk>,spn,N/A,N/A,N/A,N/A
3,[bracketed],spn,N/A,N/A,N/A,N/A
4,[laughter],spn,N/A,N/A,N/A,N/A
5,а,ɑ,/,1,1,N/A
6,аа,ɑ,/,1,1,N/A
7,абетки,ɐ b e t̪ k ɪ,/b/t̪k/,3,7,2
8,абетковий,ɐ b e t̪ k ɔ ʋ e i,/b/t̪k/ʋ/,4,10,1.6666666666666667
9,абеткою,ɐ b e t̪ k ɔ j ʊ,/b/t̪k/j/,4,9,1.6666666666666667
10,абетці,ɐ b ɛ tsʲː i,/b/tsʲː/,3,8,2.5
11,абзац,ɐ b z̪ ɑ t̪s̪,/bz̪/t̪s̪,2,9,3.5
12,абзаци,ɐ b z̪ ɑ t̪s̪ ɪ,/bz̪/t̪s̪/,3,10,3.5
13,аби,ɐ b ɪ,/b/,2,3,1
14,абияк,ɐ b ɪ j ɐ k,/b/j/k,3,6,1
15,абиякого,ɐ b ɪ j ɐ k ɔ ɦ ɔ,/b/j/k/ɦ/,5,9,1
16,або,ɐ b ɔ,/b/,2,3,1
17,аборигенами,ɐ b ɔ ɾ e ɦ ɛ n̪ ɐ m ɪ,/b/ɾ/ɦ/n̪/m/,6,12,1.2
18,абощо,ɐ b ɔ ʃ tʃ ɔ,/b/ʃtʃ/,3,7,2
19,абразив,ɐ b ɾ ɐ z̪ ɪ ʋ,/bɾ/z̪/ʋ,3,8,1.6666666666666667
20,абрам,ɐ b ɾ ɐ m,/bɾ/m,2,5,1.5
21,абрека,ɐ b ɾ e k ɐ,/bɾ/k/,3,6,1.5
22,абрикоси,ɐ b ɾ e k ɔ s̪ ɪ,/bɾ/k/s̪/,4,9,1.6666666666666667
23,абсолютна,ɐ b s̪ o ʎ u t̪ n̪ ɐ,/bs̪/ʎ/t̪n̪/,4,12,2.6666666666666665
24,абсолютно,ɐ b s̪ o ʎ u t̪ n̪ ɔ,/bs̪/ʎ/t̪n̪/,4,12,2.6666666666666665
25,абсолютною,ɐ b s̪ o ʎ u t̪ n̪ ɔ j ʊ,/bs̪/ʎ/t̪n̪/j/,5,14,2.25
26,абсолютній,ɐ b s̪ o ʎ u tʲ ɲ iː,/bs̪/ʎ/tʲɲ/ː,4,12,2
27,абстрактна,ɐ b s̪ t̪ ɾ ɑ k t̪ n̪ ɐ,/bs̪t̪ɾ/kt̪n̪/,3,14,5.5
28,абстрактним,ɐ b s̪ t̪ ɾ ɑ k t̪ n̪ ɪ m,/bs̪t̪ɾ/kt̪n̪/m,3,15,4
29,абсурд,ɐ b s̪ u ɾ d̪,/bs̪/ɾd̪,2,8,3
30,абітурієнтів,ɐ bʲ i t̪ ʊ ɾʲ i j e ɲ tʲ i ʋ,/bʲ/t̪/ɾʲ/j/ɲtʲ/ʋ,6,17,1.8333333333333333
31,авангард,ɐ ʋ ɐ n̪ ɦ ɑ ɾ d̪,/ʋ/n̪ɦ/ɾd̪,3,10,2.3333333333333335
32,авангарді,ɐ ʋ ɐ n̪ ɦ ɐ ɾ dʲ i,/ʋ/n̪ɦ/ɾdʲ/,4,11,2.3333333333333335
33,аванпосту,ɐ ʋ ɐ n̪ p ɔ s̪ t̪ ʊ,/ʋ/n̪p/s̪t̪/,4,12,2.6666666666666665
34,аванс,ɐ ʋ ɑ n̪ s̪,/ʋ/n̪s̪,2,7,2.5
35,авантюри,ɐ ʋ ɐ ɲ tʲ ʊ ɾ ɪ,/ʋ/ɲtʲ/ɾ/,4,9,1.6666666666666667
36,аварійному,ɐ ʋ ɐ ɾʲ iː n̪ ɔ m ʊ,/ʋ/ɾʲ/ːn̪/m/,5,12,1.75
37,аварійність,ɐ ʋ ɐ ɾʲ iː ɲ i sʲ tʲ,/ʋ/ɾʲ/ːɲ/sʲtʲ,4,13,2.25
38,аварії,ɐ ʋ ɑ ɾʲ i j i,/ʋ/ɾʲ/j/,4,8,1.3333333333333333
39,авгійові,ɐ ʋ ʝ i j ɔ ʋʲ i,/ʋʝ/j/ʋʲ/,4,9,1.6666666666666667
40,авдіївка,ɑ ʋ dʲ i j i ʋ k ɐ,/ʋdʲ/j/ʋk/,4,10,2
41,авель,ɐ ʋ ɛ ʎ,/ʋ/ʎ,2,4,1
42,авжеж,ɐ ʋ zʲ ɛ ʒ,/ʋzʲ/ʒ,2,6,2
43,авраменко,ɐ ʋ ɾ ɐ m ɛ n̪ k ɔ,/ʋɾ/m/n̪k/,4,10,2
44,австралійських,ɐ ʋ s̪ t̪ ɾ ɐ ʎ iː sʲ k ɪ x,/ʋs̪t̪ɾ/ʎ/ːsʲk/x,4,16,3
45,австралійської,ɐ ʋ s̪ t̪ ɾ ɐ ʎ iː sʲ k ɔ j i,/ʋs̪t̪ɾ/ʎ/ːsʲk/j/,5,17,3
46,австралією,ɐ ʋ s̪ t̪ ɾ ɐ ʎ i j e j ʊ,/ʋs̪t̪ɾ/ʎ/j/j/,5,14,2.25
47,австралії,ɐ ʋ s̪ t̪ ɾ ɐ ʎ i j i,/ʋs̪t̪ɾ/ʎ/j/,4,12,2.6666666666666665
48,австрійський,ɐ ʋ s̪ tʲ ɾʲ iː sʲ k e i,/ʋs̪tʲɾʲ/ːsʲk/,3,15,5.5
49,австрійцями,ɐ ʋ s̪ tʲ ɾʲ iː tsʲ ɐ m ɪ,/ʋs̪tʲɾʲ/ːtsʲ/m/,4,16,4
50,австріяк,ɐ ʋ s̪ tʲ ɾʲ i j ɑ k,/ʋs̪tʲɾʲ/j/k,3,12,3
51,австріяка,ɐ ʋ s̪ tʲ ɾʲ i j ɑ k ɐ,/ʋs̪tʲɾʲ/j/k/,4,13,3
52,автентичного,ɐ ʋ t̪ e n̪ t̪ ɪ tʃ n̪ ɔ ɦ ɔ,/ʋt̪/n̪t̪/tʃn̪/ɦ/,5,17,3
53,автентичні,ɐ ʋ t̪ e n̪ t̪ ɪ tʃ ɲ i,/ʋt̪/n̪t̪/tʃɲ/,4,14,3.3333333333333335
54,авто,ɐ ʋ t̪ ɔ,/ʋt̪/,2,5,3
55,автобус,ɐ ʋ t̪ ɔ b ʊ s̪,/ʋt̪/b/s̪,3,9,2
56,автобуса,ɐ ʋ t̪ ɔ b ʊ s̪ ɑ,/ʋt̪/b/s̪/,4,10,2
57,автомат,ɐ ʋ t̪ ɔ m ɐ t̪,/ʋt̪/m/t̪,3,9,2
58,автомати,ɐ ʋ t̪ ɔ m ɐ t̪ ɪ,/ʋt̪/m/t̪/,4,10,2
59,автоматичне,ɐ ʋ t̪ ɔ m ɐ t̪ ɪ tʃ n̪ e,/ʋt̪/m/t̪/tʃn̪/,5,15,2.5
60,автоматично,ɐ ʋ t̪ ɔ m ɐ t̪ ɪ tʃ n̪ ɔ,/ʋt̪/m/t̪/tʃn̪/,5,15,2.5
61,автоматів,ɐ ʋ t̪ ɔ m ɐ tʲ i ʋ,/ʋt̪/m/tʲ/ʋ,4,11,1.75
62,автомобілем,ɐ ʋ t̪ ɔ m o bʲ i l e m,/ʋt̪/m/bʲ/l/m,5,13,1.6
63,автомобіль,ɐ ʋ t̪ ɔ m o bʲ i ʎ,/ʋt̪/m/bʲ/ʎ,4,11,1.75
64,автомобіля,ɐ ʋ t̪ ɔ m o bʲ i ʎ ɐ,/ʋt̪/m/bʲ/ʎ/,5,12,1.75
65,автомобілями,ɐ ʋ t̪ ɔ m o bʲ i ʎ ɐ m ɪ,/ʋt̪/m/bʲ/ʎ/m/,6,14,1.6
