,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,آ,ɑː,/ː,1,2,1
1,آئرلینڈ,ɑː ɾ l eː ɳ ɖ,/ːɾl/ːɳɖ,2,8,3
2,آئی,ɑː iː,/ː/ː,2,4,1
3,آئین,ɑː iː n,/ː/ːn,2,5,1.5
4,آئے,ɑː eː,/ː/ː,2,4,1
5,آثار,ɑː s ɑː ɾ,/ːs/ːɾ,2,6,2
6,آج,ɑː d͡ʒ,/ːd͡ʒ,1,5,4
7,آخری,ɑː x ɾ iː,/ːxɾ/ː,2,6,2
8,آدمی,ɑː d̪ m iː,/ːd̪m/ː,2,7,2.5
9,آذربائیجان,ɑː z ə ɾ b ɑː ɪ d͡ʒ ɑː n,/ːz/ɾb/ː/d͡ʒ/ːn,5,15,2
10,آرمی,ɑː ɾ m iː,/ːɾm/ː,2,6,2
11,آرہے,ɑː ɾ ɛː,/ːɾ/ː,2,5,1.5
12,آزما,ɑː z m ɑː,/ːzm/ː,2,6,2
13,آزمائش,ɑː z m ɑː ɪ ʃ,/ːzm/ː/ʃ,3,8,1.6666666666666667
14,آسانی,ɑː s ɑː n iː,/ːs/ːn/ː,3,8,1.6666666666666667
15,آسمان,ɑː s m ɑː n,/ːsm/ːn,2,7,2.5
16,آسٹریائی,ɑː s ʈ ə ɾ j ɑː iː,/ːsʈ/ɾj/ː/ː,4,11,1.75
17,آلودگی,ɑː l uː d̪ ə ɡ iː,/ːl/ːd̪/ɡ/ː,4,11,1.75
18,آملیٹ,ɑː m l eː ʈ,/ːml/ːʈ,2,7,2.5
19,آنا,ɑː n ɑː,/ːn/ː,2,5,1.5
20,آنے,ɑː n eː,/ːn/ː,2,5,1.5
21,آواز,ɑː ʋ ɑː z,/ːʋ/ːz,2,6,2
22,آٹھ,ɑː ʈʰ,/ːʈʰ,1,4,3
23,آپ,ɑː p,/ːp,1,3,2
24,آپس,ɑː p ʊ s,/ːp/s,2,5,1.5
25,آکسائیڈ,ɑː k s ɑː iː ʊ ɖ,/ːks/ː/ː/ɖ,4,10,1.5
