,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,"""تەبىئەت",t ɛ b i ɛ t,t/b/t,2,6,1
1,"""قاراپ",q a r a p,q/r/p,2,5,1
2,"""كۈلەيمۇ",k y l ɛ j m u,k/l/jm/,3,7,1.3333333333333333
3,"""يولۇچىلار",j o l u t͡ʃ i l a r,j/l/t͡ʃ/l/r,4,11,1.4
4,"""يۇقىرىغىمۇ",j u q i r i ʁ i m u,j/q/r/ʁ/m/,5,10,1
5,"""يېنىش",j e n i ʃ,j/n/ʃ,2,5,1
6,"""ۋات""",w a t,w/t,1,3,1
7,-ئات,a t,/t,1,2,1
8,-ئاتا-ئاناڭلارنى,a t a a n a ŋ l a r n i,/t/n/ŋl/rn/,5,12,1.5
9,-ئاتا-ئانىسىنىڭ,a t a a n i s i n i ŋ,/t/n/s/n/ŋ,5,11,1
10,-ئاغىنە،,a ʁ i n ɛ,/ʁ/n/,3,5,1
11,-ئاڭلىشىمچە،,a ŋ l i ʃ i m t͡ʃ ɛ,/ŋl/ʃ/mt͡ʃ/,4,11,2.3333333333333335
12,-ئوغرىلىقچە,o ʁ r i l i q t͡ʃ ɛ,/ʁr/l/qt͡ʃ/,4,11,2.3333333333333335
13,-ئوغلۇم،,o ʁ l u m,/ʁl/m,2,5,1.5
14,-ئويلاۋەرگىنىڭ,o j l a w ɛ r ɡ i n i ŋ,/jl/w/rɡ/n/ŋ,5,12,1.4
15,-ئوچاق,o t͡ʃ a q,/t͡ʃ/q,2,6,2
16,-ئىسمىڭ,i s m i ŋ,/sm/ŋ,2,5,1.5
17,-ئىنتايىن,i n t a j i n,/nt/j/n,3,7,1.3333333333333333
18,-ئىنتېگرال,i n t e ɡ r a l,/nt/ɡr/l,3,8,1.6666666666666667
19,-ئۆگىنىشنىڭ,ø ɡ i n i ʃ n i ŋ,/ɡ/n/ʃn/ŋ,4,9,1.25
20,-ئۇ,u,/,1,1,N/A
21,-ئۇستازنىڭ,u s t a z n i ŋ,/st/zn/ŋ,3,8,1.6666666666666667
22,-ئۇلار,u l a r,/l/r,2,4,1
23,-ئۇلۇغ,u l u ʁ,/l/ʁ,2,4,1
24,-ئۇنى,u n i,/n/,2,3,1
25,-ئۇنىڭغا,u n i ŋ ʁ a,/n/ŋʁ/,3,6,1.5
