,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,abbosiylar,a b b ɒ s i j l a r,/bb/s/jl/r,4,10,1.5
1,adolat,a d̪ ɒ l a t̪,/d̪/l/t̪,3,8,1.6666666666666667
2,agar,a ɡ a r,/ɡ/r,2,4,1
3,ahmoq-tentaklar,a h m ɒ q t̪ e n t̪ a k l a r,/hm/qt̪/nt̪/kl/r,5,16,2.2
4,aholi,a h ɒ l i,/h/l/,3,5,1
5,aholining,a h ɒ l i n i ŋ,/h/l/n/ŋ,4,8,1
6,ajratib,a d͡ʒ r a t̪ i b,/d͡ʒr/t̪/b,3,10,2.3333333333333335
7,aksariyat,a k s a r i j a t̪,/ks/r/j/t̪,4,10,1.5
8,albatta,a l b a t̪ t̪ a,/lb/t̪t̪/,3,9,3
9,"albatta,",a l b a t̪ t̪ a,/lb/t̪t̪/,3,9,3
10,aldov,a l d̪ ɒ v,/ld̪/v,2,6,2
11,alisher,a l i ʃ e r,/l/ʃ/r,3,6,1
12,almashadi.,a l m a ʃ a d̪ i,/lm/ʃ/d̪/,4,9,1.6666666666666667
13,amal,a m a l,/m/l,2,4,1
14,amaldagi,a m a l d̪ a ɡ i,/m/ld̪/ɡ/,4,9,1.6666666666666667
15,amalga,a m a l ɡ a,/m/lɡ/,3,6,1.5
16,amaliyotini,a m a l i j ɒ t̪ i n i,/m/l/j/t̪/n/,6,12,1.2
17,amerikaliklar,a m e r i k a l i k l a r,/m/r/k/l/kl/r,6,13,1.1666666666666667
18,ammo,a m m ɒ,/mm/,2,4,2
19,anglatadi.,a ŋ l a t̪ a d̪ i,/ŋl/t̪/d̪/,4,10,2
20,aniq,a n i q,/n/q,2,4,1
21,arab,a r a b,/r/b,2,4,1
22,aralashuvi,a r a l a ʃ u v i,/r/l/ʃ/v/,5,9,1
23,asarlarida,a s a r l a r i d̪ a,/s/rl/r/d̪/,5,11,1.5
24,asboblari,a s b ɒ b l a r i,/sb/bl/r/,4,9,1.6666666666666667
25,aslida,a s l i d̪ a,/sl/d̪/,3,7,2
26,asosan,a s ɒ s a n,/s/s/n,3,6,1
27,asosida,a s ɒ s i d̪ a,/s/s/d̪/,4,8,1.3333333333333333
28,asosiy,a s ɒ s i j,/s/s/j,3,6,1
29,asoslanadi.,a s ɒ s l a n a d̪ i,/s/sl/n/d̪/,5,11,1.5
30,asoslangan,a s ɒ s l a ŋ a n,/s/sl/ŋ/n,4,9,1.25
31,asrda,a s r d̪ a,/srd̪/,2,6,4
32,asrga,a s r ɡ a,/srɡ/,2,5,3
33,atrofi,a t̪ r ɒ ɸ i,/t̪r/ɸ/,3,7,2
34,avval,a v v a l,/vv/l,2,5,1.5
35,avvaliga,a v v a l i ɡ a,/vv/l/ɡ/,4,8,1.3333333333333333
36,aylanishi,a j l a n i ʃ i,/jl/n/ʃ/,4,8,1.3333333333333333
37,aynan,a j n a n,/jn/n,2,5,1.5
38,aytgan,a j t̪ ɡ a n,/jt̪ɡ/n,2,7,2.5
39,"aytib,",a j t̪ i b,/jt̪/b,2,6,2
40,aytish,a j t̪ i ʃ,/jt̪/ʃ,2,6,2
41,aytishga,a j t̪ i ʃ ɡ a,/jt̪/ʃɡ/,3,8,2.5
42,"aytsa,",a j t͡s a,/jt͡s/,2,6,4
43,azon,a z ɒ n,/z/n,2,4,1
44,balandlatdi,b a l a n d̪ l a t̪ d̪ i,b/l/nd̪l/t̪d̪/,4,14,2.5
45,banditlar,b a n d̪ i t̪ l a r,b/nd̪/t̪l/r,3,11,2
46,baraka,b a r a k a,b/r/k/,3,6,1
47,barham,b a r h a m,b/rh/m,2,6,1.3333333333333333
48,bas.,b a s,b/s,1,3,1
49,batamom,b a t̪ a m ɒ m,b/t̪/m/m,3,8,1.25
50,baxtli,b a χ t̪ l i,b/χt̪l/,2,7,2.5
51,bekor,b e k ɒ r,b/k/r,2,5,1
52,berayotgan,b e r a j ɒ t̪ ɡ a n,b/r/j/t̪ɡ/n,4,11,1.4
53,berganingizda,b e r ɡ a n i ŋ i z d̪ a,b/rɡ/n/ŋ/zd̪/,5,13,1.6
54,beri,b e r i,b/r/,2,4,1
55,berib,b e r i b,b/r/b,2,5,1
56,beribdi.,b e r i b d̪ i,b/r/bd̪/,3,8,1.6666666666666667
57,berilgandi.,b e r i l ɡ a n d̪ i,b/r/lɡ/nd̪/,4,11,1.75
58,berilishiga,b e r i l i ʃ i ɡ a,b/r/l/ʃ/ɡ/,5,10,1
59,bering,b e r i ŋ,b/r/ŋ,2,5,1
60,berishingiz,b e r i ʃ i ŋ i z,b/r/ʃ/ŋ/z,4,9,1
61,bermaslik,b e r m a s l i k,b/rm/sl/k,3,9,1.5
62,besh,b e ʃ,b/ʃ,1,3,1
63,beton,b e t̪ ɒ n,b/t̪/n,2,6,1.3333333333333333
64,bezgak,b e z ɡ a k,b/zɡ/k,2,6,1.3333333333333333
65,bilan,b i l a n,b/l/n,2,5,1
66,bilganlarim,b i l ɡ a n l a r i m,b/lɡ/nl/r/m,4,11,1.4
67,bilmaydigan,b i l m a j d̪ i ɡ a n,b/lm/jd̪/ɡ/n,4,12,1.6
68,biologiya,b i ɒ l ɒ ɡ i j a,b/l/ɡ/j/,4,9,1
69,bir,b i r,b/r,1,3,1
70,birdaniga,b i r d̪ a n i ɡ a,b/rd̪/n/ɡ/,4,10,1.5
71,"birdek,",b i r d̪ e k,b/rd̪/k,2,7,1.6666666666666667
72,birgina,b i r ɡ i n a,b/rɡ/n/,3,7,1.3333333333333333
73,biri,b i r i,b/r/,2,4,1
74,biridir.,b i r i d̪ i r,b/r/d̪/r,3,8,1.25
75,birinchi,b i r i n t͡ʃ i,b/r/nt͡ʃ/,3,9,2
76,biror,b i r ɒ r,b/r/r,2,5,1
77,birorta,b i r ɒ r t̪ a,b/r/rt̪/,3,8,1.6666666666666667
78,birortasi,b i r ɒ r t̪ a s i,b/r/rt̪/s/,4,10,1.5
79,birov,b i r ɒ v,b/r/v,2,5,1
80,bitdi,b i t̪ d̪ i,b/t̪d̪/,2,7,2.5
