,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,ʔ aː˨˨,ʔ/ː˨˨,1,5,2
4,ai,aː˨˨ j,/ː˨˨j,1,5,4
5,ai,ʔ aː˨˨ j,ʔ/ː˨˨j,1,6,2.5
6,an,aː˨˨ n,/ː˨˨n,1,5,4
7,an,ʔ aː˨˨ n,ʔ/ː˨˨n,1,6,2.5
8,anh,a˨˨ ɲ,/˨˨ɲ,1,4,3
9,anh,ʔ a˨˨ ɲ,ʔ/˨˨ɲ,1,5,2
10,b,ɓ eː˨˨,ɓ/ː˨˨,1,5,2
11,ba,ɓ aː˨˨,ɓ/ː˨˨,1,5,2
12,ban,ɓ aː˨˨ n,ɓ/ː˨˨n,1,6,2.5
13,bao,ɓ aː˨˨ w,ɓ/ː˨˨w,1,6,2.5
14,bay,ɓ a˨˨ j,ɓ/˨˨j,1,5,2
15,bia,ɓ iə˨˨,ɓ/˨˨,1,5,1.5
16,binh,ɓ i˨˨ ɲ,ɓ/˨˨ɲ,1,5,2
17,biên,ɓ iə˨˨ n,ɓ/˨˨n,1,6,2
18,biếc,ɓ iə˦˥ k̚,ɓ/˦˥k̚,1,7,2.5
19,biếm,ɓ iə˨˦ m,ɓ/˨˦m,1,6,2
20,biến,ɓ iə˨˦ n,ɓ/˨˦n,1,6,2
21,biếng,ɓ iə˨˦ ŋ,ɓ/˨˦ŋ,1,6,2
22,biết,ɓ iə˦˥,ɓ/˦˥,1,5,1.5
23,biết,ɓ iə˦˥ t̚,ɓ/˦˥t̚,1,7,2.5
24,biển,ɓ iə˨˩˨ n,ɓ/˨˩˨n,1,7,2.5
25,biểu,ɓ iə˨˩˨ w,ɓ/˨˩˨w,1,7,2.5
26,biện,ɓ iə˨˩ˀ n,ɓ/˨˩ˀn,1,7,2.5
27,biệt,ɓ iə˨˩,ɓ/˨˩,1,5,1.5
28,biệt,ɓ iə˨˩ t̚,ɓ/˨˩t̚,1,7,2.5
29,bom,ɓ ɔː˨˨ m,ɓ/ː˨˨m,1,6,2.5
30,buôn,ɓ uə˨˨ n,ɓ/˨˨n,1,6,2
31,buông,ɓ uə˨˨ ŋ,ɓ/˨˨ŋ,1,6,2
32,buồn,ɓ uə˨˨ n,ɓ/˨˨n,1,6,2
33,buổi,ɓ uə˨˩˨ j,ɓ/˨˩˨j,1,7,2.5
34,buộc,ɓ uə˨˩,ɓ/˨˩,1,5,1.5
35,buộc,ɓ uə˨˩ k̚,ɓ/˨˩k̚,1,7,2.5
36,bà,ɓ aː˨˨,ɓ/ː˨˨,1,5,2
37,bài,ɓ aː˨˨ j,ɓ/ː˨˨j,1,6,2.5
38,bàn,ɓ aː˨˨ n,ɓ/ː˨˨n,1,6,2.5
39,bàng,ɓ aː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
40,bào,ɓ aː˨˨ w,ɓ/ː˨˨w,1,6,2.5
41,bày,ɓ a˨˨ j,ɓ/˨˨j,1,5,2
42,bá,ɓ aː˨˦,ɓ/ː˨˦,1,5,2
43,bác,ɓ aː˦˥,ɓ/ː˦˥,1,5,2
44,bác,ɓ aː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
45,bách,ɓ a˦˥ c,ɓ/˦˥c,1,5,2
46,bám,ɓ aː˨˦ m,ɓ/ː˨˦m,1,6,2.5
47,bán,ɓ aː˨˦ n,ɓ/ː˨˦n,1,6,2.5
48,bánh,ɓ a˨˦ ɲ,ɓ/˨˦ɲ,1,5,2
49,báo,ɓ aː˨˦ w,ɓ/ː˨˦w,1,6,2.5
50,bát,ɓ aː˦˥ t̚,ɓ/ː˦˥t̚,1,7,3
51,bâng,ɓ ə˨˨ ŋ,ɓ/˨˨ŋ,1,5,2
52,bây,ɓ ə˨˨ j,ɓ/˨˨j,1,5,2
53,bãi,ɓ aː˨ˀ˥ j,ɓ/ː˨ˀ˥j,1,7,3
54,bão,ɓ aː˨ˀ˥ w,ɓ/ː˨ˀ˥w,1,7,3
55,bè,ɓ ɛː˨˨,ɓ/ː˨˨,1,5,2
56,bèo,ɓ ɛː˨˨ w,ɓ/ː˨˨w,1,6,2.5
57,bé,ɓ ɛː˨˦,ɓ/ː˨˦,1,5,2
