,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,aː˨˨,/ː˨˨,1,4,3
4,a,ʔ aː˨˨,ʔ/ː˨˨,1,5,2
5,ai,aː˨˨ j,/ː˨˨j,1,5,4
6,ai,ʔ aː˨˨ j,ʔ/ː˨˨j,1,6,2.5
7,an,aː˨˨ ŋ,/ː˨˨ŋ,1,5,4
8,an,ʔ aː˨˨ ŋ,ʔ/ː˨˨ŋ,1,6,2.5
9,anh,a˨˨ n,/˨˨n,1,4,3
10,anh,ʔ a˨˨ n,ʔ/˨˨n,1,5,2
11,ao,ʔ aː˨˨ w,ʔ/ː˨˨w,1,6,2.5
12,au,ʔ a˨˨ w,ʔ/˨˨w,1,5,2
13,b,ɓ eː˨˨,ɓ/ː˨˨,1,5,2
14,ba,ɓ aː˨˨,ɓ/ː˨˨,1,5,2
15,ban,ɓ aː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
16,bang,ɓ aː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
17,banh,ɓ a˨˨ n,ɓ/˨˨n,1,5,2
18,bao,ɓ aː˨˨ w,ɓ/ː˨˨w,1,6,2.5
19,bay,ɓ a˨˨ j,ɓ/˨˨j,1,5,2
20,be,ɓ ɛː˨˨,ɓ/ː˨˨,1,5,2
21,bi,ɓ i˨˨,ɓ/˨˨,1,4,1.5
22,bia,ɓ iə˨˨,ɓ/˨˨,1,5,1.5
23,binh,ɓ ɨ˨˨ n,ɓ/˨˨n,1,5,2
24,biên,ɓ iː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
25,biếc,ɓ iː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
26,biến,ɓ iː˦˥ ŋ,ɓ/ː˦˥ŋ,1,6,2.5
27,biếng,ɓ iː˦˥ ŋ,ɓ/ː˦˥ŋ,1,6,2.5
28,biết,ɓ iː˦˥,ɓ/ː˦˥,1,5,2
29,biết,ɓ iː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
30,biếu,ɓ iː˦˥ w,ɓ/ː˦˥w,1,6,2.5
31,biển,ɓ iː˨˩˦ ŋ,ɓ/ː˨˩˦ŋ,1,7,3
32,biểu,ɓ iː˨˩˦ w,ɓ/ː˨˩˦w,1,7,3
33,biện,ɓ iː˨˩˨ ŋ,ɓ/ː˨˩˨ŋ,1,7,3
34,biệt,ɓ iː˨˩˨,ɓ/ː˨˩˨,1,6,2.5
35,biệt,ɓ iː˨˩˨ k̚,ɓ/ː˨˩˨k̚,1,8,3.5
36,bom,ɓ ɔː˨˨ m,ɓ/ː˨˨m,1,6,2.5
37,bon,ɓ ɔː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
38,bong,ɓ ɔ˨˨ ŋm,ɓ/˨˨ŋm,1,6,2.5
39,bu,ɓ u˨˨,ɓ/˨˨,1,4,1.5
40,bung,ɓ u˨˨ ŋm,ɓ/˨˨ŋm,1,6,2.5
41,buôn,ɓ uː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
42,buông,ɓ uː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
43,buýt,ɓ w ɨ˦˥ t̚,ɓw/˦˥t̚,1,7,3
44,buốt,ɓ uː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
45,buồn,ɓ uː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
46,buồng,ɓ uː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
47,buổi,ɓ uː˨˩˦ j,ɓ/ː˨˩˦j,1,7,3
48,buộc,ɓ uː˨˩˨,ɓ/ː˨˩˨,1,6,2.5
49,buộc,ɓ uː˨˩˨ k̚,ɓ/ː˨˩˨k̚,1,8,3.5
50,bà,ɓ aː˨˩,ɓ/ː˨˩,1,5,2
51,bài,ɓ aː˨˩ j,ɓ/ː˨˩j,1,6,2.5
52,bàn,ɓ aː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
53,bàng,ɓ aː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
54,bành,ɓ a˨˩ n,ɓ/˨˩n,1,5,2
