,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,ai,ʔ aː˨˥ j,ʔ/ː˨˥j,1,6,2.5
1,am,ʔ aː˨˥ m,ʔ/ː˨˥m,1,6,2.5
2,an,ʔ aː˨˥ ŋ,ʔ/ː˨˥ŋ,1,6,2.5
3,ang,ʔ aː˨˥ ŋ,ʔ/ː˨˥ŋ,1,6,2.5
4,anh,ʔ a˨˥ n,ʔ/˨˥n,1,5,2.0
5,ao,ʔ aː˨˥ w,ʔ/ː˨˥w,1,6,2.5
6,au,ʔ a˨˥ w,ʔ/˨˥w,1,5,2.0
7,ba,ɓ aː˨˥,ɓ/ː˨˥,1,5,2.0
8,bai,ɓ aː˨˥ j,ɓ/ː˨˥j,1,6,2.5
9,ban,ɓ aː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
10,bang,ɓ aː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
11,banh,ɓ a˨˥ n,ɓ/˨˥n,1,5,2.0
12,bao,ɓ aː˨˥ w,ɓ/ː˨˥w,1,6,2.5
13,bay,ɓ a˨˥ j,ɓ/˨˥j,1,5,2.0
14,be,ɓ ɛː˨˥,ɓ/ː˨˥,1,5,2.0
15,beo,ɓ ɛː˨˥ w,ɓ/ː˨˥w,1,6,2.5
16,bi,ɓ i˨˥,ɓ/˨˥,1,4,1.5
17,bia,ɓ iə˨˥,ɓ/˨˥,1,5,1.5
18,binh,ɓ ɨ˨˥ n,ɓ/˨˥n,1,5,2.0
19,bit,ɓ ɨ˨˥ t̚,ɓ/˨˥t̚,1,6,2.5
20,biên,ɓ iː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
21,biêng,ɓ iː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
22,biếc,ɓ iː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3.0
23,biếm,ɓ iː˨ˀ˦ m,ɓ/ː˨ˀ˦m,1,7,3.0
24,biến,ɓ iː˨ˀ˦ ŋ,ɓ/ː˨ˀ˦ŋ,1,7,3.0
25,biếng,ɓ iː˨ˀ˦ ŋ,ɓ/ː˨ˀ˦ŋ,1,7,3.0
26,biết,ɓ iː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3.0
27,biếu,ɓ iː˨ˀ˦ w,ɓ/ː˨ˀ˦w,1,7,3.0
28,biền,ɓ iː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
29,biển,ɓ iː˨˨ˀ ŋ,ɓ/ː˨˨ˀŋ,1,7,3.0
30,biểu,ɓ iː˨˨ˀ w,ɓ/ː˨˨ˀw,1,7,3.0
31,biện,ɓ iː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
32,biệt,ɓ iː˨˩ k̚,ɓ/ː˨˩k̚,1,7,3.0
33,bo,ɓ ɔː˨˥,ɓ/ː˨˥,1,5,2.0
34,boa,ɓ w aː˨˥,ɓw/ː˨˥,1,6,2.5
35,bom,ɓ ɔː˨˥ m,ɓ/ː˨˥m,1,6,2.5
36,bon,ɓ ɔː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
37,bong,ɓ ɔ˨˥ ŋm,ɓ/˨˥ŋm,1,6,2.5
38,boong,ɓ ɔː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
39,bu,ɓ u˨˥,ɓ/˨˥,1,4,1.5
40,bung,ɓ u˨˥ ŋm,ɓ/˨˥ŋm,1,6,2.5
41,buôn,ɓ uː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
42,buông,ɓ uː˨˥ ŋ,ɓ/ː˨˥ŋ,1,6,2.5
43,buýt,ɓ w ɨ˦˥ t̚,ɓw/˦˥t̚,1,7,3.0
44,buốt,ɓ uː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3.0
45,buồi,ɓ uː˦˨ j,ɓ/ː˦˨j,1,6,2.5
46,buồm,ɓ uː˦˨ m,ɓ/ː˦˨m,1,6,2.5
47,buồn,ɓ uː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
48,buồng,ɓ uː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
49,buổi,ɓ uː˨˨ˀ j,ɓ/ː˨˨ˀj,1,7,3.0
50,buộc,ɓ uː˨˩ k̚,ɓ/ː˨˩k̚,1,7,3.0
51,buột,ɓ uː˨˩ k̚,ɓ/ː˨˩k̚,1,7,3.0
52,bà,ɓ aː˦˨,ɓ/ː˦˨,1,5,2.0
53,bài,ɓ aː˦˨ j,ɓ/ː˦˨j,1,6,2.5
54,bàn,ɓ aː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
55,bàng,ɓ aː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
56,bành,ɓ a˦˨ n,ɓ/˦˨n,1,5,2.0
57,bào,ɓ aː˦˨ w,ɓ/ː˦˨w,1,6,2.5
58,bàu,ɓ a˦˨ w,ɓ/˦˨w,1,5,2.0
59,bày,ɓ a˦˨ j,ɓ/˦˨j,1,5,2.0
60,bá,ɓ aː˨ˀ˦,ɓ/ː˨ˀ˦,1,6,2.5
61,bác,ɓ aː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3.0
62,bách,ɓ a˦˥ t̚,ɓ/˦˥t̚,1,6,2.5
63,bái,ɓ aː˨ˀ˦ j,ɓ/ː˨ˀ˦j,1,7,3.0
64,bám,ɓ aː˨ˀ˦ m,ɓ/ː˨ˀ˦m,1,7,3.0
65,bán,ɓ aː˨ˀ˦ ŋ,ɓ/ː˨ˀ˦ŋ,1,7,3.0
66,báng,ɓ aː˨ˀ˦ ŋ,ɓ/ː˨ˀ˦ŋ,1,7,3.0
67,bánh,ɓ a˨ˀ˦ n,ɓ/˨ˀ˦n,1,6,2.5
68,báo,ɓ aː˨ˀ˦ w,ɓ/ː˨ˀ˦w,1,7,3.0
69,bát,ɓ aː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3.0
70,báu,ɓ a˨ˀ˦ w,ɓ/˨ˀ˦w,1,6,2.5
71,bâng,ɓ ə˨˥ ŋ,ɓ/˨˥ŋ,1,5,2.0
72,bâu,ɓ ə˨˥ w,ɓ/˨˥w,1,5,2.0
73,bây,ɓ ə˨˥ j,ɓ/˨˥j,1,5,2.0
74,bã,ɓ aː˨˨ˀ,ɓ/ː˨˨ˀ,1,6,2.5
75,bãi,ɓ aː˨˨ˀ j,ɓ/ː˨˨ˀj,1,7,3.0
76,bão,ɓ aː˨˨ˀ w,ɓ/ː˨˨ˀw,1,7,3.0
77,bè,ɓ ɛː˦˨,ɓ/ː˦˨,1,5,2.0
78,bèn,ɓ ɛː˦˨ ŋ,ɓ/ː˦˨ŋ,1,6,2.5
79,bèo,ɓ ɛː˦˨ w,ɓ/ː˦˨w,1,6,2.5
