,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
0,<unk>,spn,N/A,N/A,N/A,N/A
1,[bracketed],spn,N/A,N/A,N/A,N/A
2,[laughter],spn,N/A,N/A,N/A,N/A
3,a,aː˨˨,/ː˨˨,1,4,3
4,a,ʔ aː˨˨,ʔ/ː˨˨,1,5,2
5,ai,aː˨˨ j,/ː˨˨j,1,5,4
6,ai,ʔ aː˨˨ j,ʔ/ː˨˨j,1,6,2.5
7,an,aː˨˨ n,/ː˨˨n,1,5,4
8,an,ʔ aː˨˨ n,ʔ/ː˨˨n,1,6,2.5
9,an,ʔ aː˨˨ ŋ,ʔ/ː˨˨ŋ,1,6,2.5
10,anh,a˨˨ n,/˨˨n,1,4,3
11,anh,a˨˨ ɲ,/˨˨ɲ,1,4,3
12,anh,ʔ a˨˨ n,ʔ/˨˨n,1,5,2
13,anh,ʔ a˨˨ ɲ,ʔ/˨˨ɲ,1,5,2
14,ba,ɓ aː˨˨,ɓ/ː˨˨,1,5,2
15,ban,ɓ aː˨˨ n,ɓ/ː˨˨n,1,6,2.5
16,ban,ɓ aː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
17,bao,ɓ aː˨˨ w,ɓ/ː˨˨w,1,6,2.5
18,bay,ɓ a˨˨ j,ɓ/˨˨j,1,5,2
19,bi,ɓ iː˨˨,ɓ/ː˨˨,1,5,2
20,bi,ɓ i˨˨,ɓ/˨˨,1,4,1.5
21,binh,ɓ i˨˨ ɲ,ɓ/˨˨ɲ,1,5,2
22,binh,ɓ ɨ˨˨ n,ɓ/˨˨n,1,5,2
23,biến,ɓ iə˨˦ n,ɓ/˨˦n,1,6,2
24,biến,ɓ iː˦˥ ŋ,ɓ/ː˦˥ŋ,1,6,2.5
25,biết,ɓ iə˦˥,ɓ/˦˥,1,5,1.5
26,biết,ɓ iə˦˥ t̚,ɓ/˦˥t̚,1,7,2.5
27,biết,ɓ iː˦˥,ɓ/ː˦˥,1,5,2
28,biết,ɓ iː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
29,biển,ɓ iə˨˩˨ n,ɓ/˨˩˨n,1,7,2.5
30,biển,ɓ iː˨˩˦ ŋ,ɓ/ː˨˩˦ŋ,1,7,3
31,biện,ɓ iə˨˩ˀ n,ɓ/˨˩ˀn,1,7,2.5
32,biện,ɓ iː˨˩˨ ŋ,ɓ/ː˨˩˨ŋ,1,7,3
33,biệt,ɓ iə˨˩,ɓ/˨˩,1,5,1.5
34,biệt,ɓ iə˨˩ t̚,ɓ/˨˩t̚,1,7,2.5
35,biệt,ɓ iː˨˩˨,ɓ/ː˨˩˨,1,6,2.5
36,biệt,ɓ iː˨˩˨ k̚,ɓ/ː˨˩˨k̚,1,8,3.5
37,buôn,ɓ uə˨˨ n,ɓ/˨˨n,1,6,2
38,buôn,ɓ uː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
39,buông,ɓ uə˨˨ ŋ,ɓ/˨˨ŋ,1,6,2
40,buông,ɓ uː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
41,buốt,ɓ uə˦˥ t̚,ɓ/˦˥t̚,1,7,2.5
42,buốt,ɓ uː˦˥,ɓ/ː˦˥,1,5,2
43,buốt,ɓ uː˦˥ k̚,ɓ/ː˦˥k̚,1,7,3
44,buồn,ɓ uə˨˨ n,ɓ/˨˨n,1,6,2
45,buồn,ɓ uː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
46,buổi,ɓ uə˨˩˨ j,ɓ/˨˩˨j,1,7,2.5
47,buổi,ɓ uː˨˩˦ j,ɓ/ː˨˩˦j,1,7,3
48,bà,ɓ aː˨˨,ɓ/ː˨˨,1,5,2
49,bà,ɓ aː˨˩,ɓ/ː˨˩,1,5,2
50,bài,ɓ aː˨˨ j,ɓ/ː˨˨j,1,6,2.5
51,bài,ɓ aː˨˩ j,ɓ/ː˨˩j,1,6,2.5
52,bàn,ɓ aː˨˨ n,ɓ/ː˨˨n,1,6,2.5
53,bàn,ɓ aː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
54,bàng,ɓ aː˨˨ ŋ,ɓ/ː˨˨ŋ,1,6,2.5
55,bàng,ɓ aː˨˩ ŋ,ɓ/ː˨˩ŋ,1,6,2.5
56,bày,ɓ a˨˨ j,ɓ/˨˨j,1,5,2
